"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1980-01-01,7.07921159216934,47481,1,1,1980.00147996357,1561,1980,"A",1,1.95716254446674,NA,NA,1.73795225439755,0.115676132970477,5.73255989322181,3506.28518438504,27.004548908094,23510.1114206904
"2",1980-01-02,5.83327035194753,47482,1,2,1980.00421220401,1561,1980,"A",2,1.76357779539408,NA,NA,1.75904692530918,0.12155873258878,5.8596708531933,2953.24222407295,28.5555245724847,18136.7844879583
"3",1980-01-03,4.8704975754125,47483,1,3,1980.00694444444,1561,1980,"A",3,1.58319610341795,NA,NA,1.80645948748282,0.122895586412274,6.22783348034792,2620.74077563168,29.3831557363212,16648.4204262794
"4",1980-01-04,3.82277425977144,47484,1,4,1980.00967668488,1561,1980,"A",4,1.34097640504293,NA,NA,1.85848385867693,0.123905136825693,6.67505461585464,2204.68841004018,27.4369947341072,14854.1369290737
"5",1980-01-05,3.2564373323979,47485,1,5,1980.01240892532,1561,1980,"A",5,1.18063375496775,NA,NA,1.88267405213182,0.124729829689945,7.119983203113,2003.25131498849,26.6912536609229,18458.8968827415
"6",1980-01-06,3.11485310055451,47486,1,6,1980.01514116576,1561,1980,"A",6,1.13618199239691,NA,NA,1.98429569501626,0.125420793144466,9.34553625952203,2515.10163214897,27.5763454857333,19310.1010727205
"7",1980-01-07,3.0015857150798,47487,1,7,1980.01787340619,1561,1980,"A",7,1.09914072071656,4.42551856104757,NA,2.06439292293816,0.126016216370654,11.0754313077726,2872.26919311186,26.7490184943761,13272.2959298922
"8",1980-01-08,2.91663517597377,47488,1,8,1980.02060564663,1561,1980,"A",8,1.07043061483413,3.83086478730535,NA,2.11964779257734,0.126536007586508,12.2866010390783,3096.19003251441,27.2057479569053,12661.7172172225
"9",1980-01-09,2.69010040502435,47489,1,9,1980.02333788707,1561,1980,"A",9,0.989578518205039,3.38184050917347,NA,2.34117350231133,0.126996488161376,16.0987432666709,3741.7451715695,28.5897576954113,17459.7672910978
"10",1980-01-10,2.69010040502435,47490,1,10,1980.0260701275,1561,1980,"A",10,0.989578518205039,3.07035519911802,NA,2.30807546594307,0.127391067185641,15.6864539317466,3645.91895689617,28.9417834542061,12943.1626670702
"11",1980-01-11,2.83168463686774,47491,1,11,1980.02880236794,1561,1980,"A",11,1.04087181259259,2.92877096727463,NA,2.11054507468202,0.127886830922954,12.7674457888822,3123.65203998504,26.3488898284941,8078.71398107373
"12",1980-01-12,5.09703234636192,47492,1,12,1980.03153460838,1561,1980,"A",12,1.62865847749471,3.19171311212663,NA,1.6477192478289,0.128765212759773,5.36449874059008,2362.43723928239,24.756075119085,7058.3818858863
"13",1980-01-13,8.49505391060321,47493,1,13,1980.03426684882,1561,1980,"A",13,2.1394841012607,3.96031322784788,NA,1.73566880932626,0.122408199248684,5.75265510362235,4222.2915562503,25.340258463644,12544.8201800794
"14",1980-01-14,8.43842021786585,47494,1,14,1980.03699908925,1561,1980,"A",14,2.1327951131099,4.73700387110303,NA,1.73618662367682,0.123492263909273,5.75897983832483,4198.75418033298,26.5528102044084,14803.7463536576
"15",1980-01-15,5.7483198128415,47495,1,15,1980.03973132969,1561,1980,"A",15,1.74890760564628,5.14153024779842,NA,1.62739647600385,0.130819326787011,5.16759225829493,2566.50966400692,27.5923867008986,11856.815466307
"16",1980-01-16,4.30416064803896,47496,1,16,1980.04246357013,1561,1980,"A",16,1.45958214745077,5.37211028251479,NA,1.53735113237021,0.131273928307132,4.9147889986938,1827.7091770976,27.6688524973743,9274.04775884955
"17",1980-01-17,3.8794079525088,47497,1,17,1980.04519581056,1561,1980,"A",17,1.35568255243262,5.54201136072685,NA,1.47991121484763,0.131800829772731,4.6935409123764,1573.18501889362,27.7025012142618,8091.1631530269
"18",1980-01-18,4.89881442178118,47498,1,18,1980.047928051,1561,1980,"A",18,1.58899322110228,5.83731561571449,NA,1.53741939536463,0.132682422108357,4.81754092202731,2039.0606449645,26.176138929357,10409.1998908285
"19",1980-01-19,6.56950835753315,47499,1,19,1980.05066029144,1561,1980,"A",19,1.88243899827081,6.04766933159609,NA,1.64194855156508,0.131730615986482,5.25725125800575,2984.04484506321,26.4299816073272,10379.8184920542
"20",1980-01-20,6.17307250837166,47500,1,20,1980.05339253188,1561,1980,"A",20,1.82019668939359,5.71595770270587,NA,1.60801882664278,0.133316490764724,5.07313835296384,2705.77591757398,26.7637112930346,8109.04541062422
"21",1980-01-21,5.06871549999325,47501,1,21,1980.05612477231,1561,1980,"A",21,1.62308743244525,5.23457131443836,NA,1.50142994325304,0.134700869135308,4.60329801337568,2015.95461046434,27.1874608256268,10953.3020662906
"22",1980-01-22,3.76614056703409,47502,1,22,1980.05885701275,1561,1980,"A",22,1.32605075482625,4.95140285075158,NA,1.31940059412963,0.134788979405938,3.88041095545237,1262.66455723041,27.4144821179679,9427.63918859543
