"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2010-05-21,5.04039865362457,1.61748517689658,39,39,1,39,58579,5,142,2010.3850456621,1925,2010,0.66109662866414,-0.750300771403647,4.11823649579112,0.136923237913045,62.0295250595948
"2",2010-07-19,1.78396132122667,0.57883635299603,52,52,1,52,58638,7,201,2010.54668949772,1927,2010,-0.289169123097447,-0.957278025574103,3.894238382198,0.107279155239902,49.4020929533189
"3",2010-08-11,0.591822089105357,-0.524549214424737,51,51,1,51,58661,8,224,2010.60970319635,1928,2010,-0.635985973338904,-0.77170061663586,4.10932423935416,0.10550190428977,61.2454502638033
"4",2010-10-12,0.614475566200299,-0.486986112849089,57,57,1,57,58723,10,286,2010.77956621005,1930,2011,-0.982794324753772,0.184703316786075,4.17706391224115,0.119434475901527,65.6407183048259
"5",2011-03-29,10.3356489245672,2.33559898018699,42,42,1,42,58891,3,89,2011.23984018265,1935,2011,0.997963173407127,0.0637926682556594,3.66935871161466,0.173815063489775,39.8237930805054
"6",2011-06-20,3.48297210334731,1.24788598197692,51,51,1,51,58974,6,172,2011.46723744292,1938,2011,0.204402437434601,-0.978886941158576,3.8853431729441,0.14765589220111,49.217256515864
"7",2011-08-01,0.849505391060321,-0.163100991733347,54,54,1,54,59016,8,214,2011.58230593607,1940,2011,-0.49439914355632,-0.869235000935177,4.00205763281148,0.110024909309725,55.0427619501151
"8",2011-10-18,0.472891334356912,-0.748889653972793,72,72,1,72,59094,10,292,2011.79600456621,1942,2012,-0.958513611322094,0.285046762672861,4.1199787519231,0.119088014945139,61.995991490435
"9",2012-03-06,20.5863473100284,3.02462810413802,33,33,1,33,59234,3,66,2012.17907559199,1947,2012,0.902338781301323,0.431027520884273,3.30670099198091,0.163819969551812,27.6636557029686
"10",2012-03-27,4.04930903072086,1.3985462568644,43,43,1,43,59255,3,87,2012.23645264117,1947,2012,0.996379431488179,0.0850178128823171,3.8353480183657,0.165751504645018,46.9500748081928
"11",2012-04-09,2.10394168519273,0.743812578328211,50,50,1,50,59268,4,100,2012.27197176685,1948,2012,0.990485853299832,-0.137614586483062,3.74211599168685,0.0886025605610919,42.3530822374943
"12",2012-05-04,7.67386536591156,2.0378204474842,66,66,1,66,59293,5,125,2012.34027777778,1949,2012,0.843391445813255,-0.537299608346244,3.67784113408691,0.0681748441054253,39.6529378047069
"13",2012-05-23,1.23178281703746,0.208462564699136,49,49,1,49,59312,5,144,2012.39219034608,1949,2012,0.626759887475288,-0.779212450780892,3.91493659454789,0.0789645456347101,50.3024756848676
"14",2012-06-19,1.12417880083649,0.117052814297642,51,51,1,51,59339,6,171,2012.46596083789,1950,2012,0.212247572844944,-0.977215926917603,3.93446744465056,0.093334041909192,51.3581206157701
"15",2012-07-25,0.45023785726197,-0.797979264169316,58,58,1,58,59375,7,207,2012.56432149362,1951,2012,-0.393231739118703,-0.919439394060142,4.09271342840394,0.114280890832652,60.2946567929815
"16",2012-08-30,0.407762587708954,-0.897070166813547,64,64,1,64,59411,8,243,2012.66268214936,1952,2012,-0.853237594032905,-0.521522394657161,4.14785060626949,0.12125120503886,63.7648140074783
"17",2012-09-11,0.971267830445633,-0.0291530192236082,53,53,1,53,59423,9,255,2012.69546903461,1953,2012,-0.941874953013656,-0.335963648160814,4.0840607035472,0.114954283233823,59.7798081249388
"18",2012-09-24,0.495544811451854,-0.702097492466034,82,82,1,82,59436,9,268,2012.73098816029,1953,2012,-0.992873742055691,-0.119171021378228,4.10303529527503,0.089586901743246,60.7670804125396
"19",2012-10-10,0.356792264245335,-1.03060155943807,59,59,1,59,59452,10,284,2012.77470400729,1954,2013,-0.987977565565678,0.154597315432435,4.29048526950717,0.114579378020908,73.482661941608
"20",2012-10-19,0.555010188826076,-0.588768807159031,71,71,1,71,59461,10,293,2012.79929417122,1954,2013,-0.952417604115992,0.304796173483124,4.10324074615049,0.118095233665753,60.9597608470363
"21",2013-04-01,10.8736690055721,2.38634417919222,40.63858,40.63858,1,40.63858,59625,4,92,2013.24805936073,1960,2013,0.999925661466288,0.0121930939964543,3.79281661398309,0.172348952328652,45.0453020081016
"22",2013-06-03,15.0362454217677,2.71046364784644,34.69693,34.69693,1,34.69693,59688,6,155,2013.42066210046,1962,2013,0.478103992606928,-0.878303234796112,4.15522655121282,0.134279026251594,64.3438899754955
"23",2013-08-20,0.713584528490669,-0.337454378878125,56.39535,56.39535,1,56.39535,59766,8,233,2013.63436073059,1964,2013,-0.74744876876195,-0.664319454837991,4.06129847806131,0.115694737245632,58.4394464175654
"24",2013-10-29,0.66261420502705,-0.411562351031847,51.35213,51.35213,1,51.35213,59836,10,303,2013.82614155251,1966,2014,-0.887727346963328,0.460369587889394,4.26744487113262,0.106037726883643,71.7413199413233
