"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1980-01-01,7.07921159216934,47481,1,1,1980.00147996357,1561,1980,"A",1,1.95716254446674,NA,NA,15.309431213087,0.599542866784661,7086342.07160672,4334317770.76378,126699696.787147,34949511685.349
"2",1980-01-02,5.83327035194753,47482,1,2,1980.00421220401,1561,1980,"A",2,1.76357779539408,NA,NA,15.9318520975363,0.598060007336166,10291320.670585,5186769616.80934,218234764.997013,61862505076.7472
"3",1980-01-03,4.8704975754125,47483,1,3,1980.00694444444,1561,1980,"A",3,1.58319610341795,NA,NA,17.1707043576758,0.61211702096177,723333704.449315,304386772642.664,304475827.075245,85220795415.8357
"4",1980-01-04,3.82277425977144,47484,1,4,1980.00967668488,1561,1980,"A",4,1.34097640504293,NA,NA,19.0094936365927,0.629352308412704,2349378138.73819,775970692580.572,461868933.813673,131950883155.548
"5",1980-01-05,3.2564373323979,47485,1,5,1980.01240892532,1561,1980,"A",5,1.18063375496775,NA,NA,20.1051506073139,0.641223190328844,4009604301.60818,1128126971741.77,673598471.411479,197913641265.324
"6",1980-01-06,3.11485310055451,47486,1,6,1980.01514116576,1561,1980,"A",6,1.13618199239691,NA,NA,18.5619078832884,0.656152004261682,4430837905.06804,1192441753727.05,785546296.00579,207776971497.901
"7",1980-01-07,3.0015857150798,47487,1,7,1980.01787340619,1561,1980,"A",7,1.09914072071656,4.42551856104757,NA,17.4488355401429,0.6675822332533,4799530150.42927,1244695778377.05,798268175.619903,212676118223.856
"8",1980-01-08,2.91663517597377,47488,1,8,1980.02060564663,1561,1980,"A",8,1.07043061483413,3.83086478730535,NA,16.7593908169382,0.675580272643434,5157772094.36887,1299744534535.96,982418769.743916,278827547209.911
"9",1980-01-09,2.69010040502435,47489,1,9,1980.02333788707,1561,1980,"A",9,0.989578518205039,3.38184050917347,NA,14.4241057347216,0.696660486438248,4766468153.21582,1107844811380.93,1000701893.55528,300013949078.299
"10",1980-01-10,2.69010040502435,47490,1,10,1980.0260701275,1561,1980,"A",10,0.989578518205039,3.07035519911802,NA,14.9388907675493,0.694966108901305,5295888654.33994,1230895199289.92,1149828903.77774,309086971827.225
"11",1980-01-11,2.83168463686774,47491,1,11,1980.02880236794,1561,1980,"A",11,1.04087181259259,2.92877096727463,NA,16.9918602018073,0.681077957191287,6628197024.31354,1621638462287.33,1427760954.42462,387916916439.492
"12",1980-01-12,5.09703234636192,47492,1,12,1980.03153460838,1561,1980,"A",12,1.62865847749471,3.19171311212663,NA,17.3316191842297,0.640021746596729,2086275114.24169,918761334396.462,1432608354.65008,412053231612.375
"13",1980-01-13,8.49505391060321,47493,1,13,1980.03426684882,1561,1980,"A",13,2.1394841012607,3.96031322784788,NA,14.5595286568766,0.658596382196277,5247725.95170522,3851687364.57856,1639843671.86423,512728652160.296
"14",1980-01-14,8.43842021786585,47494,1,14,1980.03699908925,1561,1980,"A",14,2.1327951131099,4.73700387110303,NA,14.5733236265953,0.662790301666665,5477112.59808816,3993250551.8315,2003517311.70222,576158828419.911
"15",1980-01-15,5.7483198128415,47495,1,15,1980.03973132969,1561,1980,"A",15,1.74890760564628,5.14153024779842,NA,16.2623753951325,0.649990128280764,19060171.6883634,9466326364.52561,2086778261.73631,566405468313.191
"16",1980-01-16,4.30416064803896,47496,1,16,1980.04246357013,1561,1980,"A",16,1.45958214745077,5.37211028251479,NA,19.319580215248,0.653248924006387,6658264379.77864,2476071895191.79,2091835822.78402,601383043221.775
