"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2010-05-21,5.04039865362457,1.61748517689658,4.8,4.8,1,4.8,58579,5,142,2010.3850456621,1925,2010,0.66109662866414,-0.750300771403647,-0.931411503040993,0.693517983490171,0.501110869321438
"2",2010-07-19,1.78396132122667,0.57883635299603,0.6,0.6,1,0.6,58638,7,201,2010.54668949772,1927,2010,-0.289169123097447,-0.957278025574103,-2.70230879713606,1.18831553115717,0.135842127281613
"3",2010-08-11,0.591822089105357,-0.524549214424737,0.001,0.001,1,0.001,58661,8,224,2010.60970319635,1928,2010,-0.635985973338904,-0.77170061663586,-3.39936435910804,0.825388098070641,0.0469472051702599
"4",2011-03-29,10.3356489245672,2.33559898018699,5.38,5.38,1,5.38,58891,3,89,2011.23984018265,1935,2011,0.997963173407127,0.0637926682556594,1.24765887260348,0.893185647535509,5.18904240831145
"5",2011-06-20,3.48297210334731,1.24788598197692,1.13,1.13,1,1.13,58974,6,172,2011.46723744292,1938,2011,0.204402437434601,-0.978886941158576,0.0456114952867585,0.92478023000028,1.60515565339234
"6",2012-03-06,20.5863473100284,3.02462810413802,6.28,6.28,1,6.28,59234,3,66,2012.17907559199,1947,2012,0.902338781301323,0.431027520884273,4.03890059835858,0.787625120617339,77.4070037069852
"7",2012-03-27,4.04930903072086,1.3985462568644,2.17,2.17,1,2.17,59255,3,87,2012.23645264117,1947,2012,0.996379431488179,0.0850178128823171,0.453731329630859,0.849327858841534,2.25784368363193
"8",2012-04-09,2.10394168519273,0.743812578328211,0.987,0.987,1,0.987,59268,4,100,2012.27197176685,1948,2012,0.990485853299832,-0.137614586483062,-0.248857254998408,1.10822379881069,1.44083490271808
"9",2012-05-04,7.67386536591156,2.0378204474842,0.354,0.354,1,0.354,59293,5,125,2012.34027777778,1949,2012,0.843391445813255,-0.537299608346244,1.69428627934392,0.208187048544281,5.5619969248986
"10",2012-05-23,1.23178281703746,0.208462564699136,0.197,0.197,1,0.197,59312,5,144,2012.39219034608,1949,2012,0.626759887475288,-0.779212450780892,-0.778072109602338,1.07277602583205,0.816565696411474
"11",2012-06-19,1.12417880083649,0.117052814297642,1,1,1,1,59339,6,171,2012.46596083789,1950,2012,0.212247572844944,-0.977215926917603,-2.24088581068702,0.939759269232809,0.165412641634587
"12",2012-07-25,0.45023785726197,-0.797979264169316,0.011,0.011,1,0.011,59375,7,207,2012.56432149362,1951,2012,-0.393231739118703,-0.919439394060142,-4.7948294583576,1.10389232686296,0.015213983244875
"13",2012-08-30,0.407762587708954,-0.897070166813547,0.006,0.006,1,0.006,59411,8,243,2012.66268214936,1952,2012,-0.853237594032905,-0.521522394657161,-4.75849425729834,1.01666426853166,0.0143832471814086
"14",2012-10-10,0.356792264245335,-1.03060155943807,0.066,0.066,1,0.066,59452,10,284,2012.77470400729,1954,2013,-0.987977565565678,0.154597315432435,-4.96066054400076,0.541238567052624,0.0081137838737471
"15",2012-10-19,0.555010188826076,-0.588768807159031,0.047,0.047,1,0.047,59461,10,293,2012.79929417122,1954,2013,-0.952417604115992,0.304796173483124,-2.64927710471247,1.01121429663154,0.117890396679491
"16",2013-04-01,10.8736690055721,2.38634417919222,3.9128,3.9128,1,3.9128,59625,4,92,2013.24805936073,1960,2013,0.999925661466288,0.0121930939964543,0.784363024798813,0.889255520326137,3.25356303737218
"17",2013-06-03,15.0362454217677,2.71046364784644,10.1346,10.1346,1,10.1346,59688,6,155,2013.42066210046,1962,2013,0.478103992606928,-0.878303234796112,-0.971355750393093,0.66037617299776,0.470806825771206
"18",2013-08-20,0.713584528490669,-0.337454378878125,0.043986,0.043986,1,0.043986,59766,8,233,2013.63436073059,1964,2013,-0.74744876876195,-0.664319454837991,-0.915059562828656,1.03922001447163,0.687240865372412
"19",2013-10-29,0.66261420502705,-0.411562351031847,0.154709,0.154709,1,0.154709,59836,10,303,2013.82614155251,1966,2014,-0.887727346963328,0.460369587889394,-0.392619280217548,0.9473919321451,1.05776316453297
