"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1998-07-07,1.13267385474709,0.124581080718434,106,106,1,106,54243,7,189,1998.51381278539,1783,1998,-0.0866793799940401,-0.996236259671293,4.90780146131294,0.150128759033864,136.875367220609
"2",1998-07-13,1.16099070111577,0.149273693308806,129,129,1,129,54249,7,195,1998.53025114155,1783,1998,-0.188931099399324,-0.981990346021672,4.82525240667735,0.161257464710049,126.248778345795
"3",1998-07-22,3.70950687429673,1.31089894980565,61,61,1,61,54258,7,204,1998.5549086758,1783,1998,-0.338197980653379,-0.941074984197315,4.66490150965693,0.167957397008119,107.663040375217
"4",1998-07-29,0.764554851954289,-0.268461507391173,139,139,1,139,54265,7,211,1998.57408675799,1783,1998,-0.448870397185128,-0.893596870255746,4.82902437280359,0.125245724044692,126.073821271905
"5",1998-08-06,48.7049757541251,3.885781196412,25,25,1,25,54273,8,219,1998.59600456621,1784,1998,-0.567292576326803,-0.8235163221482,3.29844810404703,0.175737798755154,27.4918608287916
"6",1998-08-18,4.67227965083176,1.54164710050508,124,124,1,124,54285,8,231,1998.62888127854,1784,1998,-0.724138884905942,-0.689654170847373,4.35614823634546,0.186904550566141,79.3298829520595
"7",1998-08-27,1.69901078212064,0.530046188826598,99,99,1,99,54294,8,240,1998.65353881279,1784,1998,-0.821885353145029,-0.569652934939925,4.68515307793033,0.172034599483225,109.941788431338
"8",1998-09-03,2.20871401675683,0.792410453294089,117,117,1,117,54301,9,247,1998.67271689498,1785,1998,-0.88440249992158,-0.466724991973281,4.60883604857788,0.177404167785649,101.95914236134
"9",1998-09-08,3.56792264245335,1.27198353355598,97,97,1,97,54306,9,252,1998.68641552511,1785,1998,-0.921250516580692,-0.388969774789517,4.50327634193774,0.20008345897334,92.1385145039285
"10",1998-09-17,1.27425808659048,0.242364116374817,113,113,1,113,54315,9,261,1998.71107305936,1785,1998,-0.970237858357877,-0.242153873000456,4.68050182444396,0.154360205646636,109.116417310119
"11",1998-09-22,1.13267385474709,0.124581080718434,111,111,1,111,54320,9,266,1998.7247716895,1785,1998,-0.987462916490307,-0.157851159503047,4.68873666274599,0.146808261849539,109.893640733679
"12",1998-09-29,0.849505391060321,-0.163100991733347,107,107,1,107,54327,9,273,1998.74394977169,1785,1998,-0.999277528089158,-0.0380055503317833,4.71286969692652,0.12569747382011,112.254613319092
"13",1998-10-08,16.1972361228834,2.7848406179843,57,57,1,57,54336,10,282,1998.76860730594,1786,1999,-0.993173438691115,0.116646991724884,4.10630783542984,0.237391691653352,62.4574323976228
"14",2000-07-20,1.35920862569651,0.306902637512389,146,146,1,146,54987,7,202,2000.55066029144,1807,2000,-0.312960003660935,-0.949766306050361,4.95190836475,0.16879100503458,143.473961595678
"15",2000-07-31,29.1663517597377,3.37301570782818,40,40,1,40,54998,7,213,2000.58071493625,1807,2000,-0.485685237294565,-0.874133771384061,3.73416871316179,0.27696661904121,43.4896929870732
"16",2000-08-03,16.848523589363,2.82426303215013,54,54,1,54,55001,8,216,2000.58891165756,1808,2000,-0.530040580379893,-0.847972277347878,4.06814357951263,0.293425026501467,61.0194522450058
"17",2000-08-30,1.92554555307006,0.655209331780604,138,138,1,138,55028,8,243,2000.66268214936,1808,2000,-0.853237594032565,-0.521522394657717,4.77506290690831,0.163881337964068,120.120025256389
"18",2000-09-13,22.993279251366,3.13520196676618,67,67,1,67,55042,9,257,2000.70093351548,1809,2000,-0.952852670072704,-0.3034333355703,3.92970005270153,0.254400004562755,52.5654854313169
"19",2000-11-28,2.63346671228699,0.968301119757754,127,127,1,127,55118,11,333,2000.90858378871,1811,2001,-0.54331858094118,0.83952660446472,4.69847219255303,0.19264937931939,111.835504764706
"20",2001-02-12,10.4772331564106,2.34920463224277,104,104,1,104,55194,2,43,2001.11655251142,1814,2001,0.668597407268835,0.743624573957445,5.1785801908239,0.269733731249054,184.0041540496
"21",2001-02-26,37.3782372066541,3.62108864218491,98,98,1,98,55208,2,57,2001.1549086758,1814,2001,0.826757910824575,0.562557869813395,4.7474982745346,0.354495744111043,122.77235777608
"22",2001-04-02,3.82277425977144,1.34097640504293,186,186,1,186,55243,4,93,2001.25079908676,1816,2001,0.999987395759061,-0.00502078908250615,5.22584900890398,0.246788350488185,191.770866147826
"23",2001-05-09,2.57683301954964,0.946561133121348,209,209,1,209,55280,5,130,2001.35216894977,1817,2001,0.800931831674118,-0.598755543616209,5.10651430177017,0.217649085038059,169.050901837705
"24",2001-05-23,10.8736690055721,2.38634417919222,120,120,1,120,55294,5,144,2001.39052511416,1817,2001,0.63487830153777,-0.772612155118282,4.60379460603995,0.305184248340797,104.622990167612
"25",2001-06-04,6.59782520390182,1.8867400801702,116,116,1,116,55306,6,156,2001.42340182648,1818,2001,0.462914609947597,-0.886402878998633,4.76896868512665,0.275207272261956,122.344178308406
"26",2001-06-26,1.84059501396403,0.610088896500135,149,149,1,149,55328,6,178,2001.48367579909,1818,2001,0.102388234791302,-0.994744514624897,5.03945026930892,0.200146222639873,157.508515666426
"27",2001-08-07,0.651287466479579,-0.428804157466353,192,192,1,192,55370,8,220,2001.59874429224,1820,2001,-0.581384005562765,-0.813629300158122,5.08323398302749,0.10120888204206,162.123047912126
"28",2001-09-10,18.604168064221,2.92338564508911,64,64,1,64,55404,9,254,2001.69189497717,1821,2001,-0.934093550726273,-0.357028344101113,4.15472073936797,0.294761713270838,66.5639389150473
"29",2001-10-11,3.73782372066541,1.31850354919087,137,137,1,137,55435,10,285,2001.77682648402,1822,2002,-0.985828077144285,0.167758762257004,4.63440171842996,0.191761056186649,104.876961702862
"30",2001-10-25,22.7384276340479,3.12405634055126,90,90,1,90,55449,10,299,2001.8151826484,1822,2002,-0.917298249053182,0.398200856709233,4.15212288736028,0.260001717216678,65.7541859610431
"31",2001-11-27,2.83168463686774,1.04087181259259,122,122,1,122,55482,11,332,2001.90559360731,1823,2002,-0.558994676047918,0.829171244164969,4.77148038963974,0.205805262347063,120.621590339562
"32",2002-02-21,19.8501093044428,2.98820951363909,171,171,1,171,55568,2,52,2002.14121004566,1826,2002,0.775337223610207,0.631547456399293,5.00642417144455,0.330251936742648,157.741456630861
"33",2002-03-27,2.47772405725927,0.907340419968066,164,164,1,164,55602,3,87,2002.23436073059,1827,2002,0.995175934717805,0.0981063655352847,5.55707162104499,0.227171625501592,265.834808385614
"34",2002-04-03,14.8946611899243,2.70100283934221,135,135,1,135,55609,4,94,2002.25353881279,1828,2002,0.999752812204975,-0.0222331843927963,5.03742104321603,0.331488083334133,162.774078499048
"35",2002-04-09,33.9802156424128,3.52577846238059,104,104,1,104,55615,4,100,2002.26997716895,1828,2002,0.992132670374384,-0.125190911714043,4.56071225552444,0.364245165210389,102.21204476963
"36",2002-06-04,5.46515134915473,1.69839181550938,118,118,1,118,55671,6,156,2002.42340182648,1830,2002,0.462914609948623,-0.886402878998096,4.93467278553394,0.262791775207005,143.912078062463
"37",2002-07-22,10.7604016200974,2.37587287932493,83,83,1,83,55719,7,204,2002.5549086758,1831,2002,-0.338197980654153,-0.941074984197037,4.44980119083323,0.31094668754367,89.8503143722987
"38",2002-09-17,0.758891482680553,-0.275896485878691,137,137,1,137,55776,9,261,2002.71107305936,1833,2002,-0.970237858358076,-0.242153872999657,5.05603495421184,0.102404524158855,157.792092695604
"39",2002-10-17,0.835346967875982,-0.179908110049728,137,137,1,137,55806,10,291,2002.79326484018,1834,2003,-0.963278208634718,0.268505293745745,4.95272987168618,0.116689157890587,142.527940114862
"40",2002-10-29,0.971267830445633,-0.0291530192236082,114,114,1,114,55818,10,303,2002.82614155251,1834,2003,-0.887727346963324,0.460369587889403,4.93963158845862,0.127926722225147,140.866722319492
"41",2002-11-12,3.99267533798351,1.38446151698267,95,95,1,95,55832,11,317,2002.86449771689,1835,2003,-0.75219438976793,0.658941272043004,4.74023255182316,0.225050430337116,117.396418477258
"42",2002-11-20,1.96802082262308,0.677028379175244,129,129,1,129,55840,11,325,2002.88641552511,1835,2003,-0.654614304655664,0.755963036226098,4.86262944067798,0.185906076819701,131.618814418349
"43",2002-11-26,1.41867400307074,0.349722634695317,126,126,1,126,55846,11,331,2002.90285388128,1835,2003,-0.573184674894868,0.819426219049442,4.93863583294613,0.173262243905384,141.690589849835
"44",2003-03-17,19.1705049915946,2.95337289951677,282,282,1,282,55957,3,77,2003.20696347032,1839,2003,0.963662392826475,0.267123178799506,5.04214673085916,0.309205075901572,162.381843495424
"45",2003-04-08,7.02257789943198,1.94913037276948,242,242,1,242,55979,4,99,2003.26723744292,1840,2003,0.994140630963926,-0.108094430322045,5.31239272570509,0.289198705148318,211.496969808013
"46",2003-05-01,17.5847615949486,2.86703270853798,172,172,1,172,56002,5,122,2003.33025114155,1841,2003,0.875545397043087,-0.48313585844632,4.77849408496137,0.330259243100119,125.590883623939
"47",2003-05-07,5.77663665921018,1.75382162044871,176,176,1,176,56008,5,128,2003.34668949772,1841,2003,0.821067330842813,-0.570831357077254,5.17090057454616,0.273727394475136,182.794746178509
"48",2003-06-02,3.76614056703409,1.32605075482625,159,159,1,159,56034,6,154,2003.41792237443,1842,2003,0.493151702734898,-0.869943330389785,5.11120047999113,0.246700277764271,170.994431819874
"49",2003-07-01,1.69051572821004,0.525033647003054,190,190,1,190,56063,7,183,2003.49737442922,1843,2003,0.0164961994634792,-0.999863928443896,5.17871345990468,0.198157779385467,180.972794378992
"50",2003-07-31,0.563505242736679,-0.573578641665056,218,218,1,218,56093,7,213,2003.57956621005,1843,2003,-0.479363441334868,-0.877616482930666,5.29597641242558,0.0933653414876191,200.403925215209
"51",2003-08-21,0.841010337149717,-0.173151327586848,180,180,1,180,56114,8,234,2003.63710045662,1844,2003,-0.758773193538494,-0.651354926877348,5.16807484373259,0.112209615817284,176.685328032733
"52",2003-09-03,1.41017894916013,0.343716610635105,169,169,1,169,56127,9,247,2003.67271689498,1845,2003,-0.884402499922273,-0.466724991971968,5.00739899253897,0.126844181384018,150.723000094338
"53",2003-10-16,5.7483198128415,1.74890760564628,97,97,1,97,56170,10,290,2003.79052511416,1846,2004,-0.967757365824081,0.251884260908131,4.66172732392352,0.237311971575704,108.840750556159
"54",2003-11-04,9.03307399160808,2.20089272938934,103,103,1,103,56189,11,309,2003.84257990868,1847,2004,-0.835531602097707,0.549442391790111,4.62503261085295,0.274464510879583,105.92147256626
"55",2003-11-19,21.152684237402,3.05176681173731,79,79,1,79,56204,11,324,2003.88367579909,1847,2004,-0.667529977466009,0.744582922973815,4.89355534399826,0.246479618494066,137.542291610587
"56",2004-03-03,6.82435997485124,1.92049856009515,233,233,1,233,56309,3,63,2004.17087887067,1851,2004,0.878953601137577,0.476907293975763,5.50890101896917,0.288418665266954,257.364580862331
"57",2004-03-25,10.618817388254,2.36262765257491,344,344,1,344,56331,3,85,2004.23098816029,1851,2004,0.992873742055672,0.119171021378384,5.32171374174235,0.310434274794376,214.841051899744
"58",2004-05-03,6.51287466479579,1.87378093552769,208,208,1,208,56370,5,124,2004.33754553734,1853,2004,0.852490632401518,-0.522742500345686,5.23462749628906,0.300185243942991,196.307652972831
"59",2004-05-10,24.4091215697999,3.19495689726819,135,135,1,135,56377,5,131,2004.3566712204,1853,2004,0.783675684753195,-0.621170203025395,4.54851803522886,0.349959335129084,100.459413820519
"60",2004-05-24,28.8831832960509,3.36325953288281,38,38,1,38,56391,5,145,2004.39492258652,1853,2004,0.613291315087564,-0.789856798944066,4.74847291889167,0.244730126215801,118.916234826527
"61",2004-06-24,2.55134785781783,0.93662179121879,159,159,1,159,56422,6,176,2004.47962204007,1854,2004,0.127688944248754,-0.991814263618264,5.15615649471326,0.237254073278971,178.44871381213
"62",2004-07-28,9.17465822345146,2.21644514239683,191,191,1,191,56456,7,210,2004.57251821494,1855,2004,-0.440041944272101,-0.897977219800831,4.48822287516008,0.272777349332824,92.3353091765792
"63",2004-08-24,1.16382238575264,0.151709748106687,190,190,1,190,56483,8,237,2004.64628870674,1856,2004,-0.79509187600523,-0.606489001310398,5.1251550972388,0.11715185633281,169.358433280462
"64",2004-09-07,9.74099515082501,2.2763432839779,143,143,1,143,56497,9,251,2004.68454007286,1857,2004,-0.916603114272703,-0.399798362810033,4.50006597404013,0.269429778527496,93.3505887445389
"65",2004-10-12,0.849505391060321,-0.163100991733347,171,171,1,171,56532,10,286,2004.78016848816,1858,2005,-0.982088330537378,0.188421100257658,5.04529236003495,0.110597946955872,156.242347742681
"66",2004-11-03,4.5023785726197,1.50460582882473,118,118,1,118,56554,11,308,2004.84027777778,1859,2005,-0.843391445812985,0.537299608346668,4.76437872336565,0.234808377556322,120.53572842691
