"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2006-01-31,7.30574636311876,1.98866121152612,2.2,2.2,1,2.2,57008,1,31,2006.08367579909,1873,2006,0.501862333524929,0.864947511811505,0.40458936813386,0.218083373366652,1.53475313960734
"2",2006-03-14,30.5821940781715,3.42041794672276,1.11,1.11,1,1.11,57050,3,74,2006.19874429224,1875,2006,0.948588844223971,0.316510986561021,0.0366427234545883,0.214834695314085,1.06153895187202
"3",2006-04-25,4.8704975754125,1.58319610341795,1.2,1.2,1,1.2,57092,4,116,2006.31381278539,1876,2006,0.920691585050255,-0.390290923821768,0.345562068207599,0.233476826688508,1.45181976877147
"4",2006-05-17,11.2134711619962,2.41711583785898,1.05,1.05,1,1.05,57114,5,138,2006.37408675799,1877,2006,0.711152545395092,-0.70303773524476,0.137131202661097,0.242996019749187,1.18134631790403
"5",2006-06-19,6.6261420502705,1.8910227419622,1.07,1.07,1,1.07,57147,6,171,2006.4644977169,1878,2006,0.221222082561128,-0.975223456540765,0.137580387320852,0.243631607057857,1.1820598678253
"6",2006-07-13,5.18198288546796,1.64518777944592,1.02,1.02,1,1.02,57171,7,195,2006.53025114155,1879,2006,-0.188931099399155,-0.981990346021704,0.226108536039003,0.237319766104762,1.28951847272498
"7",2006-08-01,1.55742655027725,0.443034811836969,1.48,1.48,1,1.48,57190,8,214,2006.58230593607,1880,2006,-0.494399143556611,-0.869235000935012,0.792049158975683,0.211834123353137,2.25801476997993
"8",2006-08-23,0.866495498881527,-0.143298364437167,2.8,2.8,1,2.8,57212,8,236,2006.64257990868,1880,2006,-0.780744231425863,-0.624850738252936,1.06834669514638,0.217576425379141,2.98027758523462
"9",2006-09-14,13.5071357178591,2.60321811749284,0.89,0.89,1,0.89,57234,9,258,2006.70285388128,1881,2006,-0.956444450707855,-0.291914392776633,-0.105798663134256,0.237129767995163,0.925257316921045
"10",2006-10-02,2.16623874720382,0.772992367436988,1.98,1.98,1,1.98,57252,10,276,2006.75216894977,1882,2007,-0.999907141426193,0.0136274915116448,0.572783667178948,0.244085991211124,1.82681251435906
"11",2006-10-19,6.11643881563431,1.81098003428866,1.45,1.45,1,1.45,57269,10,293,2006.79874429224,1882,2007,-0.953464985740562,0.301503766090491,0.193874565101957,0.236597734304151,1.24840134530952
"12",2006-11-08,10.618817388254,2.36262765257491,0.99,0.99,1,0.99,57289,11,313,2006.85353881279,1883,2007,-0.795748677350528,0.605626982964667,0.217845522678012,0.202951498375394,1.26926777365946
"13",2007-03-15,13.9885221061266,2.63823714379242,1.52,1.52,1,1.52,57416,3,75,2007.20148401826,1887,2007,0.953896516889444,0.300135694422017,0.297630816969435,0.257692910825539,1.39212817179779
"14",2007-04-02,6.51287466479579,1.87378093552769,1.3,1.3,1,1.3,57434,4,93,2007.25079908676,1888,2007,0.999987395759069,-0.00502078908101256,0.343457509977431,0.247283147789221,1.4535836463185
"15",2007-04-24,2.17756548575129,0.778207503116096,1.47,1.47,1,1.47,57456,4,115,2007.31107305936,1888,2007,0.927273391332428,-0.374384905848057,0.624119901246863,0.221846389891622,1.91310544965225
"16",2007-05-17,4.41742803351367,1.48555763385403,1.04,1.04,1,1.04,57479,5,138,2007.37408675799,1889,2007,0.711152545395907,-0.703037735243936,0.291131819109922,0.237711237498222,1.37628127738675
"17",2007-06-11,1.52061464999797,0.419114628119317,1.86,1.86,1,1.86,57504,6,163,2007.44257990868,1890,2007,0.35300513055668,-0.935621385925237,0.715873039825857,0.213957310177197,2.09334215319951
"18",2007-06-28,6.68277574300786,1.89953343163011,1.78,1.78,1,1.78,57521,6,180,2007.48915525114,1890,2007,0.0680868502541693,-0.99767939781398,0.0329955206864862,0.231980528815075,1.06173355717658
"19",2007-07-25,0.665445889663918,-0.407297952245389,4.7,4.7,1,4.7,57548,7,207,2007.56312785388,1891,2007,-0.386325078130512,-0.922362691140234,1.1071749394052,0.191056253509142,3.0815298721673
"20",2007-08-14,1.17514912430011,0.16139505384115,3.2,3.2,1,3.2,57568,8,227,2007.61792237443,1892,2007,-0.674973016224586,-0.737842413641751,0.826478669882421,0.208408499570653,2.335429282759
"21",2007-08-28,2.45507058016433,0.898155510390994,1.67,1.67,1,1.67,57582,8,241,2007.65627853881,1892,2007,-0.831569220815236,-0.555421129407895,0.518418345255668,0.231239562042995,1.72487435954196
"22",2007-09-10,1.5007928575399,0.40599354015662,2.2,2.2,1,2.2,57595,9,254,2007.69189497717,1893,2007,-0.934093550726389,-0.35702834410081,0.726016556847079,0.223125526707627,2.11892536567431
"23",2007-10-10,1.4045155798864,0.339692460335379,1.87,1.87,1,1.87,57625,10,284,2007.77408675799,1894,2008,-0.988569707399516,0.150764497186952,0.728974791347714,0.224622447006543,2.12591524503756
"24",2007-11-08,1.02790152318299,0.0275193678753025,1.93,1.93,1,1.93,57654,11,313,2007.85353881279,1895,2008,-0.795748677350128,0.605626982965193,0.841075478989204,0.215330138410887,2.37324688977119
"25",2008-03-19,15.6592160418786,2.75105962812683,1.47,1.47,1,1.47,57786,3,79,2008.21459471767,1899,2008,0.97535810447599,0.220627668330613,0.257685519116304,0.280353512240869,1.34579452698856
"26",2008-04-03,8.89148975976469,2.18509461251275,1.68,1.68,1,1.68,57801,4,94,2008.25557832423,1900,2008,0.999385824078209,-0.0350424689700918,0.262762413489443,0.261004452732973,1.34557855860821
"27",2008-04-17,3.93604164524615,1.37017555973519,1.38,1.38,1,1.38,57815,4,108,2008.29382969035,1900,2008,0.962319203077737,-0.271922326019451,0.360087510551145,0.240142551267894,1.4753890725609
