"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2006-01-31,7.30574636311876,1.98866121152612,0.058,0.058,1,0.058,57008,1,31,2006.08367579909,1873,2006,0.501862333524929,0.864947511811505,-3.81853286907446,0.328523826258279,0.0231776015551821
"2",2006-03-14,30.5821940781715,3.42041794672276,0.043,0.043,1,0.043,57050,3,74,2006.19874429224,1875,2006,0.948588844223971,0.316510986561021,-3.2433626969779,0.31023653671761,0.0409567215138292
"3",2006-04-25,4.8704975754125,1.58319610341795,0.035,0.035,1,0.035,57092,4,116,2006.31381278539,1876,2006,0.920691585050255,-0.390290923821768,-3.39532800138058,0.335824582603976,0.0354745789034654
"4",2006-05-17,11.2134711619962,2.41711583785898,0.048,0.048,1,0.048,57114,5,138,2006.37408675799,1877,2006,0.711152545395092,-0.70303773524476,-3.15699445482506,0.343482246312978,0.0451391910774034
"5",2006-06-19,6.6261420502705,1.8910227419622,0.064,0.064,1,0.064,57147,6,171,2006.4644977169,1878,2006,0.221222082561128,-0.975223456540765,-2.94460459138528,0.312819397309834,0.0552616222235632
"6",2006-07-13,5.18198288546796,1.64518777944592,0.077,0.077,1,0.077,57171,7,195,2006.53025114155,1879,2006,-0.188931099399155,-0.981990346021704,-2.74140943374309,0.295616069032757,0.067359252674595
"7",2006-08-01,1.55742655027725,0.443034811836969,0.078,0.078,1,0.078,57190,8,214,2006.58230593607,1880,2006,-0.494399143556611,-0.869235000935012,-2.21988309786973,0.301577439709304,0.113675358926212
"8",2006-08-23,0.866495498881527,-0.143298364437167,0.24,0.24,1,0.24,57212,8,236,2006.64257990868,1880,2006,-0.780744231425863,-0.624850738252936,-2.14765652224972,0.266849479685736,0.120989417021168
"9",2006-09-14,13.5071357178591,2.60321811749284,0.049,0.049,1,0.049,57234,9,258,2006.70285388128,1881,2006,-0.956444450707855,-0.291914392776633,-2.60560740401934,0.217482833769309,0.0756257827306626
"10",2006-10-02,2.16623874720382,0.772992367436988,0.099,0.099,1,0.099,57252,10,276,2006.75216894977,1882,2007,-0.999907141426193,0.0136274915116448,-2.50396823840969,0.288486104991351,0.0852338927496591
"11",2006-10-19,6.11643881563431,1.81098003428866,0.079,0.079,1,0.079,57269,10,293,2006.79874429224,1882,2007,-0.953464985740562,0.301503766090491,-2.81140858834766,0.242407591966602,0.0619128289445645
"12",2006-11-08,10.618817388254,2.36262765257491,0.055,0.055,1,0.055,57289,11,313,2006.85353881279,1883,2007,-0.795748677350528,0.605626982964667,-2.8170141721761,0.300116678478564,0.0625381091396183
"13",2007-03-15,13.9885221061266,2.63823714379242,0.027,0.027,1,0.027,57416,3,75,2007.20148401826,1887,2007,0.953896516889444,0.300135694422017,-3.31275026727861,0.356044666795203,0.0387987843161423
"14",2007-04-02,6.51287466479579,1.87378093552769,0.015,0.015,1,0.015,57434,4,93,2007.25079908676,1888,2007,0.999987395759069,-0.00502078908101256,-3.35551392579337,0.309522916576765,0.0366034892708328
"15",2007-04-24,2.17756548575129,0.778207503116096,0.021,0.021,1,0.021,57456,4,115,2007.31107305936,1888,2007,0.927273391332428,-0.374384905848057,-2.90998592478255,0.274799780898365,0.0565727156874078
"16",2007-05-17,4.41742803351367,1.48555763385403,0.053,0.053,1,0.053,57479,5,138,2007.37408675799,1889,2007,0.711152545395907,-0.703037735243936,-3.13473902542607,0.327926267181211,0.0459146423623082
"17",2007-06-11,1.52061464999797,0.419114628119317,0.069,0.069,1,0.069,57504,6,163,2007.44257990868,1890,2007,0.35300513055668,-0.935621385925237,-2.56117058410064,0.316410140639805,0.0811778464871962
"18",2007-06-28,6.68277574300786,1.89953343163011,0.054,0.054,1,0.054,57521,6,180,2007.48915525114,1890,2007,0.0680868502541693,-0.99767939781398,-2.76619548780114,0.31806729433812,0.0661644422856409
"19",2007-07-25,0.665445889663918,-0.407297952245389,0.173,0.173,1,0.173,57548,7,207,2007.56312785388,1891,2007,-0.386325078130512,-0.922362691140234,-2.0339922919887,0.295735748819612,0.136659550964096
"20",2007-08-14,1.17514912430011,0.16139505384115,0.116,0.116,1,0.116,57568,8,227,2007.61792237443,1892,2007,-0.674973016224586,-0.737842413641751,-2.22149146701672,0.291954101018929,0.113169015146712
"21",2007-08-28,2.45507058016433,0.898155510390994,0.074,0.074,1,0.074,57582,8,241,2007.65627853881,1892,2007,-0.831569220815236,-0.555421129407895,-2.41796240809715,0.275992617763605,0.0925620132509112
"22",2007-09-10,1.5007928575399,0.40599354015662,0.073,0.073,1,0.073,57595,9,254,2007.69189497717,1893,2007,-0.934093550726389,-0.35702834410081,-2.32937108243821,0.275581556848353,0.101124941185996
"23",2007-10-10,1.4045155798864,0.339692460335379,0.119,0.119,1,0.119,57625,10,284,2007.77408675799,1894,2008,-0.988569707399516,0.150764497186952,-2.5688831393682,0.269707259887835,0.079459157112305
"24",2007-11-08,1.02790152318299,0.0275193678753025,0.045,0.045,1,0.045,57654,11,313,2007.85353881279,1895,2008,-0.795748677350128,0.605626982965193,-2.5079417820462,0.270076954082964,0.0844605260179691
"25",2008-03-19,15.6592160418786,2.75105962812683,0.033,0.033,1,0.033,57786,3,79,2008.21459471767,1899,2008,0.97535810447599,0.220627668330613,-3.21376880095197,0.364983365275931,0.0429738979299397
