"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30"
"1",1975-01-10,778.698534484923,45664,1,10,1975.02614155251,1501,1975,1,6.65762398057902,NA,NA
"2",1975-01-11,849.94843942291,45665,1,11,1975.02888127854,1501,1975,2,6.74517568814204,NA,NA
"3",1975-01-12,752.512530805488,45666,1,12,1975.03162100457,1501,1975,3,6.62341764871759,NA,NA
"4",1975-01-13,571.471133284547,45667,1,13,1975.03436073059,1501,1975,4,6.34821397152093,NA,NA
"5",1975-01-14,407.648738092959,45668,1,14,1975.03710045662,1501,1975,5,6.01040586753921,NA,NA
"6",1975-01-15,303.58432768807,45669,1,15,1975.03984018265,1501,1975,6,5.71565942260824,NA,NA
"7",1975-01-16,253.152024305455,45670,1,16,1975.04257990868,1501,1975,7,5.53399019485029,559.573675440622,NA
"8",1975-01-17,153.250190316762,45671,1,17,1975.0453196347,1501,1975,8,5.03207181668675,470.223911988027,NA
"9",1975-01-18,153.250190316762,45672,1,18,1975.04805936073,1501,1975,9,5.03207181668675,370.695590687149,NA
"10",1975-01-19,130.681663760926,45673,1,19,1975.05079908676,1501,1975,10,4.87276431821691,281.862609680783,NA
"11",1975-01-20,106.640661193919,45674,1,20,1975.05353881279,1501,1975,11,4.66946487609428,215.458256524979,NA
"12",1975-01-21,78.1255969006606,45675,1,21,1975.05627853881,1501,1975,12,4.35831774835583,168.383522068936,NA
"13",1975-01-22,67.4784626660379,45676,1,22,1975.05901826484,1501,1975,13,4.21180847535005,134.654112780074,NA
"14",1975-01-23,54.7641986465018,45677,1,23,1975.06175799087,1501,1975,14,4.00303667108401,106.312994828795,NA
"15",1975-01-24,53.3483563280679,45678,1,24,1975.06449771689,1501,1975,15,3.9768431680523,92.041304258982,NA
"16",1975-01-25,55.4721198057187,45679,1,25,1975.06723744292,1501,1975,16,4.01588054869154,78.0730084716902,NA
"17",1975-01-26,60.5691521520806,45680,1,26,1975.06997716895,1501,1975,17,4.10378572307551,68.0569353847123,NA
"18",1975-01-27,66.6572741213462,45681,1,27,1975.07271689498,1501,1975,18,4.19956417977445,62.3450229457734,NA
"19",1975-01-28,81.5236184649019,45682,1,28,1975.075456621,1501,1975,19,4.4008927753791,62.8304545978079,NA
"20",1975-01-29,214.329627933999,45683,1,29,1975.07819634703,1501,1975,20,5.36751514739829,83.8091924932308,NA
"21",1975-01-30,429.452709796841,45684,1,30,1975.08093607306,1501,1975,21,6.06251163011628,137.336122657565,NA
"22",1975-01-31,511.146811570475,45685,1,31,1975.08367579909,1501,1975,22,6.2366568514265,202.735901977909,NA
"23",1975-02-01,451.539849964409,45686,2,32,1975.08641552511,1502,1975,23,6.11266363023447,259.317006286293,NA
"24",1975-02-02,344.162368534384,45687,2,33,1975.08915525114,1502,1975,24,5.84111354756915,299.830322912336,NA
"25",1975-02-03,265.837971478623,45688,2,34,1975.09189497717,1502,1975,25,5.58288699340717,328.28470824909,NA
"26",1975-02-05,162.453165386582,45690,2,36,1975.09737442922,1502,1975,26,5.09038974722279,339.846072095044,NA
"27",1975-02-06,136.429983573767,45691,2,37,1975.10011415525,1502,1975,27,4.91581154217433,328.717551472154,NA
"28",1975-02-07,113.295120090558,45692,2,38,1975.10285388128,1502,1975,28,4.72999609641405,283.552181514114,NA
"29",1975-02-08,88.6311469034399,45693,2,39,1975.10559360731,1502,1975,29,4.48448334101906,223.192800847395,NA
"30",1975-02-09,82.3731238559622,45694,2,40,1975.10833333333,1502,1975,30,4.41125921691489,170.454697117617,259.280969728236
"31",1975-02-10,79.8246076827812,45695,2,41,1975.11107305936,1502,1975,31,4.37983182387259,132.692159853102,235.985172168164
"32",1975-02-11,48.5628092917614,45696,2,42,1975.11381278539,1502,1975,32,3.8828579970499,101.652850969265,209.272317830459
"33",1975-02-12,54.7641986465018,45697,2,43,1975.11655251142,1502,1975,33,4.00303667108401,86.2687128635388,186.014040091827
"34",1975-02-13,59.0683592945407,45698,2,44,1975.11929223744,1502,1975,34,4.07869540532041,75.2170522522207,168.933947625493
"35",1975-02-14,51.932514009634,45699,2,45,1975.12203196347,1502,1975,35,3.94994506819288,66.4509656692316,157.076740156049
"36",1975-02-15,48.5628092917614,45700,2,46,1975.1247716895,1502,1975,36,3.8828579970499,60.7269174389918,148.576022876172
"37",1975-02-16,32.7336921716708,45701,2,47,1975.12751141553,1502,1975,37,3.48840488910689,53.6355700555216,141.228745138379
"38",1975-02-17,48.5628092917614,45702,2,48,1975.13025114155,1502,1975,38,3.8828579970499,49.1695988568045,137.739165770879
"39",1975-02-21,330.853450741106,45706,2,52,1975.14121004566,1502,1975,39,5.80167553032995,89.496833349568,143.659274451691
"40",1975-02-22,253.152024305455,45707,2,53,1975.14394977169,1502,1975,40,5.53399019485029,117.837951300847,147.741619803175
"41",1975-02-23,699.708691539497,45708,2,54,1975.14668949772,1502,1975,41,6.55066409348333,209.357998764412,167.510554148028
"42",1975-02-24,1217.42559369803,45709,2,55,1975.14942922374,1502,1975,42,7.10449373908348,375.857010148468,205.48722070794
