"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2000-01-01,21.6802111916576,3.07639991783662,3.49,3.49,1,3.49,54786,1,1,2000.00147996357,1801,2000,0.0092987513473758,0.999956765677086,1.71353826513446,0.469639921010489,6.19547441736757
"2",2000-01-02,20.8573236361838,3.03770514010373,3.92,3.92,1,3.92,54787,1,2,2000.00421220401,1801,2000,0.0264629687341458,0.999649794320879,1.68724661065254,0.471494055750113,6.03997536294861
"3",2000-01-03,19.480275397275,2.96940243555157,3.825,3.825,1,3.825,54788,1,3,2000.00694444444,1801,2000,0.0436193873643843,0.999048221581899,1.6432951023022,0.474515868271723,5.7885264318528
"4",2000-01-04,26.0126886860652,3.25858444536246,3.75,3.75,1,3.75,54789,1,4,2000.00967668488,1801,2000,0.0607629511609545,0.998152224746412,1.79525613663242,0.456455512096991,6.682097624464
"5",2000-01-05,31.2782062683208,3.44292156966971,4.42,4.42,1,4.42,54790,1,5,2000.01240892532,1801,2000,0.0778886078369172,0.996962067868797,1.86541006047826,0.443947584914232,7.12745900095007
"6",2000-01-06,31.7765827644095,3.45872962746075,4.83,4.83,1,4.83,54791,1,6,2000.01514116576,1801,2000,0.0949913103808326,0.995478101693921,1.8671015697877,0.442914213235787,7.1362545788657
"7",2000-01-07,67.4274923425743,4.21105283300816,5.73,5.73,1,5.73,54792,1,7,2000.01787340619,1801,2000,0.112066018549577,0.993700763553317,2.04440394072778,0.396747569724914,8.35707309690766
"8",2000-01-08,42.8513013791992,3.75773601515902,6.02,6.02,1,6.02,54793,1,8,2000.02060564663,1801,2000,0.129107700350085,0.991630577236459,1.95002235218084,0.423076524005512,7.68691263309962
"9",2000-01-09,45.895362363832,3.82636407413682,6.21,6.21,1,6.21,54794,1,9,2000.02333788707,1801,2000,0.146111333516899,0.989268152837194,1.96370448481941,0.419133756625508,7.77988096380344
"10",2000-01-10,38.4367050303224,3.6490128632149,5.795,5.795,1,5.795,54795,1,10,2000.0260701275,1801,2000,0.163071907004882,0.986614186572335,1.9130386680687,0.430846210239378,7.43243028806573
"11",2000-01-11,52.3346132280692,3.95765797296845,5.35,5.35,1,5.35,54796,1,11,2000.02880236794,1801,2000,0.179984422453375,0.983669460578158,1.98789122541165,0.412398506356522,7.94805694559432
"12",2000-01-12,21.6802111916576,3.07639991783662,5.57,5.57,1,5.57,54797,1,12,2000.03153460838,1801,2000,0.196843895664663,0.980434842679288,1.66148663349478,0.464266350577538,5.86650030360621
"13",2000-01-13,25.5576369649206,3.24093617472381,5.43,5.43,1,5.43,54798,1,13,2000.03426684882,1801,2000,0.213645358078179,0.976911286131779,1.74388401902499,0.456042077582121,6.34629518551311
"14",2000-01-14,21.2687674139207,3.05723967802293,5.59,5.59,1,5.59,54799,1,14,2000.03699908925,1801,2000,0.230383858222272,0.973099829344667,1.63836127499235,0.464487164284413,5.73297984257002
"15",2000-01-15,20.8573236361838,3.03770514010373,5.56,5.56,1,5.56,54800,1,15,2000.03973132969,1801,2000,0.247054463185905,0.969001595571403,1.62031179361074,0.465004266382514,5.6317840655549
"16",2000-01-16,23.737430080342,3.16705313059818,5.23,5.23,1,5.23,54801,1,16,2000.04246357013,1801,2000,0.263652260067033,0.96461779257981,1.68895473465783,0.459513252519128,6.01665194490854
"17",2000-01-17,27.2153051513429,3.30377950443925,5.345,5.345,1,5.345,54802,1,17,2000.04519581056,1801,2000,0.280172357415215,0.959949712297681,1.75027425294763,0.453145302887058,6.37857415505877
"18",2000-01-18,18.17033808426,2.89979048896365,5.2,5.2,1,5.2,54803,1,18,2000.047928051,1801,2000,0.296609886685437,0.954998730428712,1.509525833377,0.468733837056356,5.04996614032062
"19",2000-01-19,20.4458798584469,3.01778138827564,5.29,5.29,1,5.29,54804,1,19,2000.05066029144,1801,2000,0.312960003660621,0.949766306050464,1.58100934039848,0.465032813814658,5.41480624885164
"20",2000-01-20,18.6545561571644,2.92609041422522,5.05,5.05,1,5.05,54805,1,20,2000.05339253188,1801,2000,0.32921788988453,0.944253981183017,1.51322976791379,0.467551547416298,5.06590091548024
"21",2000-01-21,17.6861200113556,2.8727801518003,5.19,5.19,1,5.19,54806,1,21,2000.05612477231,1801,2000,0.345378754086915,0.938463380332643,1.46661455453047,0.468606054543244,4.83755956620638
"22",2000-01-22,57.1116652104651,4.04500839020065,4.56,4.56,1,4.56,54807,1,22,2000.05885701275,1801,2000,0.361437833583494,0.932396210017217,1.95969548433245,0.417417293378365,7.74319259661671
"23",2000-01-23,78.6466268738443,4.36496474077586,5,5,1,5,54808,1,23,2000.06158925319,1801,2000,0.377390395691547,0.926054258259081,2.01568184867798,0.40650129417608,8.15232774829991
"24",2000-01-24,74.4741395614196,4.31045194514448,5.215,5.215,1,5.215,54809,1,24,2000.06432149362,1801,2000,0.393231739119473,0.919439394059812,2.00151268653453,0.409719832825605,8.04819511713132
