Date,Units,Result Value
2004-09-08,mg/l,109
1998-09-08,mg/l,63
1998-09-03,mg/l,60
1998-09-22,mg/l,40
2003-09-18,mg/l,90
1998-09-16,mg/l,45
2010-09-13,mg/L          ,64
2000-09-13,mg/l,57
2005-09-01,mg/l,*Non-detect
2005-09-01,mg/l,64
1998-08-06,mg/l,65
2000-08-30,mg/l,76
2000-08-03,mg/l,76
2012-08-29,mg/L          ,69
2002-08-29,mg/l,31
1998-08-27,mg/l,56
2010-08-23,mg/L          ,68
2013-08-20,mg/L,72.97451
2003-08-20,mg/l,41
1998-08-20,mg/l,50
2011-08-02,mg/L          ,74
2001-08-16,mg/l,37
2005-08-15,mg/l,77
1998-08-12,mg/l,55
2010-08-11,mg/L          ,68
2000-07-31,mg/l,63
1998-07-29,mg/l,34
2000-07-27,mg/l,71
2005-07-25,mg/l,*Non-detect
2005-07-25,mg/l,78
2005-07-25,mg/l,79
1998-07-22,mg/l,51
2010-07-19,mg/L          ,80
2004-07-13,mg/l,92
1998-07-13,mg/l,41
2005-07-11,mg/l,91
1998-07-01,mg/l,42
2010-06-07,mg/L          ,65
2013-06-04,mg/L,128.0079
2003-06-03,mg/l,137
2011-06-20,mg/L          ,180
2012-06-18,mg/L          ,59
2002-06-18,mg/l,77
2005-06-14,mg/l,92
2001-06-11,mg/l,99
2010-05-05,mg/L          ,146
2005-05-25,mg/l,184
2010-05-21,mg/L          ,138
2012-04-09,mg/L          ,120
2010-04-07,mg/L          ,246
2004-04-07,mg/l,236
2005-04-05,mg/l,44
2005-04-27,mg/l,256
2005-04-27,mg/l,258
2002-04-24,mg/l,103
2001-04-02,mg/l,81
2003-04-14,mg/l,112
2013-04-01,mg/L,252.6101
2011-03-28,mg/L          ,24
2010-03-24,mg/L          ,249
2005-03-14,mg/l,23
2010-11-08,mg/L          ,87
2005-11-08,mg/l,75
2000-11-29,mg/l,33
2005-11-22,mg/l,84
2002-11-12,mg/l,67
2012-10-09,mg/L          ,59
1998-10-08,mg/l,43
2013-10-30,mg/L,71.12838
2005-10-03,mg/l,74
2004-10-20,mg/l,70
2011-10-18,mg/L          ,120
2010-10-12,mg/L          ,105
2001-10-11,mg/l,68
2010-10-01,mg/L          ,115
