Date,code,"Chloride, mg/L"
2000-10-02,0,16.2
2000-10-03,0,17.8
2000-10-04,0,16.3
2000-10-05,0,20.6
2000-10-06,0,14.0
2000-10-07,0,14.7
2000-10-08,0,20.4
2000-10-09,0,20.5
2000-10-10,0,20.3
2000-10-11,0,22.4
2000-10-12,0,23.4
2000-10-13,0,25.5
2000-10-14,0,27.8
2000-10-15,0,32.8
2000-10-16,0,31.55
2000-10-17,0,9.85
2000-10-18,0,10.0
2000-10-19,0,16.533333333333335
2000-10-20,0,22.3
2000-10-21,0,20.633333333333336
2000-10-22,0,17.866666666666667
2000-10-23,0,12.9
2000-10-24,0,14.766666666666666
2000-10-25,0,21.5
2000-10-26,0,27.5
2000-10-27,0,30.233333333333334
2000-10-28,0,28.133333333333336
2000-10-29,0,30.633333333333336
2000-10-30,0,32.93333333333333
2000-10-31,0,34.0
2000-11-01,0,42.06666666666666
2000-11-02,0,52.43333333333334
2000-11-03,0,46.333333333333336
2000-11-04,0,40.333333333333336
2000-11-05,0,50.6
2000-11-06,0,41.66
2000-11-07,0,49.3
2000-11-08,0,44.4
2000-11-09,0,53.0
2000-11-10,0,35.6
2000-11-11,0,57.3
2000-11-12,0,73.3
2000-11-13,0,24.2
2000-11-14,0,49.6
2000-11-20,0,80.80000000000001
2000-11-21,0,62.666666666666664
2000-11-22,0,47.3
2000-11-27,0,63.5
2000-11-28,0,44.7
2000-11-29,0,67.2
2000-11-30,0,101.7
2000-12-01,0,39.6
2000-12-02,0,17.7
2000-12-03,0,32.2
2000-12-04,0,22.900000000000002
2000-12-05,0,24.2
2000-12-06,0,46.2
2000-12-07,0,44.6
2000-12-08,0,25.4
2000-12-09,0,145.9
2000-12-10,0,25.6
2000-12-11,0,36.96666666666666
2000-12-12,0,24.566666666666663
2000-12-13,0,30.333333333333332
2000-12-14,0,21.55
2000-12-15,0,34.2
2000-12-16,0,43.400000000000006
2000-12-19,0,11.7
2000-12-20,0,28.1
2000-12-21,0,47.7
2000-12-22,0,54.3
2000-12-23,0,38.2
2000-12-25,0,20.5
2000-12-26,0,21.9
