Date,code,"NO23, mg/L as N"
2018-01-26,0,5.07
2018-01-27,0,4.76
2018-01-28,0,4.78
2018-01-29,0,4.79
2018-01-30,0,4.72
2018-01-31,0,4.98
2018-02-01,0,4.62
2018-02-02,0,4.56
2018-02-03,0,4.51
2018-02-04,0,4.09
2018-02-05,0,4.045
2018-02-06,0,3.72
2018-02-07,0,3.4499999999999997
2018-02-08,0,3.1399999999999997
2018-02-09,0,3.4099999999999997
2018-02-10,0,2.82
2018-02-12,0,2.73
2018-02-13,0,3.04
2018-02-14,0,2.21
2018-02-15,0,2.4433333333333334
2018-02-16,0,4.03
2018-02-17,0,5.29
2018-02-18,0,5.289999999999999
2018-02-19,0,3.9724999999999997
2018-02-20,0,2.856666666666667
2018-02-21,0,3.8333333333333335
2018-02-22,0,3.106666666666667
2018-02-23,0,3.1549999999999994
2018-02-24,0,3.7399999999999998
2018-02-25,0,2.4799999999999995
2018-02-26,0,3.1975
2018-02-27,0,3.64
2018-02-28,0,3.45
2018-03-01,0,1.78
2018-03-02,0,1.876666666666667
2018-03-03,0,2.746666666666666
2018-03-04,0,3.39
2018-03-05,0,3.4433333333333334
2018-03-06,0,3.4
2018-03-07,0,3.2899999999999996
2018-03-08,0,3.13
2018-03-09,0,2.9699999999999998
2018-03-10,0,2.82
2018-03-11,0,2.8299999999999996
2018-03-12,0,2.766666666666667
2018-03-13,0,2.56
2018-03-14,0,2.57
2018-03-15,0,2.3
2018-03-16,0,2.1399999999999997
2018-03-17,0,2.1999999999999997
2018-03-18,0,2.0399999999999996
2018-03-19,0,1.79
2018-03-20,0,1.79
2018-03-21,0,1.64
2018-03-22,0,1.36
2018-03-23,0,1.19
2018-03-24,0,1.05
2018-03-25,0,0.98
2018-03-26,0,1.05
2018-03-27,0,1.2300000000000002
2018-03-28,0,1.28
2018-03-29,0,1.955
2018-03-30,0,2.6299999999999994
2018-03-31,0,3.785
2018-04-01,0,4.13
2018-04-02,0,3.7066666666666666
2018-04-03,0,2.78
2018-04-04,0,2.0433333333333334
2018-04-05,0,3.393333333333333
2018-04-06,0,3.7
2018-04-07,0,3.4299999999999997
2018-04-08,0,3.2600000000000002
2018-04-09,0,2.9499999999999997
2018-04-10,0,2.21
2018-04-11,0,1.96
2018-04-12,0,1.65
2018-04-13,0,1.2
2018-04-14,0,1.57
2018-04-15,0,1.895
2018-04-16,0,2.4725
2018-04-17,0,3.3366666666666664
2018-04-18,0,3.32
2018-04-19,0,3.03
2018-04-20,0,2.32
2018-04-21,0,2.0799999999999996
2018-04-22,0,1.6
2018-04-23,0,1.5166666666666668
2018-04-24,0,1.56
2018-04-25,0,1.54
2018-04-26,0,1.62
2018-04-27,0,1.77
2018-04-28,0,1.67
2018-04-29,0,1.51
2018-04-30,0,1.3933333333333333
2018-05-01,0,1.28
2018-05-02,0,1.12
2018-05-03,0,1.04
2018-05-04,0,1.08
2018-05-05,0,0.99
2018-05-06,0,0.77
2018-05-07,0,1.0633333333333332
2018-05-08,0,1.0
2018-05-09,0,0.84
2018-05-10,0,1.32
2018-05-11,0,0.92
2018-05-12,0,1.02
2018-05-13,0,2.6
2018-05-14,0,4.0525
2018-05-15,0,4.6499999999999995
2018-05-16,0,4.11
2018-05-17,0,3.0100000000000002
2018-05-18,0,2.38
2018-05-19,0,2.24
2018-05-20,0,1.76
2018-05-21,0,2.223333333333333
2018-05-22,0,2.43
2018-05-23,0,4.513333333333333
2018-05-24,0,4.21
2018-05-25,0,4.02
2018-05-26,0,4.26
2018-05-27,0,3.2566666666666664
2018-05-28,0,3.23
2018-05-29,0,2.983333333333333
2018-05-30,0,2.57
2018-05-31,0,2.34
2018-06-01,0,2.01
2018-06-02,0,5.75
2018-06-03,0,3.94
2018-06-04,0,3.1799999999999997
2018-06-05,0,2.4099999999999997
2018-06-06,0,2.0599999999999996
2018-06-07,0,1.69
2018-06-08,0,1.3
2018-06-09,0,1.27
2018-06-10,0,5.3133333333333335
2018-06-11,0,9.059999999999999
2018-06-12,0,15.966666666666667
2018-06-13,0,13.79
2018-06-14,0,11.22
2018-06-15,0,8.83
2018-06-16,0,6.97
2018-06-17,0,5.5
2018-06-18,0,4.5
2018-06-19,0,3.9499999999999997
2018-06-20,0,3.13
2018-06-21,0,2.33
2018-06-22,0,1.87
2018-06-23,0,1.92
2018-06-24,0,1.14
2018-06-25,0,1.1933333333333336
2018-06-26,0,1.34
2018-06-27,0,5.38
2018-06-28,0,0.87
2018-06-29,0,0.66
2018-06-30,0,1.1400000000000001
2018-07-01,0,1.19
2018-07-02,0,0.8133333333333334
2018-07-03,0,0.42
2018-07-04,0,2.46
2018-07-05,0,1.85
2018-07-06,0,6.8500000000000005
2018-07-07,0,4.3500000000000005
2018-07-08,0,2.55
2018-07-09,0,1.6800000000000002
