Date,Units,Result Value
2010-09-13,mg/L,0.91
2012-08-29,mg N/L        ,0.95
2010-08-23,mg/L,0.93
2013-08-20,mg/L,0.784323
2011-08-02,mg/L,0.567
2010-08-11,mg/L,0.7
2010-07-19,mg/L,0.54
2010-06-07,mg/L,0.62
2013-06-04,mg/L,0.836381
2011-06-20,mg/L,1.23
2012-06-18,mg N/L        ,0.928
2010-05-05,mg/L,0.69
2010-05-21,mg/L,0.83
2012-04-09,mg N/L        ,0.912
2010-04-07,mg/L,1.36
2013-04-01,mg/L,1.631615
2011-03-28,mg/L,0.594
2010-03-24,mg/L,1.33
2010-11-08,mg/L,1.64
2012-10-09,mg N/L        ,0.708
2013-10-30,mg/L,1.345241
2011-10-18,mg/L,1.05
2010-10-12,mg/L,1.3
2010-10-01,mg/L,1.03
