Date,code,"Silica, mg/L"
2018-01-26,0,7.76
2018-01-27,0,7.84
2018-01-28,0,7.57
2018-01-29,0,7.59
2018-01-30,0,7.62
2018-01-31,0,7.81
2018-02-01,0,7.65
2018-02-02,0,7.72
2018-02-03,0,7.76
2018-02-04,0,7.4
2018-02-05,0,7.79
2018-02-06,0,7.66
2018-02-07,0,7.69
2018-02-08,0,7.61
2018-02-09,0,7.61
2018-02-10,0,7.17
2018-02-11,0,6.96
2018-02-12,0,6.62
2018-02-13,0,6.41
2018-02-14,0,5.79
2018-02-15,0,5.25
2018-02-16,0,5.683333333333333
2018-02-17,0,6.766666666666667
2018-02-18,0,7.375
2018-02-19,0,6.485
2018-02-20,0,5.773333333333333
2018-02-21,0,7.263333333333333
2018-02-22,0,7.166666666666667
2018-02-23,0,6.8100000000000005
2018-02-24,0,7.63
2018-02-25,0,6.55
2018-02-26,0,7.260000000000001
2018-02-27,0,8.23
2018-02-28,0,8.03
2018-03-01,0,5.37
2018-03-02,0,5.496666666666667
2018-03-03,0,6.383333333333333
2018-03-04,0,7.33
2018-03-05,0,7.723333333333334
2018-03-06,0,8.11
2018-03-07,0,8.06
2018-03-08,0,7.92
2018-03-09,0,7.94
2018-03-10,0,7.83
2018-03-11,0,7.97
2018-03-12,0,7.956666666666667
2018-03-13,0,7.46
2018-03-14,0,7.44
2018-03-15,0,7.12
2018-03-16,0,6.89
2018-03-17,0,6.36
2018-03-18,0,5.94
2018-03-19,0,5.31
2018-03-20,0,4.875
2018-03-21,0,4.19
2018-03-22,0,3.54
2018-03-23,0,2.79
2018-03-24,0,2.38
2018-03-25,0,2.03
2018-03-26,0,1.69
2018-03-27,0,2.033333333333333
2018-03-28,0,2.38
2018-03-29,0,3.825
2018-03-30,0,5.423333333333333
2018-03-31,0,6.4
2018-04-01,0,7.23
2018-04-02,0,6.47
2018-04-03,0,4.95
2018-04-04,0,5.18
2018-04-05,0,6.483333333333333
2018-04-06,0,7.2
2018-04-07,0,7.1
2018-04-08,0,6.53
2018-04-09,0,5.793333333333333
2018-04-10,0,4.48
2018-04-11,0,3.45
2018-04-12,0,1.97
2018-04-13,0,1.1
2018-04-14,0,1.43
2018-04-15,0,3.0300000000000002
2018-04-16,0,5.5375
2018-04-17,0,6.783333333333334
2018-04-18,0,6.9
2018-04-19,0,5.9
2018-04-20,0,3.93
2018-04-21,0,2.06
2018-04-22,0,0.9
2018-04-23,0,0.5833333333333334
2018-04-24,0,0.71
2018-04-25,0,1.02
2018-04-26,0,1.06
2018-04-27,0,0.74
2018-04-28,0,0.96
2018-04-29,0,0.88
2018-04-30,0,0.74
2018-05-01,0,0.67
2018-05-02,0,0.71
2018-05-03,0,1.15
2018-05-04,0,1.33
2018-05-05,0,0.58
2018-05-06,0,0.55
2018-05-07,0,0.6166666666666667
2018-05-08,0,0.51
2018-05-09,0,0.44
2018-05-10,0,0.92
2018-05-11,0,1.01
2018-05-12,0,0.98
2018-05-13,0,3.02
2018-05-14,0,5.27
2018-05-15,0,6.843333333333333
2018-05-16,0,7.42
2018-05-17,0,5.36
2018-05-18,0,3.83
2018-05-19,0,2.21
2018-05-20,0,2.85
2018-05-21,0,3.143333333333333
2018-05-22,0,4.76
2018-05-23,0,6.836666666666666
2018-05-24,0,7.03
2018-05-25,0,5.81
2018-05-26,0,5.5
2018-05-27,0,5.336666666666666
2018-05-28,0,6.59
2018-05-29,0,6.973333333333334
2018-05-30,0,7.14
2018-05-31,0,7.08
2018-06-01,0,7.19
2018-06-02,0,8.54
2018-06-03,0,7.98
2018-06-04,0,7.096666666666667
2018-06-05,0,5.96
2018-06-06,0,5.22
2018-06-07,0,3.63
2018-06-08,0,2.42
2018-06-09,0,2.26
2018-06-10,0,5.52
2018-06-11,0,7.6850000000000005
2018-06-12,0,9.31
2018-06-13,0,9.68
2018-06-14,0,9.58
2018-06-15,0,8.75
2018-06-16,0,7.84
2018-06-17,0,6.83
2018-06-18,0,5.945
2018-06-19,0,5.25
2018-06-20,0,3.97
2018-06-21,0,2.93
2018-06-22,0,2.22
2018-06-23,0,2.26
2018-06-24,0,1.88
2018-06-25,0,1.9466666666666665
2018-06-26,0,1.92
2018-06-27,0,4.25
2018-06-28,0,2.4
2018-06-29,0,2.32
2018-06-30,0,2.9
2018-07-01,0,4.08
2018-07-02,0,4.916666666666667
2018-07-03,0,5.56
2018-07-04,0,5.9
2018-07-05,0,6.66
2018-07-06,0,8.13
2018-07-07,0,6.95
2018-07-08,0,6.44
2018-07-09,0,5.6899999999999995
