DATE,USGSPCode,RESULT
1998-06-16,0,0.01
1998-07-21,0,0.013999999999999999
1998-10-07,0,0.015
1999-04-21,0,0.01
1999-05-11,0,0.015
1999-06-09,0,0.01
1999-07-06,0,0.013999999999999999
1999-08-04,0,0.013999999999999999
1999-09-15,0,0.009000000000000001
1999-10-12,0,0.008
1999-11-16,0,0.03
2000-04-17,0,0.049
2000-05-22,0,0.02
2000-07-10,0,0.008
2000-08-07,0,0.008
2000-11-08,0,0.008
2001-04-10,0,0.009000000000000001
2001-05-07,0,0.064
2001-06-11,0,0.011000000000000001
2001-07-16,0,0.006999999999999999
2001-08-14,0,0.018000000000000002
2001-09-19,0,0.013000000000000001
2001-10-10,0,0.009000000000000001
2001-11-07,0,0.013999999999999999
2002-04-10,0,0.006
2002-05-06,0,0.009000000000000001
2002-06-10,0,0.01
2002-07-09,0,0.012
2002-08-12,0,0.013000000000000001
2002-09-11,0,0.015
2002-10-08,0,0.018000000000000002
2003-05-21,0,0.047
2003-06-18,0,0.011000000000000001
2003-07-23,0,0.009000000000000001
2003-08-21,0,0.011000000000000001
2003-09-17,0,0.01
2003-10-20,0,0.013999999999999999
2004-05-19,0,0.012
2004-06-16,0,0.012
2004-07-14,0,0.011000000000000001
2004-08-17,0,0.009000000000000001
2004-09-22,0,0.013999999999999999
2004-10-13,0,0.059000000000000004
2004-11-03,0,0.036000000000000004
2005-04-27,0,0.012
2005-05-26,0,0.011000000000000001
2005-06-15,0,0.01
2005-07-20,0,0.011000000000000001
2005-08-17,0,0.011000000000000001
2005-09-21,0,0.015
2006-04-19,0,0.026000000000000002
2006-05-18,0,0.009000000000000001
2006-06-20,0,0.01
2006-07-19,0,0.011000000000000001
2006-08-16,0,0.012
2006-09-13,0,0.018000000000000002
2006-10-19,0,0.012
2006-11-14,0,0.006999999999999999
2007-04-18,0,0.11599999999999999
2007-05-09,0,0.006
2007-06-20,0,0.011000000000000001
2007-07-18,0,0.008
2007-08-22,0,0.02
2007-09-19,0,0.009000000000000001
2007-10-25,0,0.057
2008-05-21,0,0.008
2008-06-26,0,0.01
2008-07-16,0,0.006
2008-08-21,0,0.015
2008-09-18,0,0.028999999999999998
2008-10-15,0,0.008
2009-04-22,0,0.021
2009-05-13,0,0.013999999999999999
2009-08-18,0,0.015
2009-09-09,0,0.013000000000000001
2009-10-15,0,0.063
2009-11-04,0,0.011000000000000001
2010-04-14,0,0.011000000000000001
2010-05-12,0,0.057999999999999996
2010-06-23,0,0.013000000000000001
2010-07-08,0,0.006999999999999999
2010-09-09,0,0.027000000000000003
2010-10-13,0,0.009000000000000001
2011-05-26,0,0.011000000000000001
2011-06-15,0,0.021
2011-07-13,0,0.006
2011-08-22,0,0.006999999999999999
2011-09-21,0,0.013999999999999999
2011-10-24,0,0.03
2012-04-26,0,0.009000000000000001
2012-06-20,0,0.01
2012-07-24,0,0.01
2012-08-20,0,0.01
2012-09-12,0,0.01
2012-10-23,0,0.008
2013-04-30,0,0.0096
2013-05-20,0,0.0196
2013-06-13,0,0.0112
2013-07-02,0,0.0116
2013-08-15,0,0.006
2013-09-05,0,0.0113
2013-10-14,0,0.0133
2013-11-05,0,0.0191
2014-06-10,0,0.006
2014-07-01,0,0.013000000000000001
2014-08-14,0,0.008
2014-09-04,0,0.005
2014-10-15,0,0.01
2014-11-06,0,0.009000000000000001
2015-04-28,0,0.039
2015-05-20,0,0.005
2015-06-15,0,0.005
2015-07-14,0,0.006999999999999999
2015-08-13,0,0.008
2015-09-15,0,0.008
2015-10-15,0,0.005
2015-11-04,0,0.006999999999999999
2016-04-12,0,0.022000000000000002
2016-05-11,0,0.009000000000000001
2016-07-26,0,0.002
2016-08-16,0,0.006
2016-09-08,0,0.006
2016-10-12,0,0.003
2016-11-03,0,0.004
