"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1996-01-02,24.4738465991239,3.19760506163192,0.032,0.032,1,0.032,53326,1,2,1996.00421220401,1753,1996,0.0264629687351411,0.999649794320853,-3.23301284428864,0.400113185873293,0.0427251489586942
"2",1996-01-16,22.2489507182465,3.10229484876975,0.028,0.028,1,0.028,53340,1,16,1996.04246357013,1753,1996,0.263652260066238,0.964617792580027,-3.28013059227722,0.400683927328557,0.0407680420548609
"3",1996-01-24,202.263188347695,5.30956976195947,0.21,0.21,1,0.21,53348,1,24,1996.06432149362,1753,1996,0.393231739118717,0.919439394060136,-2.31037096662701,0.468108607211352,0.110713650894759
"4",1996-01-30,111.244753591232,4.71173276120385,0.164,0.164,1,0.164,53354,1,30,1996.08071493625,1753,1996,0.485685237293557,0.874133771384621,-2.62484376737453,0.444580643618276,0.0799768714458569
"5",1996-03-26,202.263188347695,5.30956976195947,0.144,0.144,1,0.144,53410,3,86,1996.23372040073,1755,1996,0.994773168881455,0.102109463192928,-1.77507114532034,0.457619446356632,0.188178675391539
"6",1996-03-29,110.233437649494,4.70260027764057,0.32,0.32,1,0.32,53413,3,89,1996.24191712204,1755,1996,0.998710657090018,0.050764391209048,-2.28567494317416,0.420197629229547,0.111092519107558
"7",1996-05-14,115.290017358186,4.74745084380593,0.144,0.144,1,0.144,53459,5,135,1996.36760018215,1757,1996,0.739207311995575,-0.673477950561321,-1.96507776757137,0.446927064423995,0.154864325131325
"8",1996-05-28,61.791402523247,4.12376423703906,0.184,0.184,1,0.184,53473,5,149,1996.40585154827,1757,1996,0.557650112231643,-0.830076112370447,-2.22070679711607,0.415095963566577,0.118297283906521
"9",1996-06-11,64.5219562738621,4.16700557322299,0.154,0.154,1,0.154,53487,6,163,1996.44410291439,1758,1996,0.344035837520328,-0.938956517897227,-2.13656293290154,0.421537946695473,0.129029294319951
"10",1996-06-25,154.731339085987,5.04169031680387,0.176,0.176,1,0.176,53501,6,177,1996.48235428051,1758,1996,0.110644318284041,-0.993860068033453,-1.75431313287709,0.474977032121573,0.193687054728171
"11",1996-07-03,38.8345336797314,3.65930989406761,0.104,0.104,1,0.104,53509,7,185,1996.50421220401,1759,1996,-0.0264629687354713,-0.999649794320844,-2.18047860725972,0.402598798395276,0.122525548565437
"12",1996-07-09,42.475269553016,3.7489220136948,0.144,0.144,1,0.144,53515,7,191,1996.52060564663,1759,1996,-0.129107700349596,-0.991630577236522,-2.16720507815369,0.404339374525401,0.124249962817883
"13",1996-08-06,27.6089244004077,3.31813906829831,0.1,0.1,1,0.1,53543,8,219,1996.59710837887,1760,1996,-0.57299035113055,-0.819562113272258,-2.18683084972856,0.393992780437924,0.121333091371072
"14",1996-08-07,26.9010044547699,3.29216362623668,0.078,0.078,1,0.078,53544,8,220,1996.59984061931,1760,1996,-0.586974793177447,-0.809605207600774,-2.17936329577256,0.392151063210994,0.122154081550983
"15",1996-09-03,23.9681886282547,3.17672747730779,0.118,0.118,1,0.118,53571,9,247,1996.67361111111,1761,1996,-0.887010833177885,-0.461748613235681,-2.2932518019165,0.388204197892161,0.108837367494936
"16",1996-09-05,23.3613986586852,3.1510850302552,0.074,0.074,1,0.074,53573,9,249,1996.67907559199,1761,1996,-0.902338781301614,-0.431027520883664,-2.28451424974954,0.386905285623436,0.109737250786634
"17",1996-10-01,92.3331486158024,4.52540321696635,0.164,0.164,1,0.164,53599,10,275,1996.75011384335,1762,1997,-0.999999744173771,0.000715298812936985,-2.49848048031671,0.409979679569325,0.0894175049207837
"18",1996-10-10,48.9476930971162,3.89075224012575,0.06,0.06,1,0.06,53608,10,284,1996.77470400729,1762,1997,-0.987977565565625,0.154597315432775,-2.5000808145175,0.401509193498745,0.0889682247494752
"19",1996-11-05,62.6004583105856,4.13677259933461,0.072,0.072,1,0.072,53634,11,310,1996.84574225865,1763,1997,-0.824450173465882,0.565934546985847,-2.69321429846637,0.42113371816136,0.0739373257342028
"20",1996-11-06,53.3974809147388,3.97776357097213,0.046,0.046,1,0.046,53635,11,311,1996.84847449909,1763,1997,-0.814613669788138,0.580003938774818,-2.70048840606067,0.413761557414485,0.0731759039759129
"21",1996-12-03,97.3897283244947,4.57872074640658,0.042,0.042,1,0.042,53662,12,338,1996.92224499089,1764,1997,-0.469345243699327,0.883014746319006,-2.70850084895257,0.447461144878924,0.0736530215686304
"22",1997-01-08,190.127397046834,5.24769435824138,0.136,0.136,1,0.136,53698,1,8,1997.02066210046,1765,1997,0.129459433355046,0.991584719081224,-2.40083617206946,0.477680294072969,0.101596424092548
"23",1997-02-04,75.8486956303858,4.32874050894774,0.062,0.062,1,0.062,53725,2,35,1997.0946347032,1766,1997,0.560183560885451,0.8283685038156,-2.74247244895182,0.439218328318562,0.0709332433329227
"24",1997-02-19,80.9052753390781,4.39327903008531,0.07,0.07,1,0.07,53740,2,50,1997.13573059361,1766,1997,0.753138878079629,0.657861558631417,-2.63478897123224,0.434893176650937,0.0788488197733298
"25",1997-03-04,229.568718774634,5.43620241289283,0.17,0.17,1,0.17,53753,3,64,1997.17134703196,1767,1997,0.88035264031821,0.474319753631193,-1.88629154126285,0.467599592451802,0.169150428275337
"26",1997-04-01,294.292939045897,5.68457566258292,0.37,0.37,1,0.37,53781,4,92,1997.24805936073,1768,1997,0.999925661466292,0.0121930939961093,-1.57563557325246,0.471398041804214,0.231187197848637
"27",1997-04-30,47.329585264308,3.85713558124101,0.028,0.028,1,0.028,53810,4,121,1997.32751141553,1768,1997,0.883732065147459,-0.467993201905975,-2.42998692104136,0.388375697711505,0.0949344068794764
"28",1997-05-06,130.459756484264,4.8710647997731,0.11,0.11,1,0.11,53816,5,127,1997.34394977169,1769,1997,0.830771604311712,-0.556613457858634,-1.91104917188242,0.446114587774851,0.163402293725066
"29",1997-05-27,47.329585264308,3.85713558124101,0.04,0.04,1,0.04,53837,5,148,1997.40148401826,1769,1997,0.580216242545491,-0.814462468064915,-2.26278563539841,0.395256455768427,0.11251465462531
"30",1997-06-04,44.0933735428237,3.78630951136275,0.13,0.13,1,0.13,53845,6,156,1997.42340182648,1770,1997,0.462914609948326,-0.886402878998252,-2.27558890135305,0.403044573754436,0.111429136508494
"31",1997-06-24,40.9582956404083,3.71255436952392,0.12,0.12,1,0.12,53865,6,176,1997.47819634703,1770,1997,0.136568268944537,-0.990630661708738,-2.19689635811558,0.40278134411764,0.120539237996294
"32",1997-07-02,27.0021364534701,3.29591599078018,0.138,0.138,1,0.138,53873,7,184,1997.50011415525,1771,1997,-0.000717258534814896,-0.999999742770064,-2.25026707567344,0.394231426749301,0.113885938976046
