DATE,USGSPCode,RESULT
2004-10-04,0,0.248
2004-11-30,0,0.137
2005-05-09,0,0.052
2005-06-15,0,0.316
2005-07-14,0,0.241
2005-08-09,0,0.162
2005-09-14,0,0.257
2005-10-13,0,0.186
2005-11-15,0,0.2
2006-06-29,0,0.261
2006-07-25,0,0.211
2006-08-16,0,0.205
2006-09-13,0,0.925
2006-10-16,0,0.136
2006-10-18,0,0.518
2006-11-07,0,0.116
2007-05-15,0,0.066
2007-06-19,0,0.314
2007-07-30,0,0.236
2007-09-18,0,0.331
2007-11-21,0,0.159
2008-04-15,0,0.088
2008-05-22,0,0.082
2008-07-22,0,0.245
2008-08-21,0,0.187
2008-09-22,0,0.21
2008-10-30,0,0.147
2008-12-02,0,0.176
2009-04-08,0,0.145
2009-07-09,0,0.143
2009-08-18,0,0.171
2009-09-15,0,0.165
2009-10-21,0,0.123
2009-11-18,0,0.044
2009-12-15,0,0.113
2011-11-15,0,0.13
2011-11-28,0,0.301
2011-11-30,0,0.5645
2011-12-05,0,0.37
2011-12-12,0,0.062
2011-12-19,0,0.072
2012-01-09,0,0.0842
2012-01-16,0,0.056
2012-01-23,0,0.0863
2012-01-31,0,0.0423
2012-02-06,0,0.0427
2012-02-13,0,0.0339
2012-02-21,0,0.0221
2012-02-28,0,0.0437
2012-03-05,0,0.0904
2012-03-12,0,0.0308
2012-03-20,0,0.0446
2012-03-27,0,0.0552
2012-04-03,0,0.0398
2012-04-10,0,0.0379
2012-04-16,0,0.0602
2012-06-11,0,0.053
2012-06-18,0,0.0383
2012-06-26,0,0.0787
2012-07-03,0,0.0997
2012-07-16,0,0.306
2012-07-27,0,0.126
2012-08-10,0,0.0876
2012-09-08,0,0.105
2012-09-18,0,0.173
2012-09-24,0,0.129
2012-10-01,0,0.0724
2012-10-10,0,0.0566
2012-10-15,0,0.10214999999999999
2012-10-23,0,0.0635
2012-10-29,0,0.258
2012-11-06,0,0.0799
2012-11-13,0,0.0725
2012-11-19,0,0.039
2012-11-27,0,0.0851
2012-12-03,0,0.188
2012-12-10,0,0.09885
2013-01-14,0,0.393
2013-01-30,0,1.04
2013-02-12,0,0.0765
2013-02-27,0,0.1525
2013-03-11,0,0.391
2013-03-12,0,0.446
2013-04-10,0,0.472
2013-04-16,0,0.103
2013-04-24,0,0.06645
2013-05-27,0,0.128
2013-06-24,0,0.117
2013-06-25,0,0.0391
2013-07-22,0,0.152
2013-07-29,0,0.0524
2013-08-06,0,0.08445
2013-08-12,0,0.114
2013-08-19,0,0.0951
2013-08-26,0,0.14195
2013-09-03,0,0.109
2013-09-23,0,0.258
2013-09-30,0,0.0936
2013-10-07,0,1.14
2013-10-15,0,0.105
2013-10-21,0,0.122
2013-10-28,0,0.117
2013-11-04,0,0.132
2013-11-12,0,0.09584999999999999
2013-11-19,0,0.141
2013-11-25,0,0.0856
2013-12-02,0,0.0388
2013-12-09,0,0.0652
2013-12-18,0,0.02895
2014-01-08,0,0.0374
2014-01-14,0,0.224
2014-01-20,0,0.0563
2014-02-03,0,0.0743
2014-02-10,0,0.0542
2014-02-17,0,0.06645000000000001
2014-02-24,0,0.122
2014-03-03,0,0.0509
2014-03-10,0,0.0379
2014-03-17,0,0.147
2014-03-24,0,0.105
2014-03-31,0,0.265
2014-04-07,0,0.0934
2014-04-09,0,0.155
2014-04-14,0,0.0854
2014-04-16,0,0.0724
2014-04-22,0,0.044700000000000004
2014-04-28,0,0.0435
2014-05-01,0,0.149
2014-05-05,0,0.0766
2014-05-12,0,0.0424
2014-05-15,0,0.521
2014-05-20,0,0.0588
2014-05-26,0,0.056
2014-06-03,0,0.1065
2014-06-09,0,0.0766
2014-06-16,0,0.1
2014-06-23,0,0.096
2014-06-24,0,0.122
2014-07-02,0,0.124
2014-07-08,0,0.33
2014-07-09,0,0.339
2014-08-05,0,0.185
2014-08-25,0,0.118
2014-08-26,0,0.102
2014-09-11,0,0.442
2014-09-29,0,0.083
2014-09-30,0,0.102
2014-10-08,0,0.243
2014-10-21,0,0.101
2014-10-29,0,0.06
2014-11-24,0,0.398
2014-12-16,0,0.0331
2015-01-05,0,0.24
2015-02-10,0,0.0699
2015-03-16,0,0.221
2015-03-19,0,0.209
2015-04-09,0,0.198
2015-04-20,0,0.184
2015-04-28,0,0.034
2015-05-19,0,0.0424
2015-05-25,0,0.18
2015-06-01,0,0.233
2015-06-15,0,0.174
2015-06-22,0,0.153
2015-06-29,0,0.153
2015-07-13,0,0.124
2015-07-20,0,0.334
2015-07-27,0,0.09516666666666666
2015-08-11,0,0.101
2015-08-24,0,0.1408
2015-09-08,0,0.11299999999999999
2015-09-21,0,0.0718
2015-09-28,0,0.168
2015-10-26,0,0.236
2015-11-30,0,0.094
2016-04-12,0,0.24
2016-05-30,0,0.177
2016-06-20,0,0.228
2016-07-18,0,0.217
2016-08-29,0,0.268
2016-09-19,0,0.22
2016-09-21,0,0.218
2016-10-24,0,0.15
