"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-01-02,4641.94017257961,53326,1,2,1996.00421220401,1753,1996,1,8.44288769846602,NA,NA,-3.59587621644034,0.601575559729845,0.0328845710330071,13188.8054594445,0.0383544160382781,19671.7729449757
"2",1996-01-03,4308.20591180591,53327,1,3,1996.00694444444,1753,1996,2,8.36827683467485,NA,NA,-3.64359828670181,0.600821913823903,0.0313352713015776,11663.8964124047,0.0381288202758689,19313.8110072792
"3",1996-01-04,5450.99292597039,53328,1,4,1996.00967668488,1753,1996,3,8.60355305931447,NA,NA,-3.48986134352787,0.601222688828048,0.0365545623876064,17215.9483092583,0.0388816797551265,20277.5968141367
"4",1996-01-05,5764.50086790932,53329,1,5,1996.01240892532,1753,1996,4,8.65947384923407,NA,NA,-3.45315989441666,0.600904589654497,0.0379157296036839,18884.0381363583,0.0384535287846935,19760.1418923199
"5",1996-01-06,5188.05078111839,53330,1,6,1996.01514116576,1753,1996,5,8.55411333357625,NA,NA,-3.52194436829362,0.600287158916855,0.0353751042984581,15856.8051589425,0.0387111665815842,20162.5024486337
"6",1996-01-07,4581.2612160753,53331,1,7,1996.01787340619,1753,1996,6,8.42972961388851,NA,NA,-3.60146605793081,0.599448874006969,0.0326556883839021,12925.8062217284,0.0387287007971245,20182.3740594625
"7",1996-01-08,5481.33240422254,53332,1,8,1996.02060564663,1753,1996,7,8.60910348984512,5059.46918281164,NA,-3.48615229675788,0.599578895596921,0.0366525839686922,17358.1916722053,0.0384785573958593,19823.8105521402
"8",1996-01-09,5946.53773742224,53333,1,9,1996.02333788707,1753,1996,8,8.6905644363041,5245.84026350344,NA,-3.43376588183763,0.599297024010935,0.0386160725620258,19840.1989905609,0.0383427890661355,19693.8544136357
"9",1996-01-10,5895.97194033532,53334,1,10,1996.0260701275,1753,1996,9,8.68202467475597,5472.66398186479,NA,-3.43949285176723,0.598871990082951,0.0383840862872372,19553.3132289086,0.0385734898909666,20140.521296312
"10",1996-01-11,5713.93507082239,53335,1,11,1996.02880236794,1753,1996,10,8.65066321955192,5510.22714541507,NA,-3.45968215407734,0.59840922748575,0.037613092626766,18568.9816486994,0.0385260961831575,20073.0863462286
"11",1996-01-12,5612.80347664855,53336,1,12,1996.03153460838,1753,1996,11,8.63280560215191,5488.55608952068,NA,-3.47111199042207,0.5979673865351,0.0371728483405835,18026.8323036154,0.0382469089534699,19607.6096270098
"12",1996-01-13,5542.01136072685,53337,1,13,1996.03426684882,1753,1996,12,8.62011277535349,5539.1218866076,NA,-3.47916971728885,0.59753350528511,0.0368599872029011,17649.6596209202,0.0380122097632982,19432.2688918567
"13",1996-01-14,5461.10608538778,53338,1,14,1996.03699908925,1753,1996,13,8.6054066279638,5664.8140107951,NA,-3.48836530878124,0.597087192803486,0.0365178818412214,17230.5815110761,0.0375991950153787,18834.9252691526
"14",1996-01-15,5521.78504189208,53339,1,15,1996.03973132969,1753,1996,14,8.61645646415038,5670.5929590336,NA,-3.48148100465385,0.59669780610128,0.0367579189048534,17536.5498337835,0.0377747695952824,18914.6516459826
"15",1996-01-16,5572.35083897901,53340,1,16,1996.04246357013,1753,1996,15,8.62557229755839,5617.13768782743,NA,-3.47584892900617,0.59630075551,0.036957658847908,17793.3059672694,0.03767968318407,18885.089283782
"16",1996-01-17,5774.6140273267,53341,1,17,1996.04519581056,1753,1996,16,8.66122669806149,5599.80084311191,NA,-3.45390781273346,0.59594440327608,0.0377740789410473,18846.4947369683,0.0375892453415437,18898.4022213215
"17",1996-01-18,5754.38770849193,53342,1,18,1996.047928051,1753,1996,17,8.65771792253181,5605.57979135041,NA,-3.45621743583441,0.595525154077758,0.0376777313341291,18732.580479905,0.0380317944828538,19442.8649283351
"18",1996-01-19,6856.72208498687,53343,1,19,1996.05066029144,1753,1996,18,8.83298477634587,5783.28244968446,NA,-3.34934112713328,0.595360426288965,0.0419237062726283,24836.4751119005,0.0383455973963688,19879.5300931544
"19",1996-01-20,5552.12452014424,53344,1,20,1996.05339253188,1753,1996,19,8.62193592991501,5784.72718674409,NA,-3.47821134128182,0.59463961766861,0.0368322338473763,17668.5536455809,0.0378839021318635,19173.3777606271
"20",1996-01-21,5865.63246208317,53345,1,21,1996.05612477231,1753,1996,20,8.67686559194594,5842.51666912914,NA,-3.44510830262715,0.594315712394745,0.0380667236313322,19291.8594116526,0.0374127673623269,18527.060253749
"21",1996-01-22,5855.51930266578,53346,1,22,1996.05885701275,1753,1996,21,8.67513996597847,5890.19299209681,NA,-3.44635374120074,0.593899403991664,0.0380103246160853,19230.0643719429,0.0374067360983579,18525.4816903766
"22",1996-01-23,5815.06666499624,53347,1,23,1996.06158925319,1753,1996,22,8.66820752920283,5924.86668152785,NA,-3.45069334420633,0.593474482896154,0.0378378097515753,19010.5389644707,0.0371984164656802,18339.1587949677
"23",1996-01-24,6078.00880984825,53348,1,24,1996.06432149362,1753,1996,23,8.71243242294068,5968.20879331664,NA,-3.42616430433123,0.593238535481018,0.0387757802581259,20362.7117391231,0.0375192382065328,18814.8595126249
"24",1996-01-25,5976.8772156744,53349,1,25,1996.06705373406,1753,1996,24,8.69565350581157,5999.99300862842,NA,-3.43873412237944,0.592972829644697,0.038285318251604,19770.6222448867,0.0376618385673741,19090.5038599466
"25",1996-01-26,5835.29298383101,53350,1,26,1996.0697859745,1753,1996,25,8.67167975491358,5854.07456560615,NA,-3.45540492348037,0.592693152412438,0.0376486370801356,18981.2875223101,0.037206389742256,18621.4979098363
"26",1996-01-27,6371.2904329524,53351,1,27,1996.07251821494,1753,1996,26,8.75955730779105,5971.09826743589,NA,-3.40660121611446,0.592571999853076,0.0395327028605366,21761.9422436811,0.0374139693867959,18948.6966433434
"27",1996-01-28,6371.2904329524,53352,1,28,1996.07525045537,1753,1996,27,8.75955730779105,6043.33512041721,NA,-3.40941409167896,0.592328837471023,0.0394184513010535,21699.0491030959,0.037546476449694,19223.6588155568
"28",1996-01-29,5997.10353450917,53353,1,29,1996.07798269581,1753,1996,28,8.6990318874032,6063.56143925198,NA,-3.44718099498818,0.592004017767334,0.0379511812144709,19664.3948832088,0.0370195290816182,18578.9106927944
"29",1996-01-30,5491.44556363993,53354,1,30,1996.08071493625,1753,1996,29,8.61094680833941,6017.32985334394,NA,-3.50026361981481,0.591610695183215,0.0359778177231453,17070.0676581784,0.0366512703636496,18209.4051691838
"30",1996-01-31,4985.78759277069,53355,1,31,1996.08344717668,1753,1996,30,8.51434666244817,5861.29825090429,5642.13163895896,-3.55724288930685,0.591106090061044,0.0339755327162705,14635.7098106017,0.0368285100846472,18504.0149004832
"31",1996-02-01,5380.2008100487,53356,2,32,1996.08617941712,1754,1996,31,8.59048097774712,5776.05876438633,5666.7403268746,-3.51643727190536,0.591074801765098,0.0353933328153283,16452.5677531217,0.0365290562450631,18219.8764047388
"32",1996-02-02,5572.35083897901,53357,2,33,1996.08891165756,1754,1996,32,8.62557229755839,5738.49560083604,5708.8784911137,-3.49900012249848,0.590910046027584,0.0360101431565713,17337.1234835757,0.0362859424833627,17875.9393016966
"33",1996-02-03,5218.39025937054,53358,2,34,1996.091643898,1754,1996,33,8.55994425388704,5573.79557603863,5701.12506889371,-3.53794983115362,0.590514363032559,0.034624017623327,15610.8933768249,0.0363264041603492,18047.0495221703
"34",1996-02-04,5268.95605645746,53359,2,35,1996.09437613843,1754,1996,34,8.56958753015884,5416.31923653936,5684.60690851198,-3.53475456574458,0.59029304542086,0.0347330715013992,15811.8071713921,0.0362614737756915,17996.003602601
"35",1996-02-05,5663.36927373547,53360,2,36,1996.09710837887,1754,1996,35,8.64177427213467,5368.64291357169,5700.45085826588,-3.49713601611176,0.590206843716245,0.0360665462815489,17647.9058897869,0.0364523833724673,18327.3003783848
"36",1996-02-06,5390.31396946608,53361,2,37,1996.09984061931,1754,1996,36,8.59235891257132,5354.19554297542,5727.41928337891,-3.52664998141663,0.589859228350262,0.0350086007818243,16304.3150266709,0.0359498939061946,17772.8581232369
"37",1996-02-07,5612.80347664855,53362,2,38,1996.10257285974,1754,1996,37,8.63280560215191,5443.76924067226,5731.80165245977,-3.50687435184581,0.58970394005289,0.0357035225115147,17314.2882962982,0.0358250154475913,17608.5022489201
"38",1996-02-08,5653.25611431809,53363,2,39,1996.10530510018,1754,1996,38,8.63998696156058,5482.77714128217,5722.0255983563,-3.50536449808642,0.589472794731755,0.0357531641419461,17463.3229836007,0.0357384347327228,17547.6292258373
"39",1996-02-09,5764.50086790932,53364,2,40,1996.10803734062,1754,1996,39,8.65947384923407,5510.22714541507,5717.64322927544,-3.49726238472606,0.589263319396271,0.036039514177468,17949.5836492358,0.0358376031929404,17787.2016744246
"40",1996-02-10,5349.86133179654,53365,2,41,1996.11076958106,1754,1996,40,8.58482592026378,5529.00872719022,5705.50743797457,-3.53968918663308,0.58886494083763,0.0345311137177159,15961.2482899248,0.0358938284399142,18000.7286052561
"41",1996-02-11,5713.93507082239,53366,2,42,1996.11350182149,1754,1996,41,8.65066321955192,5592.57715781378,5708.8784911137,-3.50691490581362,0.588760691939434,0.0356795904170816,17614.4425629185,0.035950606139498,18130.5170828679
"42",1996-02-12,6047.66933159609,53367,2,43,1996.11623406193,1754,1996,42,8.70742824235611,5647.47716607958,5725.73375680934,-3.47927545800303,0.588609106152782,0.0366750242376763,19163.3834290526,0.0361491787983765,18602.8003951307
"43",1996-02-13,5683.59559257024,53368,2,44,1996.11896630237,1754,1996,43,8.64533933829917,5689.37454080875,5733.15007371543,-3.51461469985606,0.588264049610903,0.0353911596547074,17379.276972144,0.0356328057440173,17933.5958383332
"44",1996-02-14,5754.38770849193,53369,2,45,1996.12169854281,1754,1996,44,8.65771792253181,5709.60085964351,5740.90349593542,-3.51057322992805,0.588042518263296,0.0355276049595853,17663.5825883938,0.0354134098110518,17614.1172008152
"45",1996-02-15,5754.38770849193,53370,2,46,1996.12443078324,1754,1996,45,8.65771792253181,5724.04823023978,5746.97139158585,-3.51304589290028,0.587798973967537,0.0354320499564897,17616.074638144,0.0354254400653363,17728.4785141847
"46",1996-02-16,5784.72718674409,53371,2,47,1996.12716302368,1754,1996,46,8.66297647978528,5726.93770435903,5747.30849689976,-3.51427847493901,0.587654695322446,0.0353902406378384,17688.0574508935,0.0350179125486275,17293.2593977769
"47",1996-02-17,5471.21924480516,53372,2,48,1996.12989526412,1754,1996,47,8.60725676725196,5744.27454907455,5737.8695481102,-3.54724559607615,0.587415678114403,0.0342422961504527,16186.7902767559,0.0350130529780338,17422.8206275332
"48",1996-02-18,5400.42712888347,53373,2,49,1996.13262750455,1754,1996,48,8.59423332736567,5699.48770022613,5689.32638290676,-3.55807966296484,0.587252896869103,0.0338768737383762,15806.8444013413,0.0349795366073854,17521.6878480014
"49",1996-02-19,5440.87976655301,53374,2,50,1996.13535974499,1754,1996,49,8.60169604856726,5612.80347664855,5685.61822445372,-3.55846955236752,0.587141103825448,0.0338658382936491,15920.060055777,0.035174813110535,17976.1600107934
"50",1996-02-20,5602.69031723116,53375,2,51,1996.13809198543,1754,1996,50,8.63100217515276,5601.24558017154,5676.85348629198,-3.54786991549585,0.587076495772615,0.0342297191803569,16569.6638008315,0.0347737012023848,17529.4488612482
"51",1996-02-21,5683.59559257024,53376,2,52,1996.14082422587,1754,1996,51,8.64533933829917,5591.13242075415,5671.12269595547,-3.54492013111029,0.586972352478821,0.0343350299108501,16860.6510916673,0.0344802424632273,17231.7723999623
"52",1996-02-22,5936.42457800486,53377,2,53,1996.1435564663,1754,1996,52,8.68886230823357,5617.13768782743,5675.16795972242,-3.52742823991913,0.586919759771075,0.0349419604179045,17921.9790111042,0.0341673513612138,16955.9883597175
"53",1996-02-23,5673.48243315286,53378,2,54,1996.14628870674,1754,1996,53,8.64355839392817,5601.24558017154,5661.68374716591,-3.55441822672681,0.586708828586393,0.034011103262458,16671.8646914432,0.0341818953611518,17034.3173422875
"54",1996-02-24,6078.00880984825,53379,2,55,1996.14902094718,1754,1996,54,8.71243242294068,5687.92980374912,5665.05480030504,-3.524567779189,0.58669340450924,0.0350472811605936,18404.7278678193,0.0340496216046633,17031.0324039616
"55",1996-02-25,5653.25611431809,53380,2,56,1996.15175318761,1754,1996,55,8.63998696156058,5724.04823023978,5658.98690465461,-3.56477943861248,0.586441987713306,0.0336583051715684,16440.1072855563,0.0341015668974928,17272.672904828
"56",1996-02-26,5703.82191140501,53381,2,57,1996.15448542805,1754,1996,56,8.64889173990353,5761.61139379006,5636.73795393636,-3.56470720481914,0.586328207904667,0.0336603195317173,16588.1492429676,0.0340134860895673,17241.0626544283
"57",1996-02-27,5683.59559257024,53382,2,58,1996.15721766849,1754,1996,57,8.64533933829917,5773.16929026708,5613.81479259029,-3.57075350370518,0.586191537778366,0.0334545805980518,16428.2953108354,0.0338302866045781,17171.4688592981
"58",1996-02-28,6118.46144751779,53383,2,59,1996.15994990893,1754,1996,58,8.71906594643632,5835.29298383101,5617.86005635724,-3.5392835744075,0.586183245251117,0.0345276066412894,18252.5037214857,0.0337677733552954,17200.5914115498
"59",1996-02-29,6148.80092576994,53384,2,60,1996.16268214936,1754,1996,59,8.72401237037164,5865.63246208317,5639.77190176157,-3.54139577595145,0.586060430910438,0.0344510877045069,18302.3608295163,0.033616207693205,17122.8497132356
"60",1996-03-01,6088.12196926563,53385,3,61,1996.1654143898,1755,1996,60,8.7140949337143,5924.86668152785,5676.51638097807,-3.55067733645605,0.585916313239431,0.0341276340900346,17951.6043817285,0.0334880139887673,17052.3995557148
"61",1996-03-02,5622.91663606593,53386,3,62,1996.16814663024,1755,1996,61,8.63460578265606,5859.85351384466,5684.60690851198,-3.59309194978568,0.585651014406367,0.0326980537778145,15885.3683998873,0.0332767254082008,16949.6993405493
"62",1996-03-03,5966.76405625701,53387,3,63,1996.17087887067,1755,1996,62,8.69396002530524,5904.64036269308,5697.75401575458,-3.5692242680574,0.585627539280283,0.0334860123966597,17262.9908774582,0.033515548563818,17475.490244487
"63",1996-03-04,5794.84034616147,53388,3,64,1996.17361111111,1755,1996,63,8.66472320512022,5917.64299622972,5716.96901864761,-3.58745107465319,0.585446976682037,0.0328740587342763,16459.1932517683,0.0330321611746649,16846.2763238755
"64",1996-03-05,5916.19825917009,53389,3,65,1996.17634335155,1755,1996,64,8.68544933563733,5950.87194860112,5738.54375873803,-3.58209424198766,0.585355378126935,0.033041984934304,16889.7254758146,0.0327712521240122,16575.4045462922
"65",1996-03-06,5673.48243315286,53390,3,66,1996.17907559199,1755,1996,65,8.64355839392817,5887.30351797756,5738.88086405194,-3.60602785753356,0.585147104900538,0.0322536689303429,15810.3899206009,0.0325484109530032,16422.695422984
"66",1996-03-07,5724.04823023978,53391,3,67,1996.18180783242,1755,1996,66,8.65243156660866,5826.62456147325,5750.00533941107,-3.60621778906812,0.585033674174318,0.0322401960475133,15944.6393678896,0.0323620004063262,16272.4789597197
"67",1996-03-08,6047.66933159609,53392,3,68,1996.18454007286,1755,1996,67,8.70742824235611,5820.84561323475,5764.50086790932,-3.58518084903341,0.584997298572333,0.032918676578543,17200.6217954598,0.0322921244655935,16328.6576721193
"68",1996-03-09,5754.38770849193,53393,3,69,1996.1872723133,1755,1996,68,8.65771792253181,5839.62719500989,5767.87192104845,-3.61244594914304,0.584783468856177,0.0320219250750127,15920.6318254572,0.0324277690068919,16713.5224813478
"69",1996-03-10,5673.48243315286,53394,3,70,1996.19000455373,1755,1996,69,8.64355839392817,5797.72982028073,5764.83797322323,-3.62420074531973,0.584793974381148,0.0316558620389934,15517.3516287442,0.0324893940857647,17087.7724007255
"70",1996-03-11,5815.06666499624,53395,3,71,1996.19273679417,1755,1996,70,8.66820752920283,5800.61929439998,5780.34481766322,-3.61835103718319,0.5848931803114,0.0318518342781482,16003.0546326585,0.0321981552050302,16745.2219865261
"71",1996-03-12,5835.29298383101,53396,3,72,1996.19546903461,1755,1996,71,8.67167975491358,5789.06139792297,5784.39008143018,-3.62217494483564,0.584952296452522,0.0317390564415896,16001.8583069109,0.0321445868442481,16812.6206942115
"72",1996-03-13,5794.84034616147,53397,3,73,1996.19820127505,1755,1996,72,8.66472320512022,5806.39824263848,5775.96244858235,-3.63071913398342,0.584991652753055,0.0314775076443968,15759.9761438324,0.0316710617966172,16174.6799325665
"73",1996-03-14,5885.85878091794,53398,3,74,1996.20093351548,1755,1996,73,8.68030793613691,5829.51403559251,5782.70455486061,-3.62909778007212,0.585073733642166,0.0315347304637666,16036.6150256291,0.0316562455117217,16397.1579582382
"74",1996-03-15,5956.65089683963,53399,3,75,1996.20366575592,1755,1996,74,8.69226367205706,5816.51140205587,5789.44666113887,-3.62914284449043,0.585145435299071,0.0315410933839968,16232.7699814827,0.0317448636949164,16741.9129358967
"75",1996-03-16,5734.16138965716,53400,3,76,1996.20639799636,1755,1996,75,8.65419679213323,5813.62192793662,5788.77245051104,-3.65159860704903,0.585129291138253,0.0308457884328403,15281.9765912269,0.0312221568314982,16031.3473765833
"76",1996-03-17,5319.52185354439,53401,3,77,1996.20913023679,1755,1996,76,8.57913870114319,5763.05613084969,5773.26560607105,-3.69031640817212,0.585008067366781,0.0296733837565119,13638.0856344227,0.0308925932198774,15659.0466485938
"77",1996-03-18,5895.97194033532,53402,3,78,1996.21186247723,1755,1996,77,8.68202467475597,5774.6140273267,5787.42402925539,-3.65000133104422,0.585287174058008,0.0309025709302057,15742.139710065,0.0309521134909154,15944.1887588177
"78",1996-03-19,5633.02979548332,53403,3,79,1996.21459471767,1755,1996,78,8.63640272833276,5745.71928613417,5795.17745147538,-3.67559235674164,0.585253089920488,0.0301235628728946,14660.9505108688,0.0308682267525113,15979.6931283746
"79",1996-03-20,5309.408694127,53404,3,80,1996.21732695811,1755,1996,79,8.5772357509971,5676.37190727211,5790.79508239452,-3.70692555305434,0.585160089960236,0.0291922938098218,13391.4659231846,0.0307189056194909,15911.2876253481
"80",1996-03-21,5966.76405625701,53405,3,81,1996.22005919854,1755,1996,80,8.69396002530524,5687.92980374912,5802.93087369538,-3.66100644592814,0.585463107705055,0.0305723144507045,15760.8967951628,0.0305926664121812,15873.2694473683
"81",1996-03-22,6179.14040402209,53406,3,82,1996.22279143898,1755,1996,81,8.72893444757707,5719.7140190609,5819.44903407711,-3.6510997258972,0.585565823758475,0.0308801592973071,16486.2293757087,0.0305351890612887,15962.6255757754
"82",1996-03-23,6017.32985334394,53407,3,83,1996.22552367942,1755,1996,82,8.70239889395111,5760.16665673044,5822.14587658841,-3.66819275294946,0.585580280956997,0.0303544304146013,15781.1863952187,0.0302831123209049,15751.8646993916
"83",1996-03-24,5804.95350557886,53408,3,84,1996.22825591985,1755,1996,83,8.66646688472504,5829.51403559251,5826.52824566928,-3.68927230963593,0.585572862188511,0.0297175816527951,14904.7931340909,0.0299251071373557,15369.7616567515
"84",1996-03-25,6249.93251994379,53409,3,85,1996.23098816029,1755,1996,84,8.74032594586317,5880.07983267943,5832.2590360058,-3.66263326768257,0.585739626478,0.0305206409248553,16480.9681556354,0.0299669318622781,15628.993222982
"85",1996-03-26,6836.4957661521,53410,3,86,1996.23372040073,1755,1996,85,8.83003056444844,6052.00354277497,5871.7003577336,-3.62931451484748,0.585919330961998,0.0315568384245661,18639.7798132246,0.0298918652140163,15709.8681146768
"86",1996-03-27,6017.32985334394,53411,3,87,1996.23645264117,1755,1996,86,8.70239889395111,6153.13513694882,5882.15062246489,-3.68999667161705,0.585790394008533,0.0296881473740318,15434.787641838,0.0295988068732014,15400.0604126
"87",1996-03-28,5815.06666499624,53412,3,88,1996.2391848816,1755,1996,87,8.66820752920283,6131.46408105442,5886.53299154576,-3.71010566071688,0.58578632442143,0.0290902263676858,14615.5627262527,0.0295392231391616,15493.3606035167
"88",1996-03-29,5885.85878091794,53413,3,89,1996.24191712204,1755,1996,88,8.68030793613691,6089.56670632526,5878.77956932577,-3.71034269973302,0.585861914645247,0.0290765989781164,14786.5612678194,0.0293987293146366,15449.8110857149
"89",1996-03-30,5855.51930266578,53414,3,90,1996.24464936248,1755,1996,89,8.67513996597847,6066.45091337124,5869.00351522229,-3.71795482634803,0.585904611401637,0.0288497737101315,14595.5871507354,0.0291181826368767,15150.2738684928
"90",1996-03-31,5299.29553470962,53415,3,91,1996.24738160291,1755,1996,90,8.57532917272652,5994.21406038991,5842.70930073709,-3.7655362214433,0.585730930981919,0.0274986397350388,12590.5033807326,0.0288520312511866,14916.4780538168
"91",1996-04-01,6118.46144751779,53416,4,92,1996.25011384335,1756,1996,91,8.71906594643632,5975.43247861477,5859.22746111882,-3.71019583103422,0.586089133043211,0.0290615222564901,15362.9398252093,0.0291061240753327,15560.7025366071
"92",1996-04-02,6158.91408518732,53417,4,93,1996.25284608379,1756,1996,92,8.72565575611537,5878.6350956198,5865.63246208317,-3.71277775614368,0.586447860484261,0.029000646849232,15432.1193398416,0.0288075629988011,15229.6607451723
"93",1996-04-03,5511.6718824747,53418,4,94,1996.25557832423,1756,1996,93,8.61462328306872,5806.39824263848,5856.19351329361,-3.76481597955577,0.586601836958384,0.0275374810157878,13113.5811692168,0.0285822366390964,15000.6875234191
"94",1996-04-04,5380.2008100487,53419,4,95,1996.25831056466,1756,1996,94,8.59048097774712,5744.27454907455,5838.32693165623,-3.78015671599144,0.586886131809206,0.0271304045964597,12611.5509415814,0.0285790911592526,15193.5603687691
"95",1996-04-05,5916.19825917009,53420,4,96,1996.2610428051,1756,1996,95,8.68544933563733,5748.60876025343,5846.41745919013,-3.74574826404621,0.587439292879143,0.0280933935392385,14360.2058261684,0.0284973017559266,15151.3515959569
"96",1996-04-06,5713.93507082239,53421,4,97,1996.26377504554,1756,1996,96,8.65066321955192,5728.38244141866,5846.08035387622,-3.76559188065662,0.587723503142163,0.0275529785261963,13602.4643784772,0.0282473318455372,14899.0310897404
"97",1996-04-07,5582.46399839639,53422,4,98,1996.26650728597,1756,1996,97,8.62738553468257,5768.8350790882,5830.57350943623,-3.78057985140101,0.588029206642908,0.027150413992099,13095.3204275717,0.0281770842508415,15025.7603470582
"98",1996-04-08,6169.02724460471,53423,4,99,1996.26923952641,1756,1996,98,8.72729644557283,5776.05876438633,5844.39482730666,-3.74431387152483,0.588546229988786,0.0281680149290734,15013.6633316637,0.0280867168355943,14998.4760149923
"99",1996-04-09,5895.97194033532,53424,4,100,1996.27197176685,1756,1996,99,8.68202467475597,5738.49560083604,5851.81114421274,-3.76849839423925,0.58883132432595,0.0274999779446904,14008.8180949979,0.0278428606373248,14705.2026930515
"100",1996-04-10,6067.89565043086,53425,4,101,1996.27470400729,1756,1996,100,8.71076714362162,5817.95613911549,5860.23877706056,-3.76191147293512,0.589221961627931,0.0276928463005299,14518.4228595391,0.0277007008715228,14635.8676167671
"101",1996-04-11,5997.10353450917,53426,4,102,1996.27743624772,1756,1996,101,8.6990318874032,5906.0850997527,5865.63246208317,-3.77212321947004,0.589555119598738,0.0274175435083609,14206.3931878459,0.0274842753067997,14428.6842229315
"102",1996-04-12,5855.51930266578,53427,4,103,1996.28016848816,1756,1996,102,8.67513996597847,5897.41667739495,5867.65509396664,-3.78731959671659,0.589866997778253,0.0270088940828866,13664.2550958142,0.0274082653546354,14444.3450196413
"103",1996-04-13,5572.35083897901,53428,4,104,1996.2829007286,1756,1996,103,8.62557229755839,5877.19035856018,5857.20482923535,-3.81299499847953,0.59012401552256,0.0263271109698289,12675.2168650135,0.027185034588914,14242.4492837935
"104",1996-04-14,5946.53773742224,53429,4,105,1996.28563296903,1756,1996,104,8.6905644363041,5929.20089270673,5856.86772392143,-3.79163856336172,0.590591848159878,0.0269033485294974,13822.4255581739,0.0271411676118797,14366.8419247635
"105",1996-04-15,6017.32985334394,53430,4,106,1996.28836520947,1756,1996,105,8.70239889395111,5907.52983681233,5866.30667271099,-3.79212316516574,0.590957530801707,0.026896057394352,13983.1876019191,0.026934234844547,14179.3793982055
"106",1996-04-16,6361.17727353502,53431,4,107,1996.29109744991,1756,1996,106,8.75796874510592,5973.98774155514,5901.02852004401,-3.77473080152262,0.591382458833098,0.0273727719841481,15044.2319571165,0.0270099548935774,14458.6383360904
"107",1996-04-17,6381.40359236979,53432,4,108,1996.29382969035,1756,1996,107,8.76114335094669,6018.77459040356,5917.20957511183,-3.77883269920917,0.591735901597143,0.0272638571790778,15032.0168188782,0.0267752073469468,14266.509405824
"108",1996-04-18,5794.84034616147,53433,4,109,1996.29656193078,1756,1996,108,8.66472320512022,5989.87984921104,5922.60326013443,-3.82348562842272,0.591944961819196,0.0260721941086575,13053.6750816405,0.026617618436105,14146.4244432738
"109",1996-04-19,5966.76405625701,53434,4,110,1996.29929417122,1756,1996,109,8.69396002530524,6005.77195686693,5944.51510553877,-3.8169451625803,0.592343861590525,0.0262448524970183,13529.9671955403,0.0263392159853317,13789.4654139482
"110",1996-04-20,5349.86133179654,53435,4,111,1996.30202641166,1756,1996,110,8.58482592026378,5973.98774155515,5923.95168139008,-3.86634511097917,0.59246726336491,0.0249770229981548,11545.0798626335,0.026364434742708,14035.4318588695
"111",1996-04-21,5602.69031723116,53436,4,112,1996.30475865209,1756,1996,111,8.63100217515276,5924.86668152785,5904.73667849705,-3.85301993498647,0.592931644936486,0.0253131610740796,12253.4037315295,0.0264103460586807,14303.1720958554
"112",1996-04-22,5936.42457800486,53437,4,113,1996.30749089253,1756,1996,112,8.68886230823357,5913.30878505084,5902.03983598575,-3.83502349814385,0.593385434849959,0.0257731523811318,13219.2324214285,0.0261897156077249,14080.0931467628
"113",1996-04-23,6118.46144751779,53438,4,114,1996.31022313297,1756,1996,113,8.71906594643632,5878.6350956198,5912.49010071705,-3.82819926724093,0.593775322496955,0.0259502052242353,13718.1885309785,0.026041276579792,13969.9000219129
"114",1996-04-24,6229.70620110902,53439,4,115,1996.31295537341,1756,1996,114,8.737084451939,5856.96403972541,5911.81589008922,-3.8261362916664,0.594170644905405,0.0260031679321611,13996.117138936,0.0259897209283797,14061.218218311
"115",1996-04-25,6098.23512868302,53440,4,116,1996.31568761384,1756,1996,115,8.71575468513266,5900.3061515142,5887.20720217359,-3.83892855190249,0.594623147801747,0.0256846369015077,13532.914513749,0.0257172905287031,13673.0592648544
"116",1996-04-26,6290.38515761333,53441,4,117,1996.31841985428,1756,1996,116,8.74677758114466,5946.53773742224,5896.30904564923,-3.8307498933366,0.595145119632442,0.0259057532571245,14079.4991238594,0.0256688108549474,13697.9544098
"117",1996-04-27,5906.08509975271,53442,4,118,1996.32115209472,1756,1996,117,8.6837384712337,6025.9982757017,5899.34299347445,-3.86014806666922,0.59554247769893,0.0251641375961422,12840.9008922463,0.0255156398905631,13566.1957428017
