"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1999-10-01,5547.37989365411,54694,10,275,1999.74942922374,1798,2000,1,8.62108100403684,NA,NA,-3.67904487955819,0.699281689256721,0.0322720251936773,15467.7758705485,0.0304201447838177,14221.8018636943
"2",1999-10-02,5488.81140167671,54695,10,276,1999.75216894977,1798,2000,2,8.61046700863671,NA,NA,-3.69519644493172,0.700011925002773,0.0318022108311788,15081.6675521118,0.0300772186760653,13887.0505191515
"3",1999-10-03,5548.42152879946,54696,10,277,1999.7549086758,1798,2000,3,8.62126875706318,NA,NA,-3.67394831474613,0.700795602633416,0.0324753433342727,15568.1476511932,0.0293412656401836,13347.7489175332
"4",1999-10-04,5399.19365707185,54697,10,278,1999.75764840183,1798,2000,4,8.59400489863814,NA,NA,-3.71881153432807,0.701582011832516,0.0311239180669946,14519.0068713107,0.0297262985205369,13559.8488346275
"5",1999-10-05,5245.78784033361,54698,10,279,1999.76038812785,1798,2000,5,8.5651807174309,NA,NA,-3.76597823777368,0.702369587389295,0.0296928354491185,13457.8640284427,0.0300889635693256,13794.1599574724
"6",1999-10-06,5618.02250461095,54699,10,280,1999.76312785388,1798,2000,6,8.63373501346089,NA,NA,-3.64534322485573,0.703146410748281,0.0334654700539223,16244.0436001236,0.0296260504726011,13439.4940066581
"7",1999-10-07,5130.16347624979,54700,10,281,1999.76586757991,1798,2000,7,8.54289280437244,5425.39718605664,NA,-3.79855108793097,0.703943142453205,0.0287257512406178,12732.5779063881,0.0297663531393015,13512.0512362
"8",1999-10-08,4893.02154011015,54701,10,282,1999.76860730594,1798,2000,8,8.49556529350918,5331.91742126464,NA,-3.8758522577386,0.704738103378856,0.0266726777874002,11276.0628721488,0.0293080674944836,13166.5377664642
"9",1999-10-09,5323.43658772469,54702,10,283,1999.77134703196,1798,2000,9,8.57987434891978,5308.29244784293,NA,-3.72993161272992,0.705507836619418,0.0308735674438111,14200.140544471,0.0309087470372764,14357.7446359417
"10",1999-10-10,5550.22964046054,54703,10,284,1999.77408675799,1798,2000,10,8.62159458254405,5308.5507495088,NA,-3.6567548290813,0.706284704468766,0.0331766311716901,15909.5164348576,0.0310043681277252,14367.1366919223
"11",1999-10-11,5437.92632393685,54704,10,285,1999.77682648402,1798,2000,11,8.60115307672565,5314.08398763237,NA,-3.68877831752853,0.707073194538969,0.0321961776340024,15126.950178958,0.0307423196881315,14143.3936940271
"12",1999-10-12,5120.38398280472,54705,10,286,1999.77956621005,1798,2000,12,8.54098471186299,5296.16915084253,NA,-3.78704571297289,0.707871644284942,0.0291503622430375,12896.1545404785,0.0300999704691785,13620.1310878639
"13",1999-10-13,5580.56882005121,54706,10,287,1999.78230593607,1798,2000,13,8.6270459892572,5290.81862447685,NA,-3.64053336435998,0.708635829154519,0.0337566428344359,16276.141595934,0.0305717915085445,13994.9534783659
