"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-01-02,0.270866234515636,53326,1,2,1996.00421220401,1753,1996,1,-1.30613017953611,NA,NA,-2.31999204738825,0.266052400654254,0.102029728489036,2.38778568269088,0.09065183838002,52.7279659983204
"2",1996-01-03,0.245583345074018,53327,1,3,1996.00694444444,1753,1996,2,-1.40411889822511,NA,NA,-2.32522804882975,0.262059658646853,0.101502600136613,2.15372287370245,0.086131269283039,36.2283474923494
"3",1996-01-04,0.225357030284512,53328,1,4,1996.00967668488,1753,1996,3,-1.49006933315211,NA,NA,-2.33179933338615,0.258743773530773,0.10085997002108,1.96382908672147,0.0970786495390225,39.0080696470071
"4",1996-01-05,0.205130715495006,53329,1,5,1996.01240892532,1753,1996,4,-1.58410786648654,NA,NA,-2.33861496241204,0.255136107204495,0.100189466979469,1.77568736082295,0.106778510294231,48.2506688558806
"5",1996-01-06,0.1849044007055,53330,1,6,1996.01514116576,1753,1996,5,-1.68791634040987,NA,NA,-2.34568985548586,0.251170862416697,0.0994886113667962,1.58940421013951,0.0914882247973814,45.2562191696673
"6",1996-01-07,0.169734661579423,53331,1,7,1996.01787340619,1753,1996,6,-1.77351887551005,NA,NA,-2.32521466906558,0.259568526803354,0.102922636512763,1.50936815900355,0.0878453869201422,38.6130397715179
"7",1996-01-08,0.15456492144203,53332,1,8,1996.02060564663,1753,1996,7,-1.86714106739682,0.208020187013732,NA,-2.29324544943991,0.272750656766304,0.107938240828775,1.4414514377147,0.0847654124724229,32.5059649702401
"8",1996-01-09,0.144451756968066,53333,1,9,1996.02333788707,1753,1996,8,-1.93480968898661,0.189960975935508,NA,-2.27575786964158,0.282469611247811,0.110829269938077,1.38321931098614,0.0784024631709093,26.8793801795049
"9",1996-01-10,0.139395181304637,53334,1,10,1996.0260701275,1753,1996,9,-1.97044234865177,0.174791238254168,NA,-2.27452894178888,0.287964244840356,0.111404729182281,1.34173000130902,0.077431012692661,27.8865855853181
"10",1996-01-11,0.134338591482785,53335,1,11,1996.02880236794,1753,1996,10,-2.00739186391786,0.161788604139635,NA,-2.2736201511748,0.293601665129552,0.111887740885794,1.29866470687772,0.084994177643267,27.0467185615607
"11",1996-01-12,0.139395181304637,53336,1,12,1996.03153460838,1753,1996,11,-1.97044234865177,0.152397813541011,NA,-2.30533241905519,0.289647073490668,0.107956322048856,1.30019826974245,0.0912908863937363,44.8049489899176
