"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2001-05-15,0.444979012342298,-0.809728161203854,0.268,0.268,1,0.268,55286,5,136,2001.36860730594,1817,2001,0.734930808801337,-0.678142098880915,-1.85509196437467,0.243354224674518,0.16114006471253
"2",2001-06-14,0.132482385333793,-2.02130558327032,0.204,0.204,1,0.204,55316,6,166,2001.45079908676,1818,2001,0.304238045277349,-0.95259603810105,-1.60504818321221,0.430520884871835,0.220386144911613
"3",2001-07-11,0.0455092191986002,-3.08984035380039,0.836,0.836,1,0.836,55343,7,193,2001.5247716895,1819,2001,-0.155017448661544,-0.987911732195982,-1.92724217785388,0.34701144824185,0.154581516754901
"4",2001-08-21,0.100120277726451,-2.30138303848662,0.17,0.17,1,0.17,55384,8,234,2001.63710045662,1820,2001,-0.758773193538818,-0.65135492687697,-1.57682443896046,0.433500444336759,0.226986866196366
"5",2001-09-11,0.222489506171149,-1.5028753417638,0.144,0.144,1,0.144,55405,9,255,2001.6946347032,1821,2001,-0.940100810732114,-0.340896561526839,-1.88324500466442,0.33907116412073,0.16109510445544
"6",2001-10-11,1.07199483756383,0.0695212469316314,0.126,0.126,1,0.126,55435,10,285,2001.77682648402,1822,2002,-0.985828077144285,0.167758762257004,-2.41201530368142,0.257166422144293,0.0926479901568815
"7",2001-11-14,0.251817667470249,-1.37904999513813,0.052,0.052,1,0.052,55469,11,319,2001.86997716895,1823,2002,-0.729066819379599,0.684442527082965,-2.15601040790966,0.224883913042312,0.118751284327423
"8",2002-05-21,0.0788826450737067,-2.53979403636829,0.1,0.1,1,0.1,55657,5,142,2002.3850456621,1829,2002,0.66109662866401,-0.750300771403762,-1.76014224284858,0.47356015854609,0.1924319621768
"9",2002-06-17,0.152708700123298,-1.8792230931134,0.205,0.205,1,0.205,55684,6,169,2002.45901826484,1830,2002,0.254659749586019,-0.967030719233255,-1.74991982498364,0.40224201908,0.188431543214267
"10",2002-07-23,0.262942134738845,-1.33582129101672,0.175,0.175,1,0.175,55720,7,205,2002.55764840183,1831,2002,-0.354346931845413,-0.935114031491209,-1.70346834366275,0.303660651621701,0.190640952859336
"11",2002-08-22,0.0535997443053497,-2.92621098133934,0.154,0.154,1,0.154,55750,8,235,2002.63984018265,1832,2002,-0.769872777442441,-0.638197388394109,-1.57588661435674,0.456245239344469,0.229510441187857
"12",2002-09-23,0.0485431656079733,-3.02530186432948,0.206,0.206,1,0.206,55782,9,267,2002.72751141553,1833,2002,-0.990033761432024,-0.140830221276397,-1.85644467567805,0.437172699790547,0.171892724595854
"13",2002-10-21,0.050565797794845,-2.98447986414256,0.144,0.144,1,0.144,55810,10,295,2002.80422374429,1834,2003,-0.942521717556359,0.334144896616141,-2.02500059285826,0.415468024764718,0.143891785275817
"14",2002-11-20,0.0879844844029576,-2.43059479365176,0.114,0.114,1,0.114,55840,11,325,2002.88641552511,1835,2003,-0.654614304655664,0.755963036226098,-2.45666567500179,0.386036625641666,0.0923514808906218
"15",2003-03-24,0.16686713746606,-1.79055736724588,0.109,0.109,1,0.109,55964,3,84,2003.22614155251,1839,2003,0.988784964429782,0.149346222307744,-2.53627010117386,0.387900771377141,0.0853464352426721
"16",2003-04-23,0.0576450086790932,-2.85345161573616,0.05,0.05,1,0.05,55994,4,114,2003.30833333333,1840,2003,0.933580426497129,-0.358367949545489,-1.84286787973133,0.441535432710283,0.174576696822785
"17",2003-05-26,0.0839392199280826,-2.47766231432833,0.159,0.159,1,0.159,56027,5,147,2003.39874429224,1841,2003,0.594149909787003,-0.804354327830774,-1.9736765460844,0.472452109844977,0.155350558500903
"18",2003-06-18,0.12236922793904,-2.10071234623843,0.096,0.096,1,0.096,56050,6,170,2003.46175799087,1842,2003,0.237976174810722,-0.971270992165655,-1.79814338495493,0.412898058613586,0.18034186460962
"19",2003-07-21,0.743317231336204,-0.296632365310251,0.243,0.243,1,0.243,56083,7,203,2003.55216894977,1843,2003,-0.321948814099506,-0.946757076075971,-1.75940289687162,0.271378795579245,0.178604811372553
"20",2003-09-17,0.0616902731539683,-2.78562900792198,0.129,0.129,1,0.129,56141,9,261,2003.71107305936,1845,2003,-0.970237858358236,-0.242153872999016,-1.99868690645117,0.444447075355815,0.149580539560506
"21",2003-10-22,0.0566336944565918,-2.87115116247841,0.095,0.095,1,0.095,56176,10,296,2003.80696347032,1846,2004,-0.936630317680213,0.350319351452732,-2.20884429292466,0.426855852903471,0.120303046354066
"22",2004-04-29,0.0970863312159465,-2.33215468376954,0.151,0.151,1,0.151,56366,4,120,2004.32661657559,1852,2004,0.886349349195679,-0.463017095991495,-2.34997831864971,0.435438010091734,0.104855172724184
"23",2004-05-25,0.796916949954128,-0.227004808941254,0.12,0.12,1,0.12,56392,5,146,2004.39765482696,1853,2004,0.599642002935882,-0.800268372681967,-1.81752823461605,0.2898571932598,0.169395402273722
"24",2004-06-22,0.176980286770286,-1.73171692679005,0.127,0.127,1,0.127,56420,6,174,2004.4741575592,1854,2004,0.161660292580751,-0.986846467188643,-1.90049269927557,0.361282779803069,0.159576782790725
"25",2004-07-28,0.905127748640934,-0.0996791865249016,0.112,0.112,1,0.112,56456,7,210,2004.57251821494,1855,2004,-0.440041944272101,-0.897977219800831,-1.61929051944426,0.224558509145725,0.203095847249935
"26",2004-08-19,0.0535997443053497,-2.92621098133934,0.056,0.056,1,0.056,56478,8,232,2004.63262750455,1856,2004,-0.740170031270304,-0.6724197534348,-1.79655104271763,0.388955343736858,0.17890364520703
"27",2004-09-28,0.0283168472788617,-3.56429834125265,0.129,0.129,1,0.129,56518,9,272,2004.74191712204,1857,2004,-0.998710657089933,-0.0507643912107071,-1.97708968203834,0.466866854062937,0.154415639823606
"28",2005-04-29,0.293281615013631,-1.22662198817639,0.073,0.073,1,0.073,56731,4,120,2005.3247716895,1864,2005,0.891656864368375,-0.452711868879929,-2.03750607835728,0.268003995868762,0.135119864748477
"29",2005-05-17,0.10214291416085,-2.28138232712549,0.096,0.096,1,0.096,56749,5,138,2005.37408675799,1865,2005,0.711152545395557,-0.70303773524429,-2.21815588064729,0.417535102642749,0.118719928754395
"30",2005-07-20,0.104165541999063,-2.26177389534107,0.107,0.107,1,0.107,56813,7,202,2005.54942922374,1867,2005,-0.305604247165354,-0.952158623399745,-1.94788531589065,0.398281635559067,0.15434403336958
"31",2005-08-16,0.227546080823262,-1.48040250803295,0.128,0.128,1,0.128,56840,8,229,2005.62340182648,1868,2005,-0.699970752716079,-0.714171509752444,-1.93595487094424,0.320767586640017,0.151903633606235
"32",2005-09-27,0.12843712864605,-2.05231576561605,0.126,0.126,1,0.126,56882,9,271,2005.73847031963,1869,2005,-0.997377144672082,-0.0723797712469706,-2.20911901931122,0.379077938264887,0.117976600188129
"33",2005-10-18,0.0515771120173464,-2.96467727045422,0.05,0.05,1,0.05,56903,10,292,2005.79600456621,1870,2006,-0.958513611322186,0.28504676267255,-2.22736019605288,0.371781498708998,0.115527179695903
"34",2005-11-22,0.0647242233052104,-2.73761975333604,0.068,0.068,1,0.068,56938,11,327,2005.89189497717,1871,2006,-0.628204914668578,0.778047932447766,-2.40923497488441,0.376831951955459,0.0964979210032421
"35",2006-07-12,0.525884270489005,-0.642674108533695,0.172,0.172,1,0.172,57170,7,194,2006.52751141553,1879,2006,-0.171999757649414,-0.985096991858438,-1.90948000242371,0.274218511237932,0.15383385748076
"36",2006-08-29,1.75968974873811,0.565137514384995,0.144,0.144,1,0.144,57218,8,242,2006.65901826484,1880,2006,-0.841006676578954,-0.541024740607694,-2.08535171106535,0.272214647964181,0.128953770923553
"37",2006-11-15,0.311485308032819,-1.16640310709064,0.067,0.067,1,0.067,57296,11,320,2006.87271689498,1883,2007,-0.717177247276969,0.696890806359381,-2.43580693888241,0.250650962629082,0.0903202143108066
"38",2007-05-14,0.0758486986643336,-2.5790147300344,0.106,0.106,1,0.106,57476,5,135,2007.36586757991,1889,2007,0.746495022345411,-0.665390999047571,-2.47840170697826,0.410150630916493,0.0912374402619673
"39",2007-06-19,0.232602670645113,-1.45842355725621,0.16,0.16,1,0.16,57512,6,171,2007.4644977169,1890,2007,0.221222082560484,-0.975223456540911,-2.16011442984457,0.302058351501032,0.120694248165257
"40",2007-07-23,0.0414639547237251,-3.18293079003713,0.135,0.135,1,0.135,57546,7,205,2007.55764840183,1891,2007,-0.3543469318451,-0.935114031491328,-2.18528956196911,0.425064483010994,0.123076439829305
"41",2008-05-06,0.16585581950169,-1.7966364252587,0.129,0.129,1,0.129,57834,5,127,2008.34574225865,1901,2008,0.824450173465701,-0.565934546986112,-2.55366937875431,0.336136935239011,0.0823171870351978
"42",2008-07-28,0.0414639547237251,-3.18293079003713,0.125,0.125,1,0.125,57917,7,210,2008.57251821494,1903,2008,-0.44004194427284,-0.897977219800469,-2.25959067767451,0.415524909226349,0.113805980883065
"43",2008-08-27,0.0485431656079733,-3.02530186432948,0.105,0.105,1,0.105,57947,8,240,2008.65448542805,1904,2008,-0.825258954213611,-0.564754511704207,-2.24917036346442,0.401243052615795,0.114329303229377
"44",2008-09-29,0.373175570365707,-0.985706272050505,0.118,0.118,1,0.118,57980,9,273,2008.74464936248,1905,2008,-0.999434933061913,-0.0336127144921321,-2.23558261945528,0.258851221150141,0.110572856316295
"45",2008-11-10,0.0839392199280826,-2.47766231432833,0.128,0.128,1,0.128,58022,11,315,2008.85940346084,1907,2009,-0.772896995803466,0.634531507395793,-2.66709521022763,0.331946524479786,0.0733875509985554
"46",2009-05-26,0.0920297488778327,-2.38564339683408,0.046,0.046,1,0.046,58219,5,147,2009.39874429224,1913,2009,0.594149909786741,-0.804354327830967,-2.32225138826503,0.351638928210521,0.10430599707059
"47",2009-06-24,0.133493703298163,-2.01370096856009,0.098,0.098,1,0.098,58248,6,176,2009.47819634703,1914,2009,0.136568268945694,-0.990630661708579,-2.26646027487815,0.358277445147796,0.110550935328964
"48",2009-07-27,0.111244752579917,-2.1960225268692,0.106,0.106,1,0.106,58281,7,209,2009.56860730594,1915,2009,-0.4178453525044,-0.908518167892351,-2.1941830412418,0.365784651619503,0.119160514245081
"49",2009-08-24,0.0455092191986002,-3.08984035380039,0.112,0.112,1,0.112,58309,8,237,2009.6453196347,1916,2009,-0.791384334045542,-0.611318931350318,-2.33084657622668,0.397818938078542,0.105218449089649
"50",2009-09-22,0.177991604734656,-1.72601889421437,0.128,0.128,1,0.128,58338,9,266,2009.7247716895,1917,2009,-0.987462916490306,-0.157851159503057,-2.29204828295131,0.321715245896305,0.106426791577539
"51",2009-10-27,0.0748373806999632,-2.59243777685302,0.082,0.082,1,0.082,58373,10,301,2009.82066210046,1918,2010,-0.903047943551062,0.429539767248852,-2.48130986577083,0.362559571909927,0.0893150614400071
"52",2013-04-15,NA,NA,0.041,0.041,1,0.041,59639,4,106,2013.28641552511,1960,2013,0.973938021199487,-0.226814309209156,NA,NA,NA
"53",2013-05-14,NA,NA,0.103,0.103,1,0.103,59668,5,135,2013.36586757991,1961,2013,0.746495022345194,-0.665390999047814,NA,NA,NA
"54",2013-06-11,NA,NA,0.164,0.164,1,0.164,59696,6,163,2013.44257990868,1962,2013,0.353005130556375,-0.935621385925352,NA,NA,NA
"55",2013-07-09,NA,NA,0.132,0.132,1,0.132,59724,7,191,2013.51929223744,1963,2013,-0.120920071471624,-0.992662246846981,NA,NA,NA
"56",2013-08-20,NA,NA,0.061,0.061,1,0.061,59766,8,233,2013.63436073059,1964,2013,-0.74744876876195,-0.664319454837991,NA,NA,NA
"57",2013-09-24,NA,NA,0.073,0.073,1,0.073,59801,9,268,2013.73025114155,1965,2013,-0.992311238003159,-0.123767552018441,NA,NA,NA
"58",2014-01-20,NA,NA,0.061,0.061,1,0.061,59919,1,20,2014.05353881279,1969,2014,0.330085624040046,0.943950994915569,NA,NA,NA
"59",2014-02-03,NA,NA,0.097,0.097,1,0.097,59933,2,34,2014.09189497717,1970,2014,0.545841561561017,0.837888411229461,NA,NA,NA
"60",2014-03-17,NA,NA,0.047,0.047,1,0.047,59975,3,77,2014.20696347032,1971,2014,0.963662392826472,0.267123178799516,NA,NA,NA
