DATE,USGSPCode,RESULT
2001-05-15,0,0.268
2001-06-14,0,0.204
2001-07-11,0,0.836
2001-08-21,0,0.17
2001-09-11,0,0.144
2001-10-11,0,0.126
2001-11-14,0,0.052
2002-05-21,0,0.1
2002-06-17,0,0.205
2002-07-23,0,0.175
2002-08-22,0,0.154
2002-09-23,0,0.206
2002-10-21,0,0.144
2002-11-20,0,0.114
2003-03-24,0,0.109
2003-04-23,0,0.05
2003-05-26,0,0.159
2003-06-18,0,0.096
2003-07-21,0,0.243
2003-09-17,0,0.129
2003-10-22,0,0.095
2004-04-29,0,0.151
2004-05-25,0,0.12
2004-06-22,0,0.127
2004-07-28,0,0.112
2004-08-19,0,0.056
2004-09-28,0,0.129
2005-04-29,0,0.073
2005-05-17,0,0.096
2005-07-20,0,0.107
2005-08-16,0,0.128
2005-09-27,0,0.126
2005-10-18,0,0.05
2005-11-22,0,0.068
2006-07-12,0,0.172
2006-08-29,0,0.144
2006-11-15,0,0.067
2007-05-14,0,0.106
2007-06-19,0,0.16
2007-07-23,0,0.135
2008-05-06,0,0.129
2008-07-28,0,0.125
2008-08-27,0,0.105
2008-09-29,0,0.118
2008-11-10,0,0.128
2009-05-26,0,0.046
2009-06-24,0,0.098
2009-07-27,0,0.106
2009-08-24,0,0.112
2009-09-22,0,0.128
2009-10-27,0,0.082
2013-04-15,0,0.041
2013-05-14,0,0.103
2013-06-11,0,0.164
2013-07-09,0,0.132
2013-08-20,0,0.061
2013-09-24,0,0.073
2014-01-20,0,0.061
2014-02-03,0,0.097
2014-03-17,0,0.047
2014-04-14,0,0.046
2014-05-20,0,0.061
2014-06-02,0,0.12
2014-06-30,0,0.121
2014-09-09,0,0.078
2015-04-13,0,0.053
2015-05-11,0,0.046
2015-06-09,0,0.117
2015-07-20,0,0.098
2015-08-17,0,0.144
2015-09-14,0,0.12266666666666666
2015-10-13,0,0.109
2015-11-23,0,0.11366666666666665
2016-04-11,0,0.0415
2016-05-09,0,0.060399999999999995
2016-06-21,0,0.2255
2016-07-19,0,0.2015
2016-08-15,0,0.109
2016-09-12,0,0.0885
2016-10-11,0,0.1065
2016-11-21,0,0.047
2016-12-19,0,0.07
