"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","02GG011",1927-05-01,"Level",NA,NA
"2","02GG011",1927-05-02,"Level",NA,NA
"3","02GG011",1927-05-03,"Level",NA,NA
"4","02GG011",1927-05-04,"Level",NA,NA
"5","02GG011",1927-05-05,"Level",NA,NA
"6","02GG011",1927-05-06,"Level",NA,NA
"7","02GG011",1927-05-07,"Level",NA,NA
"8","02GG011",1927-05-08,"Level",NA,NA
"9","02GG011",1927-05-09,"Level",NA,NA
"10","02GG011",1927-05-10,"Level",NA,NA
"11","02GG011",1927-05-11,"Level",NA,NA
"12","02GG011",1927-05-12,"Level",NA,NA
"13","02GG011",1927-05-13,"Level",NA,NA
"14","02GG011",1927-05-14,"Level",NA,NA
"15","02GG011",1927-05-15,"Level",NA,NA
"16","02GG011",1927-05-16,"Level",175.059997558594,NA
"17","02GG011",1927-05-17,"Level",175.039993286133,NA
"18","02GG011",1927-05-18,"Level",175.059997558594,NA
"19","02GG011",1927-05-19,"Level",175.050003051758,NA
"20","02GG011",1927-05-20,"Level",175.050003051758,NA
"21","02GG011",1927-05-21,"Level",175.059997558594,NA
"22","02GG011",1927-05-22,"Level",175.029998779297,NA
"23","02GG011",1927-05-23,"Level",175.070007324219,NA
"24","02GG011",1927-05-24,"Level",175.110000610352,NA
"25","02GG011",1927-05-25,"Level",175.190002441406,NA
"26","02GG011",1927-05-26,"Level",175.229995727539,NA
"27","02GG011",1927-05-27,"Level",175.149993896484,NA
"28","02GG011",1927-05-28,"Level",175.100006103516,NA
"29","02GG011",1927-05-29,"Level",175.130004882812,NA
"30","02GG011",1927-05-30,"Level",175.119995117188,NA
"31","02GG011",1927-05-31,"Level",175.160003662109,NA
"32","02GG011",1927-06-01,"Level",175.130004882812,NA
"33","02GG011",1927-06-02,"Level",175.110000610352,NA
"34","02GG011",1927-06-03,"Level",175.100006103516,NA
"35","02GG011",1927-06-04,"Level",175.149993896484,NA
"36","02GG011",1927-06-05,"Level",175.130004882812,NA
"37","02GG011",1927-06-06,"Level",175.119995117188,NA
"38","02GG011",1927-06-07,"Level",175.119995117188,NA
"39","02GG011",1927-06-08,"Level",175.130004882812,NA
"40","02GG011",1927-06-09,"Level",175.119995117188,NA
"41","02GG011",1927-06-10,"Level",175.160003662109,NA
"42","02GG011",1927-06-11,"Level",175.139999389648,NA
"43","02GG011",1927-06-12,"Level",175.139999389648,NA
"44","02GG011",1927-06-13,"Level",175.119995117188,NA
"45","02GG011",1927-06-14,"Level",175.110000610352,NA
"46","02GG011",1927-06-15,"Level",175.110000610352,NA
"47","02GG011",1927-06-16,"Level",175.119995117188,NA
"48","02GG011",1927-06-17,"Level",175.119995117188,NA
"49","02GG011",1927-06-18,"Level",175.130004882812,NA
"50","02GG011",1927-06-19,"Level",175.130004882812,NA
"51","02GG011",1927-06-20,"Level",175.110000610352,NA
"52","02GG011",1927-06-21,"Level",175.119995117188,NA
"53","02GG011",1927-06-22,"Level",175.139999389648,NA
"54","02GG011",1927-06-23,"Level",175.179992675781,NA
"55","02GG011",1927-06-24,"Level",175.149993896484,NA
"56","02GG011",1927-06-25,"Level",175.179992675781,NA
"57","02GG011",1927-06-26,"Level",175.149993896484,NA
"58","02GG011",1927-06-27,"Level",175.130004882812,NA
"59","02GG011",1927-06-28,"Level",175.149993896484,NA
"60","02GG011",1927-06-29,"Level",175.160003662109,NA
"61","02GG011",1927-06-30,"Level",175.149993896484,NA
"62","02GG011",1927-07-01,"Level",175.160003662109,NA
"63","02GG011",1927-07-02,"Level",175.160003662109,NA
"64","02GG011",1927-07-03,"Level",175.179992675781,NA
"65","02GG011",1927-07-04,"Level",175.169998168945,NA
"66","02GG011",1927-07-05,"Level",175.169998168945,NA
"67","02GG011",1927-07-06,"Level",175.179992675781,NA
"68","02GG011",1927-07-07,"Level",175.190002441406,NA
"69","02GG011",1927-07-08,"Level",175.190002441406,NA
"70","02GG011",1927-07-09,"Level",175.179992675781,NA
"71","02GG011",1927-07-10,"Level",175.179992675781,NA
"72","02GG011",1927-07-11,"Level",175.179992675781,NA
"73","02GG011",1927-07-12,"Level",175.190002441406,NA
"74","02GG011",1927-07-13,"Level",175.179992675781,NA
"75","02GG011",1927-07-14,"Level",175.190002441406,NA
"76","02GG011",1927-07-15,"Level",175.220001220703,NA
"77","02GG011",1927-07-16,"Level",175.210006713867,NA
"78","02GG011",1927-07-17,"Level",175.229995727539,NA
"79","02GG011",1927-07-18,"Level",175.220001220703,NA
"80","02GG011",1927-07-19,"Level",175.220001220703,NA
"81","02GG011",1927-07-20,"Level",175.210006713867,NA
"82","02GG011",1927-07-21,"Level",175.199996948242,NA
"83","02GG011",1927-07-22,"Level",175.229995727539,NA
"84","02GG011",1927-07-23,"Level",175.270004272461,NA
"85","02GG011",1927-07-24,"Level",175.25,NA
"86","02GG011",1927-07-25,"Level",175.240005493164,NA
"87","02GG011",1927-07-26,"Level",175.240005493164,NA
"88","02GG011",1927-07-27,"Level",175.240005493164,NA
"89","02GG011",1927-07-28,"Level",175.25,NA
"90","02GG011",1927-07-29,"Level",175.25,NA
"91","02GG011",1927-07-30,"Level",175.240005493164,NA
"92","02GG011",1927-07-31,"Level",175.229995727539,NA
"93","02GG011",1927-08-01,"Level",175.240005493164,NA
"94","02GG011",1927-08-02,"Level",175.240005493164,NA
"95","02GG011",1927-08-03,"Level",175.240005493164,NA
"96","02GG011",1927-08-04,"Level",175.229995727539,NA
"97","02GG011",1927-08-05,"Level",175.220001220703,NA
"98","02GG011",1927-08-06,"Level",175.210006713867,NA
"99","02GG011",1927-08-07,"Level",175.210006713867,NA
"100","02GG011",1927-08-08,"Level",175.229995727539,NA
"101","02GG011",1927-08-09,"Level",175.220001220703,NA
"102","02GG011",1927-08-10,"Level",175.220001220703,NA
"103","02GG011",1927-08-11,"Level",175.199996948242,NA
"104","02GG011",1927-08-12,"Level",175.199996948242,NA
"105","02GG011",1927-08-13,"Level",175.190002441406,NA
"106","02GG011",1927-08-14,"Level",175.199996948242,NA
"107","02GG011",1927-08-15,"Level",175.190002441406,NA
"108","02GG011",1927-08-16,"Level",175.190002441406,NA
"109","02GG011",1927-08-17,"Level",175.190002441406,NA
"110","02GG011",1927-08-18,"Level",175.179992675781,NA
"111","02GG011",1927-08-19,"Level",175.190002441406,NA
"112","02GG011",1927-08-20,"Level",175.179992675781,NA
"113","02GG011",1927-08-21,"Level",175.169998168945,NA
"114","02GG011",1927-08-22,"Level",175.160003662109,NA
"115","02GG011",1927-08-23,"Level",175.179992675781,NA
"116","02GG011",1927-08-24,"Level",175.169998168945,NA
"117","02GG011",1927-08-25,"Level",175.169998168945,NA
"118","02GG011",1927-08-26,"Level",175.160003662109,NA
"119","02GG011",1927-08-27,"Level",175.160003662109,NA
"120","02GG011",1927-08-28,"Level",175.149993896484,NA
"121","02GG011",1927-08-29,"Level",175.149993896484,NA
"122","02GG011",1927-08-30,"Level",175.149993896484,NA
"123","02GG011",1927-08-31,"Level",175.139999389648,NA
"124","02GG011",1927-09-01,"Level",175.130004882812,NA
"125","02GG011",1927-09-02,"Level",175.119995117188,NA
"126","02GG011",1927-09-03,"Level",175.130004882812,NA
"127","02GG011",1927-09-04,"Level",175.139999389648,NA
"128","02GG011",1927-09-05,"Level",175.119995117188,NA
"129","02GG011",1927-09-06,"Level",175.119995117188,NA
"130","02GG011",1927-09-07,"Level",175.119995117188,NA
"131","02GG011",1927-09-08,"Level",175.119995117188,NA
"132","02GG011",1927-09-09,"Level",175.110000610352,NA
"133","02GG011",1927-09-10,"Level",175.110000610352,NA
"134","02GG011",1927-09-11,"Level",175.130004882812,NA
"135","02GG011",1927-09-12,"Level",175.110000610352,NA
"136","02GG011",1927-09-13,"Level",175.130004882812,NA
"137","02GG011",1927-09-14,"Level",175.110000610352,NA
"138","02GG011",1927-09-15,"Level",175.119995117188,NA
"139","02GG011",1927-09-16,"Level",175.119995117188,NA
"140","02GG011",1927-09-17,"Level",175.119995117188,NA
"141","02GG011",1927-09-18,"Level",175.139999389648,NA
"142","02GG011",1927-09-19,"Level",175.149993896484,NA
"143","02GG011",1927-09-20,"Level",175.130004882812,NA
"144","02GG011",1927-09-21,"Level",175.110000610352,NA
"145","02GG011",1927-09-22,"Level",175.089996337891,NA
"146","02GG011",1927-09-23,"Level",175.089996337891,NA
"147","02GG011",1927-09-24,"Level",175.070007324219,NA
"148","02GG011",1927-09-25,"Level",175.070007324219,NA
"149","02GG011",1927-09-26,"Level",175.080001831055,NA
"150","02GG011",1927-09-27,"Level",175.050003051758,NA
"151","02GG011",1927-09-28,"Level",175.059997558594,NA
"152","02GG011",1927-09-29,"Level",175.080001831055,NA
"153","02GG011",1927-09-30,"Level",175.100006103516,NA
"154","02GG011",1927-10-01,"Level",175.089996337891,NA
"155","02GG011",1927-10-02,"Level",175.070007324219,NA
"156","02GG011",1927-10-03,"Level",175.080001831055,NA
"157","02GG011",1927-10-04,"Level",175.110000610352,NA
"158","02GG011",1927-10-05,"Level",175.080001831055,NA
"159","02GG011",1927-10-06,"Level",175.080001831055,NA
"160","02GG011",1927-10-07,"Level",175.100006103516,NA
"161","02GG011",1927-10-08,"Level",175.089996337891,NA
"162","02GG011",1927-10-09,"Level",175.100006103516,NA
"163","02GG011",1927-10-10,"Level",175.080001831055,NA
"164","02GG011",1927-10-11,"Level",175.059997558594,NA
"165","02GG011",1927-10-12,"Level",175.089996337891,NA
"166","02GG011",1927-10-13,"Level",175.119995117188,NA
"167","02GG011",1927-10-14,"Level",175.080001831055,NA
"168","02GG011",1927-10-15,"Level",175.050003051758,NA
"169","02GG011",1927-10-16,"Level",175.089996337891,NA
"170","02GG011",1927-10-17,"Level",175.059997558594,NA
"171","02GG011",1927-10-18,"Level",175.080001831055,NA
"172","02GG011",1927-10-19,"Level",175.100006103516,NA
"173","02GG011",1927-10-20,"Level",175.089996337891,NA
"174","02GG011",1927-10-21,"Level",175.110000610352,NA
"175","02GG011",1927-10-22,"Level",175.059997558594,NA
"176","02GG011",1927-10-23,"Level",175.039993286133,NA
"177","02GG011",1927-10-24,"Level",175.039993286133,NA
"178","02GG011",1927-10-25,"Level",175.020004272461,NA
"179","02GG011",1927-10-26,"Level",175.009994506836,NA
"180","02GG011",1927-10-27,"Level",175,NA
"181","02GG011",1927-10-28,"Level",175.009994506836,NA
"182","02GG011",1927-10-29,"Level",175,NA
"183","02GG011",1927-10-30,"Level",174.970001220703,NA
"184","02GG011",1927-10-31,"Level",174.979995727539,NA
"185","02GG011",1927-11-01,"Level",174.979995727539,NA
"186","02GG011",1927-11-02,"Level",175.009994506836,NA
"187","02GG011",1927-11-03,"Level",175,NA
"188","02GG011",1927-11-04,"Level",175.009994506836,NA
"189","02GG011",1927-11-05,"Level",175.020004272461,NA
"190","02GG011",1927-11-06,"Level",175.029998779297,NA
"191","02GG011",1927-11-07,"Level",175,NA
"192","02GG011",1927-11-08,"Level",174.940002441406,NA
"193","02GG011",1927-11-09,"Level",174.960006713867,NA
