DATE,USGSPCode,RESULT
1996-02-13,0,82.4
1996-04-09,0,62.7
2001-05-15,0,139.0
2001-06-14,0,71.4
2001-07-11,0,446.0
2001-08-21,0,404.0
2001-09-11,0,96.2
2001-11-14,0,101.0
2002-05-21,0,60.0
2002-06-17,0,192.0
2002-07-23,0,335.0
2002-08-22,0,450.0
2002-09-23,0,392.0
2002-10-21,0,444.0
2002-11-20,0,264.0
2003-03-24,0,84.4
2003-04-24,0,159.0
2003-05-26,0,114.0
2003-06-18,0,65.8
2003-07-21,0,290.0
2003-08-13,0,113.0
2003-09-17,0,396.0
2003-10-22,0,87.9
2004-04-29,0,183.0
2004-05-25,0,30.8
2004-06-22,0,78.5
2004-07-28,0,65.4
2004-08-19,0,268.0
2004-09-28,0,397.0
2005-04-29,0,45.0
2005-05-17,0,111.0
2005-07-20,0,409.0
2005-08-16,0,409.0
2005-09-27,0,120.0
2005-10-18,0,423.0
2005-11-22,0,151.0
2006-07-12,0,79.0
2006-08-29,0,243.0
2006-11-15,0,56.4
2007-05-14,0,83.6
2007-06-19,0,64.7
2007-07-23,0,340.0
2008-05-06,0,249.0
2008-07-28,0,150.0
2008-08-27,0,73.0
2008-09-29,0,91.3
2008-11-10,0,203.0
2009-05-26,0,82.0
2009-06-24,0,66.2
2009-07-27,0,113.0
2009-08-24,0,195.0
2009-09-22,0,181.0
2009-10-27,0,161.0
2013-04-17,0,79.5
2013-05-14,0,173.0
2013-06-11,0,99.1
2013-07-10,0,12.6
2013-08-19,0,97.3
2013-09-24,0,67.3
2013-10-08,0,121.0
2014-04-14,0,144.0
2014-05-20,0,95.1
2014-06-02,0,143.0
2014-06-30,0,208.0
2014-08-11,0,292.0
2014-09-09,0,242.0
2015-04-13,0,124.0
2015-05-12,0,119.0
2015-06-09,0,130.0
2015-07-21,0,129.0
2015-09-14,0,180.0
2015-10-13,0,254.0
2015-11-23,0,170.0
2016-04-11,0,66.5
2016-05-10,0,79.0
2016-06-21,0,129.0
2016-07-19,0,117.0
2016-08-15,0,187.0
2016-09-12,0,173.0
2016-10-11,0,143.0
2016-11-21,0,118.0
