"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1996-02-13,0.871754330654092,-0.137247625668034,82.4,82.4,1,82.4,53368,2,44,1996.11919398907,1754,1996,0.680846615833643,0.732426027464806,3.67615071559688,0.26132498972713,40.8659047511741
"2",1996-04-09,0.167878440260692,-1.78451513135874,62.7,62.7,1,62.7,53424,4,100,1996.27219945355,1756,1996,0.990287968680586,-0.139031432009022,4.3762764233193,0.365748810069894,85.0434684542906
"3",2001-05-15,0.0758486986643336,-2.5790147300344,139,139,1,139,55286,5,136,2001.36883561644,1817,2001,0.733957246450087,-0.679195671646548,4.88267453593015,0.447315787989982,145.870646048659
"4",2001-06-14,0.118323964172086,-2.13432895731996,71.4,71.4,1,71.4,55316,6,166,2001.45102739726,1818,2001,0.302871217313117,-0.953031492513899,4.72943810032883,0.427429245759025,124.062563211396
"5",2001-07-11,0.00303394785555491,-5.7978905849026,446,446,1,446,55343,7,193,2001.525,1819,2001,-0.156434465040046,-0.987688340595167,5.72896843912712,0.380181758418547,330.708566516291
"6",2001-08-21,0.0101131591948953,-4.59391781257666,404,404,1,404,55384,8,234,2001.63732876712,1820,2001,-0.759706792343112,-0.650265783866674,6.25833370996485,0.39190688661275,564.042280352374
"7",2001-09-11,0.114278699393816,-2.16911508255748,96.2,96.2,1,96.2,55405,9,255,2001.6948630137,1821,2001,-0.940588865254792,-0.339547620458019,4.90973440735789,0.47483647183157,151.785637346369
"8",2001-11-14,0.0657355337858427,-2.72211565059815,101,101,1,101,55469,11,319,2001.87020547945,1823,2002,-0.728084224992443,0.685487681375205,5.20655644977792,0.509526013396643,207.756106943867
"9",2002-05-21,0.306428733380706,-1.18277006816035,60,60,1,60,55657,5,142,2002.3852739726,1829,2002,0.660019629461337,-0.751248353559407,4.44249756196538,0.372797867069167,91.1026312378595
"10",2002-06-17,0.038430004572483,-3.25891675542327,192,192,1,192,55684,6,169,2002.45924657534,1830,2002,0.253272265844443,-0.967395037900248,5.37077072559868,0.450328644103494,237.975724233122
"11",2002-07-23,0.0283168472788617,-3.56429834125265,335,335,1,335,55720,7,205,2002.55787671233,1831,2002,-0.355688003946462,-0.934604752742346,5.64481242962104,0.460047125329681,314.389954397626
"12",2002-08-22,0.0161810558768684,-4.12391411133093,450,450,1,450,55750,8,235,2002.64006849315,1832,2002,-0.770787490117457,-0.637092336383378,6.05982443717301,0.438676834052442,471.558477861579
"13",2002-09-23,0.0242715828039866,-3.71844904488943,392,392,1,392,55782,9,267,2002.72773972603,1833,2002,-0.990234766071303,-0.139409856408047,5.80680827459009,0.489261220222569,374.838979365038
"14",2002-10-21,0.0212376344731132,-3.851980460133,444,444,1,444,55810,10,295,2002.80445205479,1834,2003,-0.942041411342513,0.335496615952837,5.46653473367866,0.472664341663719,264.60562861466
"15",2002-11-20,0.0647242233052104,-2.73761975333604,264,264,1,264,55840,11,325,2002.88664383562,1835,2003,-0.653529189509328,0.756901313553677,4.74982580583172,0.49865213186765,130.863236299184
"16",2003-03-24,2.0024055848685,0.694349250218885,84.4,84.4,1,84.4,55964,3,84,2003.22636986301,1839,2003,0.988998186699948,0.14792764009547,4.33753790105825,0.223749074669721,78.4584923651481
"17",2003-04-24,0.179002922699026,-1.72035314534716,159,159,1,159,55995,4,115,2003.31130136986,1840,2003,0.9267353758429,-0.375714709801624,4.89897095721195,0.411715132898264,146.017376615502
"18",2003-05-26,0.158776607909521,-1.84025704637526,114,114,1,114,56027,5,147,2003.39897260274,1841,2003,0.592995438737676,-0.805205818183346,4.67512332403702,0.42972861766572,117.619715057151
"19",2003-06-18,0.336768212644177,-1.08836038157825,65.8,65.8,1,65.8,56050,6,170,2003.46198630137,1842,2003,0.236582625492865,-0.9716113736031,4.31821922727532,0.404320850564434,81.4473584016895
"20",2003-07-21,0.131471067369422,-2.02896847157666,290,290,1,290,56083,7,203,2003.55239726027,1843,2003,-0.323306621677522,-0.94629426098834,4.60670036532332,0.407237445754,108.811990367734
"21",2003-08-13,0.104165541999063,-2.26177389534107,113,113,1,113,56106,8,226,2003.6154109589,1844,2003,-0.663246543563825,-0.748400977050831,5.04363940403472,0.507648669498922,176.353938499333
"22",2003-09-17,0.0192150022862415,-3.95206393598321,396,396,1,396,56141,9,261,2003.71130136986,1845,2003,-0.970584233836515,-0.240761801430345,5.89439258284738,0.495786049717553,410.466569216002
"23",2003-10-22,0.0293281615013631,-3.52920708117044,87.9,87.9,1,87.9,56176,10,296,2003.80719178082,1846,2004,-0.936126815001912,0.351662602837402,5.76158916851939,0.435909743424034,349.53294509117
"24",2004-04-29,0.364073753184275,-1.01039881323166,183,183,1,183,56366,4,120,2004.3268442623,1852,2004,0.885686051201533,-0.464284631133786,4.5318070946105,0.348528358799556,98.7452304183996
"25",2004-05-25,5.62291657538697,1.72685049288255,30.8,30.8,1,30.8,56392,5,146,2004.39788251366,1853,2004,0.598496527578546,-0.801125399969582,3.13434192028238,0.143706505165123,23.2119608592021
"26",2004-06-22,0.340813484501658,-1.07641991761004,78.5,78.5,1,78.5,56420,6,174,2004.4743852459,1854,2004,0.160248347301514,-0.987076728115466,4.37150369428203,0.420631085487409,86.4848236421562
"27",2004-07-28,0.359017148192684,-1.02438512508121,65.4,65.4,1,65.4,56456,7,210,2004.57274590164,1855,2004,-0.441326137724796,-0.897346778096915,4.4231765623454,0.419045064427333,91.0105965512621
"28",2004-08-19,0.0192150022862415,-3.95206393598321,268,268,1,268,56478,8,232,2004.63285519126,1856,2004,-0.741131235707254,-0.671360180126167,5.86985197143837,0.496247839025453,400.607814610612
"29",2004-09-28,0.0364073723856113,-3.31298398678126,397,397,1,397,56518,9,272,2004.74214480874,1857,2004,-0.998782258503486,-0.0493355865342178,5.41788718055631,0.538468278831424,260.567312260983
"30",2005-04-29,3.46881375095509,1.24381267699744,45,45,1,45,56731,4,120,2005.325,1864,2005,0.891006524188469,-0.453990499739347,4.00553640818762,0.14822688155471,55.5077145723019
"31",2005-05-17,0.29125897908489,-1.23354244510143,111,111,1,111,56749,5,138,2005.37431506849,1865,2005,0.710143294304082,-0.704057172078338,4.65950026957714,0.407709551696702,114.733702057048
"32",2005-07-20,0.0283168472788617,-3.56429834125265,409,409,1,409,56813,7,202,2005.54965753425,1867,2005,-0.306969820170463,-0.951719249308594,5.3325605546969,0.491136688327694,233.496754582399
"33",2005-08-16,0.0262942149908584,-3.63840632631846,409,409,1,409,56840,8,229,2005.62363013699,1868,2005,-0.700994523460595,-0.713166655192356,5.51658463897226,0.516910866504522,284.343513247112
"34",2005-09-27,0.295304250942372,-1.21974909500105,120,120,1,120,56882,9,271,2005.73869863014,1869,2005,-0.997479948441849,-0.0709489426027306,4.73143933834424,0.403196579816505,123.066280898992
"35",2005-10-18,0.038430004572483,-3.25891675542327,423,423,1,423,56903,10,292,2005.79623287671,1870,2006,-0.9581037207471,0.286421473165967,5.11571346290787,0.531629688378978,191.910386422818
"36",2005-11-22,0.371152964776444,-0.991140997368998,151,151,1,151,56938,11,327,2005.89212328767,1871,2006,-0.62708814554291,0.778948302340761,4.29168445284338,0.324621324816558,77.0437895071605
"37",2006-07-12,0.258896893220841,-1.35132539221614,79,79,1,79,57170,7,194,2006.52773972603,1879,2006,-0.173412718764253,-0.984849241747584,4.62855627554471,0.439300192919069,112.735977806257
"38",2006-08-29,0.219455552278038,-1.51660556228831,243,243,1,243,57218,8,242,2006.65924657534,1880,2006,-0.841781920276772,-0.539817745813484,4.68655544530506,0.396417498957091,117.346237789705
"39",2006-11-15,0.503635334940498,-0.685902814578182,56.4,56.4,1,56.4,57296,11,320,2006.87294520548,1883,2007,-0.716176807858706,0.697918892053592,4.8001734709056,0.276973726363376,126.28366593176
"40",2007-05-14,0.154731336052039,-1.86606498178611,83.6,83.6,1,83.6,57476,5,135,2007.36609589041,1889,2007,0.74553973975997,-0.666461173991881,4.88175866723946,0.418622788580502,143.937789202108
"41",2007-06-19,0.0455092191986002,-3.08984035380039,64.7,64.7,1,64.7,57512,6,171,2007.4647260274,1890,2007,0.219822880605085,-0.975539799886444,5.08229385424077,0.479002849696641,180.73208100985
"42",2007-07-23,0.0171923719197385,-4.06328948657332,340,340,1,340,57546,7,205,2007.55787671233,1891,2007,-0.355688003946149,-0.934604752742465,4.80628706238858,0.450696437020761,135.348197894405
"43",2008-05-06,0.203274509346014,-1.59319795063601,249,249,1,249,57834,5,127,2008.34596994536,1901,2008,0.823639705390964,-0.567113424019821,4.71716551359858,0.333186472805025,118.234758445797
"44",2008-07-28,0.0394413225368534,-3.23294121692824,150,150,1,150,57917,7,210,2008.57274590164,1903,2008,-0.441326137725534,-0.897346778096552,5.05478461067265,0.570457069281557,184.471548814004
"45",2008-08-27,0.0141584235888651,-4.25744552538402,73,73,1,73,57947,8,240,2008.65471311475,1904,2008,-0.826066045978898,-0.563573320589955,5.58082699868779,0.416731611456066,289.356536102977
"46",2008-09-29,0.0394413225368534,-3.23294121692824,91.3,91.3,1,91.3,57980,9,273,2008.74487704918,1905,2008,-0.999481996592602,-0.0321828912198151,5.28454011784245,0.528178346524005,226.790413107454
"47",2008-11-10,0.176980286770286,-1.73171692679005,203,203,1,203,58022,11,315,2008.85963114754,1907,2009,-0.77198844585874,0.635636562400722,4.89563592538461,0.398317195867432,144.743646076697
"48",2009-05-26,0.0940523848065734,-2.36390336676154,82,82,1,82,58219,5,147,2009.39897260274,1913,2009,0.592995438737414,-0.805205818183539,4.86361092315764,0.49930936677711,146.681833779915
"49",2009-06-24,0.598699045599706,-0.512996235173187,66.2,66.2,1,66.2,58248,6,176,2009.47842465753,1914,2009,0.135147052199135,-0.990825551891898,4.52893244046505,0.40265308007427,100.48386746842
"50",2009-07-27,0.0434865870117284,-3.13530273299342,113,113,1,113,58281,7,209,2009.56883561644,1915,2009,-0.419148207060167,-0.907917826963568,5.05090122311084,0.582479112398712,185.034479113838
"51",2009-08-24,0.0171923719197385,-4.06328948657332,195,195,1,195,58309,8,237,2009.64554794521,1916,2009,-0.792260466991367,-0.610183048308146,4.63722740246668,0.549919476526456,120.113018189848
"52",2009-09-22,0.18810476920862,-1.67075618835213,181,181,1,181,58338,9,266,2009.725,1917,2009,-0.987688340594931,-0.156434465041534,4.99993248422454,0.427289053378487,162.588172041086
"53",2009-10-27,0.213387658650239,-1.54464477379132,161,161,1,161,58373,10,301,2009.82089041096,1918,2010,-0.90243083241744,0.43083476264383,5.05077371841752,0.410202575511878,169.848488390849
"54",2013-04-17,3.08451357173656,1.12639396963731,79.5,79.5,1,79.5,59641,4,108,2013.29223744292,1960,2013,0.964991415733853,-0.262281466291414,4.2210328194156,0.44315409961614,75.1304245636715
"55",2013-05-14,0.103154224034693,-2.27153008989428,173,173,1,173,59668,5,135,2013.36621004566,1961,2013,0.745061523019913,-0.666995747299222,4.79169877395554,0.349084490117275,128.076631013554
"56",2013-06-11,6.02744305321396,1.7963228832001,99.1,99.1,1,99.1,59696,6,163,2013.44292237443,1962,2013,0.350991067431583,-0.93637880720531,3.28776045982708,0.269864690295798,27.7760443550677
"57",2013-07-10,13.7538972121697,2.6213222175652,12.6,12.6,1,12.6,59725,7,192,2013.52237442922,1963,2013,-0.140120074884377,-0.990134518444033,4.1825013422295,0.31883461357192,68.9463797646957
"58",2013-08-19,0.0778713271093363,-2.55269746691183,97.3,97.3,1,97.3,59765,8,232,2013.63196347032,1964,2013,-0.73735809368894,-0.675502066370942,5.0962403935304,0.324130953249808,172.219673073309
"59",2013-09-24,1.24391862856465,0.218266581055919,67.3,67.3,1,67.3,59801,9,268,2013.73059360731,1965,2013,-0.992575260551102,-0.121632035837243,5.44653830930291,0.282093698465235,241.368964713504
"60",2013-10-08,0.345870060165087,-1.06169212311629,121,121,1,121,59815,10,282,2013.76894977169,1966,2014,-0.992920141447211,0.118783806591856,5.14198080575519,0.373242004627828,183.393772381321
"61",2014-04-14,0.641174310096142,-0.444453924401619,144,144,1,144,60003,4,105,2014.28398584636,1972,2014,0.977286973477822,-0.211920200713757,4.67624133157355,0.341940439279098,113.829642146773
"62",2014-05-20,0.66241191251054,-0.411867692210264,95.1,95.1,1,95.1,60039,5,141,2014.38260472549,1973,2014,0.672525683450423,-0.740073783551033,4.72923199380454,0.389359795552929,122.123462289609
"63",2014-06-02,0.387333991527413,-0.948467930943586,143,143,1,143,60052,6,154,2014.4182170985,1974,2014,0.491539891839603,-0.870855059542236,4.75424862221486,0.3843547962009,124.974901219367
"64",2014-06-30,0.0798939630380771,-2.52705498553407,208,208,1,208,60080,6,182,2014.49492067116,1974,2014,0.0319089470325777,-0.999490779897079,4.83815449296361,0.320779106183126,132.900949537508
"65",2014-08-11,0.713989024527886,-0.336887688570383,292,292,1,292,60122,8,224,2014.60997603013,1976,2014,-0.637307937745205,-0.770609234623459,4.36014638195157,0.251298816910959,80.7793957280136
"66",2014-09-09,0.148663443435556,-1.90607029679197,242,242,1,242,60151,9,253,2014.68941901609,1977,2014,-0.928426481205637,-0.371516175954856,5.04056295147365,0.299915563656952,161.66683186844
"67",2015-04-13,1.53720021121617,0.429962717111721,124,124,1,124,60367,4,104,2015.28116438356,1984,2015,0.980890086144541,-0.19456268630792,4.50987389584277,0.277657249310338,94.4830704610221
"68",2015-05-12,0.80096222181161,-0.221941496806786,119,119,1,119,60396,5,133,2015.36061643836,1985,2015,0.768038601154661,-0.640403550221571,4.66430978433373,0.374788971543891,113.811454459598
