DATE,USGSPCode,RESULT
1996-01-24,0,27.9
1996-07-03,0,58.333333333333336
1996-08-07,0,63.86666666666667
1996-09-05,0,72.93333333333332
1996-10-10,0,56.666666666666664
1996-11-06,0,47.5
1997-02-19,0,86.6
1997-04-30,0,57.6
1997-05-27,0,55.9
1997-06-24,0,66.80000000000001
1997-07-23,0,62.099999999999994
1997-08-19,0,66.4
1997-09-17,0,77.80000000000001
1997-12-10,0,66.5
1998-02-04,0,91.4
1998-04-02,0,37.3
1998-05-13,0,74.80000000000001
1998-06-17,0,81.6
1998-07-22,0,89.80000000000001
1998-08-12,0,86.5
1998-09-16,0,97.1
1998-12-16,0,103.0
1999-02-25,0,85.1
1999-04-22,0,82.29999999999998
1999-05-12,0,105.5
1999-06-09,0,94.79999999999998
1999-07-20,0,99.7
1999-08-17,0,90.5
1999-09-14,0,81.0
1999-12-08,0,58.5
2000-03-15,0,99.4
2000-04-27,0,51.3
2000-05-15,0,23.5
2000-06-13,0,64.1
2000-07-19,0,47.199999999999996
2000-08-30,0,71.1
2000-09-27,0,49.0
2000-11-29,0,80.8
2001-01-24,0,100.8
2001-04-25,0,67.5
2001-05-24,0,80.2
2001-06-13,0,74.1
2001-07-25,0,100.0
2001-08-22,0,83.5
2001-09-25,0,79.0
2001-11-29,0,56.2
2002-02-14,0,100.6
2002-05-09,0,64.1
2002-06-11,0,55.3
2002-07-17,0,94.0
2002-08-14,0,93.9
2002-09-18,0,102.4
2002-10-23,0,102.0
2002-12-11,0,104.35
2003-03-12,0,236.5
2003-03-20,0,73.95
2003-05-13,0,68.95
2003-06-25,0,96.3
2003-08-05,0,91.06666666666666
2003-08-13,0,68.7
2003-09-17,0,111.0
2003-09-23,0,88.95
2003-10-29,0,67.3
2003-12-09,0,58.0
2004-02-05,0,128.0
2004-03-04,0,105.0
2004-05-13,0,43.0
2004-05-25,0,32.6
2004-06-09,0,76.6
2004-07-07,0,85.75
2004-08-11,0,83.75
2004-09-08,0,87.25
2004-10-20,0,99.75
2005-02-08,0,102.95
2005-03-29,0,51.650000000000006
2005-05-10,0,75.95
2005-06-07,0,112.0
2005-07-18,0,53.3
