DATE,USGSPCode,RESULT
2004-10-04,0,90.4
2004-11-30,0,85.8
2005-05-09,0,73.3
2005-06-15,0,112.0
2005-07-14,0,98.2
2005-08-09,0,94.9
2005-09-14,0,85.4
2005-10-13,0,92.9
2005-11-15,0,92.1
2006-06-29,0,63.9
2006-07-25,0,59.5
2006-08-16,0,66.0
2006-09-13,0,39.5
2006-10-16,0,45.4
2006-10-18,0,24.5
2006-11-07,0,48.4
2007-05-15,0,84.9
2007-06-19,0,83.2
2007-07-30,0,97.0
2007-08-29,0,121.0
2007-09-18,0,126.0
2007-10-24,0,89.2
2007-11-21,0,90.9
2008-04-15,0,62.1
2008-05-22,0,92.2
2008-07-03,0,81.2
2008-07-22,0,59.4
2008-08-21,0,94.6
2008-09-22,0,75.9
2008-10-30,0,111.0
2008-12-02,0,70.6
2009-04-08,0,50.9
2009-07-09,0,67.1
2009-08-18,0,70.3
2009-09-15,0,86.5
2009-10-21,0,67.3
2009-11-18,0,72.0
2009-12-15,0,53.7
2011-11-15,0,44.05
2011-11-28,0,26.75
2011-11-30,0,12.25
2011-12-05,0,18.55
2011-12-12,0,32.1
2011-12-19,0,35.9
2012-01-09,0,31.2
2012-01-16,0,42.7
2012-01-23,0,191.0
2012-01-31,0,51.3
2012-02-06,0,34.7
2012-02-13,0,48.4
2012-02-21,0,64.5
2012-02-28,0,48.6
2012-03-05,0,34.5
2012-03-12,0,48.25
2012-03-20,0,44.6
2012-03-27,0,48.4
2012-04-03,0,59.8
2012-04-10,0,52.35
2012-04-16,0,51.1
2012-06-11,0,47.3
2012-06-18,0,57.0
2012-06-26,0,49.4
2012-07-03,0,51.9
2012-07-16,0,47.5
2012-07-27,0,73.9
2012-08-10,0,42.4
2012-09-08,0,37.1
2012-09-18,0,28.4
2012-09-24,0,44.2
2012-10-01,0,60.6
2012-10-10,0,64.7
2012-10-15,0,70.95
2012-10-23,0,52.5
2012-10-29,0,45.2
2012-11-06,0,48.7
2012-11-13,0,57.7
2012-11-19,0,60.4
2012-11-27,0,67.5
2012-12-03,0,53.4
2012-12-10,0,58.7
2013-01-14,0,20.4
2013-01-30,0,10.8
2013-02-12,0,57.1
2013-02-27,0,95.3
2013-03-11,0,15.5
2013-03-12,0,15.6
2013-04-10,0,25.3
2013-04-16,0,35.7
2013-04-24,0,45.45
2013-05-27,0,71.4
2013-06-24,0,65.4
2013-06-25,0,48.6
2013-07-22,0,30.1
2013-07-29,0,39.0
2013-08-06,0,39.650000000000006
2013-08-12,0,37.2
2013-08-19,0,41.0
2013-08-26,0,59.449999999999996
2013-09-03,0,56.5
2013-09-23,0,24.4
2013-09-30,0,37.9
2013-10-07,0,15.3
2013-10-15,0,40.9
2013-10-21,0,44.1
2013-10-28,0,36.1
2013-11-04,0,29.4
2013-11-12,0,50.1
2013-11-19,0,42.7
2013-11-25,0,63.0
2013-12-02,0,54.4
2013-12-09,0,73.7
2013-12-18,0,83.05000000000001
2014-01-08,0,69.6
2014-01-14,0,36.900000000000006
2014-01-20,0,70.6
2014-02-03,0,116.0
2014-02-10,0,101.0
2014-02-17,0,85.05000000000001
2014-02-24,0,83.2
2014-03-03,0,84.3
2014-03-10,0,91.95
2014-03-17,0,41.1
2014-03-24,0,42.3
2014-03-31,0,20.8
2014-04-07,0,40.7
2014-04-09,0,42.0
2014-04-14,0,60.7
2014-04-16,0,70.3
2014-04-22,0,68.55000000000001
2014-04-28,0,82.75
2014-05-01,0,45.9
2014-05-05,0,49.8
2014-05-12,0,58.2
2014-05-15,0,43.9
2014-05-20,0,49.9
2014-05-26,0,56.7
2014-06-03,0,78.30000000000001
2014-06-09,0,61.5
2014-06-16,0,69.8
2014-06-23,0,80.7
2014-06-24,0,74.2
2014-07-02,0,71.3
2014-07-08,0,28.3
2014-07-09,0,29.3
2014-08-05,0,35.3
2014-08-25,0,71.3
2014-08-26,0,63.4
2014-09-11,0,20.7
2014-09-29,0,70.9
2014-09-30,0,62.1
2014-10-08,0,26.9
2014-10-21,0,43.7
2014-10-29,0,55.7
2014-11-24,0,29.0
2014-12-16,0,78.2
2015-01-05,0,35.7
2015-02-10,0,143.0
2015-03-16,0,69.7
2015-03-19,0,33.3
2015-04-09,0,54.8
2015-04-20,0,82.3
2015-04-28,0,86.0
2015-05-19,0,83.1
2015-05-25,0,100.0
2015-06-01,0,64.0
2015-06-15,0,55.3
2015-06-22,0,80.0
2015-06-29,0,31.8
2015-07-13,0,72.5
2015-07-20,0,28.5
2015-07-27,0,54.666666666666664
2015-08-11,0,87.1
2015-08-24,0,85.25
2015-09-08,0,40.1
2015-09-21,0,47.8
2015-09-28,0,78.1
2015-10-26,0,88.7
2015-11-30,0,87.9
2016-04-12,0,31.3
2016-05-30,0,89.8
2016-06-20,0,89.4
2016-07-18,0,86.6
2016-08-29,0,80.4
2016-09-19,0,46.5
2016-10-24,0,34.5
