DATE,USGSPCode,RESULT
2000-09-07,0,50.0
2002-08-20,0,52.4
2002-09-25,0,71.4
2002-10-28,0,56.2
2002-11-26,0,64.9
2003-03-19,0,29.7
2003-04-22,0,59.6
2003-05-27,0,54.0
2003-06-23,0,54.2
2003-07-21,0,60.5
2003-09-03,0,60.3
2003-10-08,0,57.4
2003-11-25,0,51.0
2004-04-06,0,48.8
2004-05-25,0,31.7
2004-06-29,0,52.1
2004-07-20,0,58.6
2004-08-24,0,71.7
2004-09-28,0,72.2
2004-10-26,0,63.0
2004-11-23,0,55.6
2005-04-12,0,51.8
2005-05-31,0,51.6
2005-06-22,0,61.0
2005-07-27,0,60.9
2005-08-15,0,61.8
2005-09-27,0,57.7
2005-10-31,0,70.9
2005-11-28,0,114.0
2006-06-20,0,58.0
2006-07-24,0,50.8
2006-08-29,0,53.4
2006-10-30,0,38.8
2006-11-21,0,48.4
2007-03-14,0,25.0
2007-06-05,0,54.5
2007-06-26,0,72.1
2007-07-31,0,78.0
2007-09-11,0,49.5
2007-10-29,0,64.9
2007-11-13,0,62.2
2007-12-04,0,72.0
2008-03-25,0,44.3
2008-04-28,0,52.8
2008-05-26,0,52.9
2008-06-16,0,52.8
2008-07-28,0,45.9
2008-08-25,0,57.3
2008-09-29,0,58.3
2008-10-27,0,61.5
2009-03-17,0,45.1
2009-04-20,0,62.2
2009-05-19,0,50.4
2009-06-23,0,56.7
2009-07-20,0,54.5
2009-09-14,0,56.3
2009-10-26,0,55.0
2011-11-14,0,57.650000000000006
2011-11-28,0,45.2
2011-11-30,0,30.05
2011-12-05,0,37.0
2011-12-12,0,44.55
2011-12-19,0,40.5
2012-01-09,0,43.6
2012-01-16,0,47.1
2012-01-23,0,248.0
2012-01-31,0,149.0
2012-02-06,0,42.65
2012-02-13,0,51.0
2012-02-21,0,44.1
2012-02-28,0,45.6
2012-03-05,0,42.4
2012-03-12,0,44.099999999999994
2012-03-20,0,45.8
2012-03-27,0,47.6
2012-04-03,0,49.4
2012-04-10,0,51.400000000000006
2012-04-16,0,47.8
2012-06-11,0,54.9
2012-06-18,0,56.4
2012-06-26,0,63.8
2012-07-03,0,69.6
2012-07-27,0,66.0
2012-07-30,0,72.8
2012-08-10,0,58.2
2012-08-13,0,64.1
2012-09-08,0,39.4
2012-09-18,0,26.8
2012-09-24,0,74.8
2012-10-01,0,71.0
2012-10-10,0,67.6
2012-10-15,0,56.75
2012-10-23,0,51.5
2012-10-29,0,46.9
2012-11-06,0,53.9
2012-11-13,0,51.0
2012-11-19,0,56.5
2012-11-27,0,55.6
2012-12-03,0,50.5
2012-12-10,0,44.349999999999994
2013-01-14,0,30.6
2013-01-30,0,32.4
2013-02-12,0,53.3
2013-02-27,0,369.0
2013-03-11,0,34.7
2013-03-12,0,19.2
2013-04-03,0,48.4
2013-04-10,0,32.8
2013-04-24,0,47.15
2013-05-27,0,50.7
2013-06-26,0,50.8
2013-07-09,0,45.7
2013-08-19,0,52.7
2013-09-17,0,56.2
2013-10-28,0,45.6
2013-11-25,0,51.9
2014-04-15,0,40.8
2014-05-20,0,45.0
2014-06-16,0,50.9
2014-08-20,0,52.7
2014-09-08,0,51.4
2014-10-06,0,52.2
2014-11-10,0,52.3
2014-12-15,0,50.7
2015-04-22,0,48.8
2015-05-13,0,58.1
2015-06-10,0,47.2
2015-07-08,0,54.7
2015-08-10,0,62.2
2015-09-02,0,68.6
2015-10-20,0,69.6
2015-11-24,0,54.0
2016-04-19,0,26.0
2016-05-18,0,52.0
2016-06-07,0,63.1
2016-07-04,0,62.0
2016-08-17,0,67.7
2016-09-26,0,71.4
2016-10-25,0,49.7
2016-11-21,0,70.2
