"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2001-05-15,0.140590574206923,-1.9619033416329,73,73,1,73,55286,5,136,2001.36883561644,1817,2001,0.733957246450087,-0.679195671646548,4.14657329585109,0.190995096606293,64.3806330802534
"2",2001-06-14,0.127443469998271,-2.06008238526491,45.4,45.4,1,45.4,55316,6,166,2001.45102739726,1818,2001,0.302871217313117,-0.953031492513899,4.0846661847151,0.247732563557335,61.273772479453
"3",2001-07-11,0.0172100331578297,-4.0622627420999,35.6,35.6,1,35.6,55343,7,193,2001.525,1819,2001,-0.156434465040046,-0.987688340595167,4.97032811255432,0.268810165991953,149.374647854656
"4",2001-08-21,0.029345824559823,-3.52860500654831,77.6,77.6,1,77.6,55384,8,234,2001.63732876712,1820,2001,-0.759706792343112,-0.650265783866674,3.95593323568307,0.320194205571762,54.9924223520854
"5",2001-09-11,0.350944278964051,-1.04712781750846,174,174,1,174,55405,9,255,2001.6948630137,1821,2001,-0.940588865254792,-0.339547620458019,4.16247707624144,0.251338546064126,66.2915613041289
"6",2001-10-11,0.269027687683235,-1.31294097648658,93.8,93.8,1,93.8,55435,10,285,2001.77705479452,1822,2002,-0.985586410060238,0.169172776487747,4.53909406649144,0.371620972705045,100.297938374816
"7",2001-11-14,0.0960926725681671,-2.34244221390285,68.8,68.8,1,68.8,55469,11,319,2001.87020547945,1823,2002,-0.728084224992443,0.685487681375205,4.42020140299856,0.291726504753537,86.7259875371789
"8",2002-05-21,0.405555360044248,-0.902497891824612,49.8,49.8,1,49.8,55657,5,142,2002.3852739726,1829,2002,0.660019629461337,-0.751248353559407,4.00800866494397,0.238198564474194,56.6208868640674
"9",2002-06-17,0.147669784787777,-1.91277668188374,53.5,53.5,1,53.5,55684,6,169,2002.45924657534,1830,2002,0.253272265844443,-0.967395037900248,4.04442996835619,0.264730961684987,59.1142025486658
"10",2002-07-23,0.157782949261741,-1.84653492924917,51.7,51.7,1,51.7,55720,7,205,2002.55787671233,1831,2002,-0.355688003946462,-0.934604752742346,4.21624749666131,0.302114373163763,70.9435183247563
"11",2002-08-22,0.0424929320046864,-3.15841752265419,64.6,64.6,1,64.6,55750,8,235,2002.64006849315,1832,2002,-0.770787490117457,-0.637092336383378,4.15652633133996,0.324388231124261,67.2986511152594
"12",2002-09-23,0.0161987161036436,-4.12282329274598,94.6,94.6,1,94.6,55782,9,267,2002.72773972603,1833,2002,-0.990234766071303,-0.139409856408047,4.10646828594903,0.325979739847229,64.0458787073578
"13",2002-10-21,0.029345824559823,-3.52860500654831,70.7,70.7,1,70.7,55810,10,295,2002.80445205479,1834,2003,-0.942041411342513,0.335496615952837,4.39662006502831,0.30231751562589,84.9716783559086
"14",2002-11-20,0.0404702998178146,-3.2071869117251,97.2,97.2,1,97.2,55840,11,325,2002.88664383562,1835,2003,-0.653529189509328,0.756901313553677,4.19243452099578,0.252268196085512,68.3235249174191
"15",2003-03-24,1.5685686364098,0.450163506957877,67.3,67.3,1,67.3,55964,3,84,2003.22636986301,1839,2003,0.988998186699948,0.14792764009547,3.64846579843631,0.178424287504739,39.0320620261347
"16",2003-04-23,0.168907417541653,-1.77840453936743,93.9,93.9,1,93.9,55994,4,114,2003.30856164384,1840,2003,0.933065381109176,-0.359706817527258,4.34500220558681,0.185175206343366,78.4253435047791
"17",2003-05-26,0.122386887255631,-2.10056804490722,75.1,75.1,1,75.1,56027,5,147,2003.39897260274,1841,2003,0.592995438737676,-0.805205818183346,4.08918981406252,0.214372798629425,61.0789727718066
"18",2003-06-18,0.247790070099097,-1.39517338282932,62.5,62.5,1,62.5,56050,6,170,2003.46198630137,1842,2003,0.236582625492865,-0.9716113736031,4.02381878748983,0.282425961462054,58.1892715050462
"19",2003-07-21,0.951665960492498,-0.0495411875998185,75.8,75.8,1,75.8,56083,7,203,2003.55239726027,1843,2003,-0.323306621677522,-0.94629426098834,3.88017253535789,0.286448907081905,50.4609123416583
"20",2003-08-13,0.697825671251931,-0.359785962067046,45.1,45.1,1,45.1,56106,8,226,2003.6154109589,1844,2003,-0.663246543563825,-0.748400977050831,4.45711672751598,0.274751101964518,89.5557029964445
"21",2003-09-17,0.0455268785151911,-3.0894523908438,80.4,80.4,1,80.4,56141,9,261,2003.71130136986,1845,2003,-0.970584233836515,-0.240761801430345,4.31255263152519,0.33335712732533,78.8948630547191
"22",2003-10-22,0.176997946086877,-1.73161715050458,66.2,66.2,1,66.2,56176,10,296,2003.80719178082,1846,2004,-0.936126815001912,0.351662602837402,4.59628783628572,0.323255185180237,104.431859201303
"23",2004-04-29,0.146658466823406,-1.91964875032308,70.5,70.5,1,70.5,56366,4,120,2004.3268442623,1852,2004,0.885686051201533,-0.464284631133786,4.43229351078756,0.180531949649479,85.5062440593161
"24",2004-05-25,1.29551335236673,0.258907027695384,39,39,1,39,56392,5,146,2004.39788251366,1853,2004,0.598496527578546,-0.801125399969582,3.82010155569112,0.24223284457561,46.9667512513699
"25",2004-06-22,0.235654268685076,-1.44538951126309,51.5,51.5,1,51.5,56420,6,174,2004.4743852459,1854,2004,0.160248347301514,-0.987076728115466,4.08615819313611,0.284518455741992,61.9689571770564
"26",2004-07-28,0.0313684548251944,-3.4619525144417,70.7,70.7,1,70.7,56456,7,210,2004.57274590164,1855,2004,-0.441326137724796,-0.897346778096915,4.25450208330688,0.38866207820281,75.9466552190624
"27",2004-08-19,0.0172100331578297,-4.0622627420999,60.2,60.2,1,60.2,56478,8,232,2004.63285519126,1856,2004,-0.741131235707254,-0.671360180126167,4.30234261910983,0.377399949399938,79.3253682706663
"28",2004-09-28,0.0242892439409462,-3.717721662803,69.5,69.5,1,69.5,56518,9,272,2004.74214480874,1857,2004,-0.998782258503486,-0.0493355865342178,4.39294113071134,0.349147004958086,85.9609347747503
"29",2005-04-29,1.24494760584561,0.219093445372982,47.4,47.4,1,47.4,56731,4,120,2005.325,1864,2005,0.891006524188469,-0.453990499739347,3.80955303532499,0.222043989291454,46.2566298556451
"30",2005-05-17,0.179020582015617,-1.72025449642399,66,66,1,66,56749,5,138,2005.37431506849,1865,2005,0.710143294304082,-0.704057172078338,4.21787416561325,0.195961335596348,69.2051019936389
"31",2005-07-20,0.0222666117540745,-3.80466695324507,163,163,1,163,56813,7,202,2005.54965753425,1867,2005,-0.306969820170463,-0.951719249308594,4.25918140820816,0.335386712794467,74.8453161010778
"32",2005-08-15,0.0161987161036436,-4.12282329274598,71.5,71.5,1,71.5,56839,8,228,2005.62089041096,1868,2005,-0.688614671923909,-0.725127460251732,4.31217772571409,0.374802020226318,80.0311555229372
"33",2005-09-27,0.115307676674777,-2.16015127391673,168,168,1,168,56882,9,271,2005.73869863014,1869,2005,-0.997479948441849,-0.0709489426027306,4.41322689611189,0.257242358151551,85.3118794516128
"34",2005-10-18,0.054628721586311,-2.90719549816059,80,80,1,80,56903,10,292,2005.79623287671,1870,2006,-0.9581037207471,0.286421473165967,4.56202462699145,0.328182694419696,101.076389985165
"35",2005-11-22,0.123398205220001,-2.09233871202504,97.1,97.1,1,97.1,56938,11,327,2005.89212328767,1871,2006,-0.62708814554291,0.778948302340761,4.40663880990167,0.331540376498457,86.6258543879719
"36",2006-07-11,0.0435042462271877,-3.13489673123337,46.4,46.4,1,46.4,57169,7,193,2006.525,1879,2006,-0.156434465039715,-0.987688340595219,4.34761789073376,0.371684812405968,82.8219141996165
"37",2006-08-29,0.307457710661668,-1.17941772749669,89.1,89.1,1,89.1,57218,8,242,2006.65924657534,1880,2006,-0.841781920276772,-0.539817745813484,4.34519727771493,0.322146312258067,81.2138988777896
"38",2006-11-15,0.400498785392135,-0.915044545207073,58,58,1,58,57296,11,320,2006.87294520548,1883,2007,-0.716176807858706,0.697918892053592,4.67974987729592,0.30703700577415,112.943279205006
"39",2007-05-15,0.198235578840753,-1.61829916340431,62.5,62.5,1,62.5,57477,5,136,2007.36883561644,1889,2007,0.733957246449866,-0.679195671646787,4.28363253683457,0.182666941278907,73.7230970238994
"40",2007-06-19,0.0202439795672028,-3.8998978349569,212,212,1,212,57512,6,171,2007.4647260274,1890,2007,0.219822880605085,-0.975539799886444,4.38016950875876,0.335692969446417,84.4799639835383
"41",2007-07-23,0.00406292513651618,-5.50585208781301,141,141,1,141,57546,7,205,2007.55787671233,1891,2007,-0.355688003946149,-0.934604752742465,4.48781042834011,0.289442085355335,92.7306253653833
"42",2008-05-06,0.113285047825248,-2.17784808942528,106,106,1,106,57834,5,127,2008.34596994536,1901,2008,0.823639705390964,-0.567113424019821,4.23149927790115,0.19048261224985,70.0802553760344
"43",2008-07-29,0.0121534525389529,-4.41014198997666,52.6,52.6,1,52.6,57918,7,211,2008.57547814208,1903,2008,-0.4566652580026,-0.889638601980275,4.61445904210394,0.263648717228791,104.502852235514
"44",2008-08-27,0.00204029327326555,-6.19466172005401,86.2,86.2,1,86.2,57947,8,240,2008.65471311475,1904,2008,-0.826066045978898,-0.563573320589955,4.94056594319802,0.325330312417158,147.44951548385
"45",2008-09-29,0.0364250353429396,-3.31249895660787,80.7,80.7,1,80.7,57980,9,273,2008.74487704918,1905,2008,-0.999481996592602,-0.0321828912198151,4.55988249302188,0.388709490449164,103.072232309678
"46",2008-11-10,0.512754825596944,-0.667957470865851,129,129,1,129,58022,11,315,2008.85963114754,1907,2009,-0.77198844585874,0.635636562400722,4.06079660361257,0.210557207469023,59.3210235844127
"47",2009-05-26,0.0849681972090438,-2.46547824298541,57.9,57.9,1,57.9,58219,5,147,2009.39897260274,1913,2009,0.592995438737414,-0.805205818183539,4.31494706153316,0.321866245126721,78.786841856876
"48",2009-06-24,0.114296365789619,-2.16896050405327,52.9,52.9,1,52.9,58248,6,176,2009.47842465753,1914,2009,0.135147052199135,-0.990825551891898,4.14514404684299,0.275072655173712,65.5607064639117
"49",2009-07-27,0.0101308203621943,-4.59217298056574,89,89,1,89,58281,7,209,2009.56883561644,1915,2009,-0.419148207060167,-0.907917826963568,4.52006410587954,0.313152227927642,96.4568988769341
"50",2009-08-24,0.0222666117540745,-3.80466695324507,78.8,78.8,1,78.8,58309,8,237,2009.64554794521,1916,2009,-0.792260466991367,-0.610183048308146,4.25749208953232,0.374934698789954,75.7758851152742
"51",2009-09-21,0.0202439795672028,-3.8998978349569,110,110,1,110,58337,9,265,2009.72226027397,1917,2009,-0.98484924174758,-0.173412718764275,4.48354958116114,0.340355086879624,93.8286619413466
"52",2009-10-27,0.0485608249245642,-3.02493814463704,158,158,1,158,58373,10,301,2009.82089041096,1918,2010,-0.90243083241744,0.43083476264383,4.53565879018027,0.33190086794821,98.5671343727535
"53",2013-04-15,0.940541507382325,-0.0612994979003577,50.2,50.2,1,50.2,59639,4,106,2013.28675799087,1960,2013,0.973447713303259,-0.228909478756682,4.17739647153524,0.115781176108809,65.6343450742938
"54",2013-05-14,0.100137936941911,-2.30120667403102,67,67,1,67,59668,5,135,2013.36621004566,1961,2013,0.745061523019913,-0.666995747299222,4.13572057028903,0.243732022309434,64.4199404589084
"55",2013-06-11,0.615909049631636,-0.484655973051354,77.6,77.6,1,77.6,59696,6,163,2013.44292237443,1962,2013,0.350991067431583,-0.93637880720531,4.12433891611529,0.144054574413863,62.4717701009449
"56",2013-07-09,11.4288993211889,2.43614517581103,14.7,14.7,1,14.7,59724,7,191,2013.5196347032,1963,2013,-0.12305577647593,-0.992399756084163,4.0008698169803,0.174504952160886,55.48406187821
"57",2013-08-20,0.0526060892983077,-2.94492339981133,63.7,63.7,1,63.7,59766,8,233,2013.63470319635,1964,2013,-0.748876503783712,-0.662709575968753,4.37867233619282,0.279324627248104,82.9040122701701
"58",2013-09-24,0.159805585190482,-1.83379729513132,74,74,1,74,59801,9,268,2013.73059360731,1965,2013,-0.992575260551102,-0.121632035837243,4.55462097717608,0.263362407337618,98.4255924361896
"59",2013-10-08,0.218461908799998,-1.5211436100786,97.2,97.2,1,97.2,59815,10,282,2013.76894977169,1966,2014,-0.992920141447211,0.118783806591856,4.57904506961361,0.276468193344778,101.216562100167
