DATE,USGSPCode,RESULT
1996-01-04,0,65.8
1996-02-06,0,39.8
2002-06-06,0,34.5
2002-07-03,0,33.95
2002-08-01,0,35.35
2002-10-21,0,35.15
2002-11-06,0,37.05
2002-12-09,0,67.0
2003-02-05,0,52.95
2003-04-23,0,46.55
2003-05-20,0,52.349999999999994
2003-06-17,0,50.35
2003-07-15,0,43.55
2003-08-12,0,40.6
2003-09-22,0,48.0
2003-10-21,0,48.9
2003-11-18,0,39.3
2004-04-19,0,39.25
2004-05-18,0,33.349999999999994
2004-06-15,0,21.700000000000003
2004-07-20,0,36.95
2004-08-17,0,38.0
2004-09-21,0,48.449999999999996
2004-10-19,0,49.35
2004-11-16,0,51.900000000000006
2005-04-11,0,33.1
2005-05-10,0,35.650000000000006
2005-06-14,0,50.05
2005-07-19,0,37.550000000000004
2005-08-23,0,47.05
2005-09-20,0,44.45
2005-10-18,0,58.85
2005-11-22,0,30.45
2006-06-20,0,27.7
2006-07-11,0,38.85
2006-08-15,0,32.0
2006-09-19,0,36.599999999999994
2006-10-17,0,24.15
2006-11-07,0,22.4
2006-11-28,0,23.4
2006-12-19,0,24.55
2007-04-17,0,42.55
2007-05-23,0,33.75
2007-06-21,0,32.6
2007-07-31,0,33.45
2007-08-21,0,41.400000000000006
2007-09-26,0,56.650000000000006
2007-10-24,0,47.699999999999996
2007-11-20,0,43.75
2008-04-30,0,40.2
2008-05-27,0,53.800000000000004
2008-06-24,0,36.2
2008-07-30,0,26.8
2008-08-26,0,19.4
2008-10-02,0,26.1
2008-10-28,0,37.95
2008-11-25,0,29.049999999999997
2009-04-14,0,27.95
2009-05-20,0,28.05
2009-06-16,0,33.75
2009-07-14,0,32.7
2009-08-18,0,33.75
2009-09-15,0,36.1
2009-10-13,0,45.1
2011-11-29,0,24.25
2011-12-13,0,18.799999999999997
2012-01-10,0,20.6
2012-01-17,0,25.6
2012-01-23,0,25.65
2012-01-31,0,25.55
2012-02-06,0,23.349999999999998
2012-02-13,0,22.2
2012-02-21,0,29.299999999999997
2012-02-28,0,31.6
2012-03-05,0,22.15
2012-03-12,0,25.233333333333334
2012-03-20,0,27.799999999999997
2012-03-26,0,26.9
2012-04-02,0,20.45
2012-04-10,0,20.875
2012-04-16,0,23.6
2012-06-11,0,27.1
2012-06-18,0,21.8
2012-06-25,0,25.8
2012-07-03,0,28.0
2012-07-23,0,28.7
2012-07-30,0,22.8
2012-08-07,0,27.7
2012-08-27,0,39.8
2012-09-04,0,39.2
2012-09-10,0,39.9
2012-09-18,0,34.6
2012-09-24,0,34.6
2012-10-01,0,36.7
2012-10-09,0,37.0
2012-10-16,0,33.9
2012-10-23,0,36.7
2012-11-05,0,34.8
2012-11-19,0,32.8
2013-04-30,0,26.1
2013-05-01,0,25.3
2013-05-28,0,38.95
2013-06-25,0,32.9
2013-07-08,0,22.5
2013-07-24,0,32.5
2013-07-30,0,33.9
2013-08-06,0,34.7
2013-08-07,0,36.25
2013-08-13,0,30.5
2013-08-20,0,37.3
2013-08-27,0,37.13333333333333
2013-09-04,0,31.1
2013-09-24,0,12.6
2013-10-01,0,25.049999999999997
2013-10-08,0,26.75
2013-10-10,0,23.3
2013-10-17,0,27.5
2013-10-22,0,29.8
2013-10-29,0,32.86666666666667
2013-11-05,0,24.4
2013-11-12,0,30.0
2013-11-21,0,29.3
2013-11-26,0,30.15
2013-11-27,0,32.2
2013-12-03,0,34.5
2013-12-10,0,24.8
2013-12-18,0,33.25
2014-01-07,0,38.0
2014-01-14,0,21.9
2014-01-20,0,28.3
2014-02-03,0,33.3
2014-02-10,0,38.8
2014-02-17,0,33.5
2014-02-24,0,32.5
2014-02-28,0,41.6
2014-03-03,0,42.9
2014-03-09,0,37.3
2014-03-10,0,35.75
2014-03-12,0,21.0
2014-03-14,0,23.5
2014-03-15,0,27.75
2014-03-17,0,21.866666666666664
2014-03-20,0,20.7
2014-03-21,0,14.166666666666666
2014-03-23,0,15.299999999999999
2014-03-24,0,18.466666666666665
2014-03-25,0,19.9
2014-03-26,0,21.4
2014-03-27,0,23.3
2014-03-28,0,25.7
2014-03-29,0,21.766666666666666
2014-03-30,0,20.233333333333334
2014-03-31,0,20.549999999999997
2014-04-01,0,18.6
2014-04-02,0,16.9
2014-04-03,0,18.4
2014-04-04,0,20.533333333333335
2014-04-05,0,20.96666666666667
2014-04-06,0,22.233333333333334
2014-04-07,0,24.3
2014-04-08,0,27.950000000000003
2014-04-09,0,26.974999999999998
2014-04-10,0,28.5
2014-04-11,0,28.933333333333334
2014-04-12,0,29.1
2014-04-14,0,29.5
2014-04-16,0,31.1
2014-04-20,0,31.8
2014-04-22,0,31.45
2014-04-24,0,31.0
2014-04-28,0,30.35
2014-04-29,0,44.06666666666666
2014-04-30,0,30.9
2014-05-01,0,25.3
2014-05-02,0,26.1
2014-05-03,0,30.3
2014-05-05,0,28.950000000000003
2014-05-07,0,29.4
2014-05-10,0,30.0
2014-05-12,0,28.9
2014-05-15,0,20.9
2014-05-16,0,13.866666666666667
2014-05-17,0,15.65
2014-05-18,0,21.3
2014-05-19,0,23.8
2014-05-20,0,24.0
2014-05-22,0,21.7
2014-05-23,0,20.8
2014-05-26,0,24.8
2014-05-27,0,27.35
2014-06-02,0,27.6
2014-06-09,0,27.5
2014-06-16,0,29.35
2014-06-23,0,27.4
2014-06-24,0,49.0
2014-07-01,0,29.9
2014-07-02,0,29.5
2014-07-09,0,22.9
2014-07-10,0,21.8
2014-07-11,0,22.7
2014-07-12,0,26.0
2014-07-13,0,28.3
2014-08-05,0,28.866666666666664
2014-08-11,0,33.05
2014-08-12,0,42.55
2014-08-26,0,42.45
2014-09-06,0,39.4
2014-09-07,0,35.3
2014-09-08,0,30.9
2014-09-10,0,35.4
2014-09-11,0,28.6
2014-09-13,0,25.4
2014-09-14,0,25.7
2014-09-15,0,27.9
2014-09-22,0,36.5
2014-09-29,0,32.35
2014-09-30,0,23.55
2014-10-04,0,37.5
2014-10-05,0,31.9
2014-10-06,0,30.900000000000002
2014-10-08,0,33.0
2014-10-14,0,30.9
2014-10-16,0,32.1
2014-10-17,0,23.6
2014-10-18,0,29.2
2014-10-20,0,30.900000000000002
2014-10-27,0,32.5
2014-10-28,0,27.45
2014-11-04,0,33.2
2014-11-09,0,34.9
2014-11-12,0,33.3
2014-11-17,0,35.05
