DATE,USGSPCode,RESULT
2001-05-15,0,244.0
2001-06-14,0,204.0
2001-07-11,0,151.0
2001-08-21,0,98.2
2001-09-11,0,106.0
2001-10-11,0,207.0
2001-11-14,0,187.0
2002-05-21,0,139.0
2002-06-17,0,160.0
2002-07-23,0,58.0
2002-08-22,0,146.0
2002-09-23,0,116.0
2002-10-21,0,77.4
2002-11-20,0,83.9
2003-03-24,0,624.0
2003-04-23,0,456.0
2003-05-26,0,297.0
2003-06-18,0,266.0
2003-07-21,0,88.1
2003-08-13,0,202.0
2003-09-17,0,131.0
2003-10-22,0,175.0
2004-04-29,0,279.0
2004-05-25,0,142.0
2004-06-22,0,194.0
2004-07-28,0,74.8
2004-08-19,0,148.0
2004-09-28,0,180.0
2005-04-29,0,234.0
2005-05-17,0,220.0
2005-07-20,0,82.4
2005-08-16,0,115.0
2005-09-27,0,83.2
2005-10-18,0,125.0
2005-11-22,0,143.0
2006-07-12,0,38.7
2006-08-29,0,42.8
2006-11-15,0,166.0
2007-05-14,0,224.0
2007-06-19,0,145.0
2007-07-23,0,113.0
2008-05-06,0,216.0
2008-07-28,0,149.0
2008-08-27,0,190.0
2008-09-29,0,226.0
2008-11-10,0,94.6
2009-05-26,0,249.0
2009-06-24,0,76.6
2009-07-27,0,145.0
2009-08-24,0,142.0
2009-09-22,0,77.2
2009-10-27,0,136.0
2013-04-15,0,253.0
2013-05-14,0,279.0
2013-06-11,0,99.6
2013-07-09,0,82.4
2013-08-20,0,155.0
2013-09-24,0,175.0
2014-01-20,0,899.0
2014-02-03,0,2280.0
2014-03-17,0,460.0
2014-04-14,0,415.0
2014-05-20,0,226.0
2014-06-02,0,233.0
2014-06-30,0,148.0
2014-09-09,0,170.0
2015-04-13,0,545.0
2015-05-11,0,305.0
2015-06-09,0,291.0
2015-07-20,0,185.0
2015-08-17,0,265.0
2015-09-14,0,196.0
2015-10-13,0,208.0
2015-11-23,0,359.0
2016-04-11,0,242.0
2016-05-09,0,264.0
2016-06-21,0,186.0
2016-07-19,0,211.0
2016-08-15,0,132.0
2016-09-12,0,156.0
2016-10-11,0,183.0
2016-11-21,0,263.0
2016-12-19,0,754.0
