"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2001-05-15,0.444979012342298,-0.809728161203854,244,244,1,244,55286,5,136,2001.36883561644,1817,2001,0.733957246450087,-0.679195671646548,5.43570729326864,0.306021513867368,240.454739080514
"2",2001-06-14,0.132482385333793,-2.02130558327032,204,204,1,204,55316,6,166,2001.45102739726,1818,2001,0.302871217313117,-0.953031492513899,5.17154389313888,0.331273203717864,186.124324346157
"3",2001-07-11,0.0455092191986002,-3.08984035380039,151,151,1,151,55343,7,193,2001.525,1819,2001,-0.156434465040046,-0.987688340595167,5.29195970786405,0.310178315491959,208.526264382051
"4",2001-08-21,0.100120277726451,-2.30138303848662,98.2,98.2,1,98.2,55384,8,234,2001.63732876712,1820,2001,-0.759706792343112,-0.650265783866674,4.75383312183228,0.328886310930553,122.4761386635
"5",2001-09-11,0.222489506171149,-1.5028753417638,106,106,1,106,55405,9,255,2001.6948630137,1821,2001,-0.940588865254792,-0.339547620458019,4.53164834476728,0.382202925550479,99.9517813218289
"6",2001-10-11,1.07199483756383,0.0695212469316314,207,207,1,207,55435,10,285,2001.77705479452,1822,2002,-0.985586410060238,0.169172776487747,4.58690980121082,0.32604721970947,103.550891373561
"7",2001-11-14,0.251817667470249,-1.37904999513813,187,187,1,187,55469,11,319,2001.87020547945,1823,2002,-0.728084224992443,0.685487681375205,4.96257701765321,0.414108568203982,155.760562250884
"8",2002-05-21,0.0788826450737067,-2.53979403636829,139,139,1,139,55657,5,142,2002.3852739726,1829,2002,0.660019629461337,-0.751248353559407,5.70637621860918,0.259917839489497,311.112586224467
"9",2002-06-17,0.152708700123298,-1.8792230931134,160,160,1,160,55684,6,169,2002.45924657534,1830,2002,0.253272265844443,-0.967395037900248,5.11704359531419,0.335359089669162,176.49215977104
"10",2002-07-23,0.262942134738845,-1.33582129101672,58,58,1,58,55720,7,205,2002.55787671233,1831,2002,-0.355688003946462,-0.934604752742346,4.7385554005849,0.324239177339652,120.436292797308
"11",2002-08-22,0.0535997443053497,-2.92621098133934,146,146,1,146,55750,8,235,2002.64006849315,1832,2002,-0.770787490117457,-0.637092336383378,4.87761958640103,0.304943564736615,137.567523317292
"12",2002-09-23,0.0485431656079733,-3.02530186432948,116,116,1,116,55782,9,267,2002.72773972603,1833,2002,-0.990234766071303,-0.139409856408047,4.8263907841927,0.294239951405513,130.279137325986
"13",2002-10-21,0.050565797794845,-2.98447986414256,77.4,77.4,1,77.4,55810,10,295,2002.80445205479,1834,2003,-0.942041411342513,0.335496615952837,4.89374685227974,0.264089940631517,138.188486943272
"14",2002-11-20,0.0879844844029576,-2.43059479365176,83.9,83.9,1,83.9,55840,11,325,2002.88664383562,1835,2003,-0.653529189509328,0.756901313553677,5.14035701430673,0.300258334004539,178.65106536582
"15",2003-03-24,0.16686713746606,-1.79055736724588,624,624,1,624,55964,3,84,2003.22636986301,1839,2003,0.988998186699948,0.14792764009547,5.84071855344963,0.316449780908844,361.690468032174
"16",2003-04-23,0.0576450086790932,-2.85345161573616,456,456,1,456,55994,4,114,2003.30856164384,1840,2003,0.933065381109176,-0.359706817527258,5.78878204789055,0.31225692606826,342.932708171273
"17",2003-05-26,0.0839392199280826,-2.47766231432833,297,297,1,297,56027,5,147,2003.39897260274,1841,2003,0.592995438737676,-0.805205818183346,5.45149560048171,0.307636593817695,244.402324282461
"18",2003-06-18,0.12236922793904,-2.10071234623843,266,266,1,266,56050,6,170,2003.46198630137,1842,2003,0.236582625492865,-0.9716113736031,5.08638881627251,0.313321404420475,169.944849125437
"19",2003-07-21,0.743317231336204,-0.296632365310251,88.1,88.1,1,88.1,56083,7,203,2003.55239726027,1843,2003,-0.323306621677522,-0.94629426098834,4.2776320640428,0.350454107825638,76.6340201080754
"20",2003-08-13,0.0697807982607178,-2.66239640361113,202,202,1,202,56106,8,226,2003.6154109589,1844,2003,-0.663246543563825,-0.748400977050831,4.80499894050635,0.296624198144321,127.611679387088
