,SampleDateTime,Ammonia filtered,Unit Ammonia filtered,Carbon dissolved inorganic,Unit Carbon dissolved inorganic,Carbon dissolved organic,Unit Carbon dissolved organic,Carbon particulate organic,Unit Carbon particulate organic,Chloride dissolved,Unit Chloride dissolved,Chlorophyll A,Unit Chlorophyll A,Chlorophyll corrected,Unit Chlorophyll corrected,Nitrite and nitrate filtered,Unit Nitrite and nitrate filtered,Nitrogen Kjeldahl total,Unit Nitrogen Kjeldahl total,Nitrogen particulate,Unit Nitrogen particulate,Nitrogen total,Unit Nitrogen total,Nitrogen total dissolved,Unit Nitrogen total dissolved,Phosphorus particulate,Unit Phosphorus particulate,Phosphorus soluble reactive,Unit Phosphorus soluble reactive,Phosphorus total,Unit Phosphorus total,Phosphorus total dissolved,Unit Phosphorus total dissolved,Phosphorus total filtered,Unit Phosphorus total filtered,SiO2,Unit SiO2,Silica soluble reactive,Unit Silica soluble reactive,Specific conductance,Unit Specific conductance,Total suspended solids (non-filterable residue),Unit Total suspended solids (non-filterable residue),Turbidity,Unit Turbidity
0,2011-11-15,0.08349999999999999,mg/L,59.25,mg/L,6.15,mg/L,2.42,mg/L,44.05,mg/L,6.6,µg/L,4.85,µg/L,2.855,mg/L,0.6275,mg/L,0.3515,mg/L,3.5225,mg/L,,,0.055900000000000005,mg/L,0.03755,mg/L,0.13,mg/L,,,0.0424,mg/L,4.675,mg/L,,,668.0,µS/cm,60.2,mg/L,,
1,2011-11-28,0.005,mg/L,36.150000000000006,mg/L,13.1,mg/L,6.305,mg/L,26.75,mg/L,14.100000000000001,µg/L,11.45,µg/L,4.105,mg/L,0.812,mg/L,0.891,mg/L,4.890000000000001,mg/L,,,0.179,mg/L,0.0941,mg/L,0.301,mg/L,,,0.095,mg/L,6.525,mg/L,,,459.5,µS/cm,117.55,mg/L,231.0,NTU
2,2011-11-30,0.026,mg/L,23.25,mg/L,9.15,mg/L,10.344999999999999,mg/L,12.25,mg/L,18.15,µg/L,10.0,µg/L,3.0,mg/L,0.5589999999999999,mg/L,1.38,mg/L,4.07,mg/L,,,0.316,mg/L,0.1001,mg/L,0.5645,mg/L,,,0.09325,mg/L,4.82,mg/L,,,286.0,µS/cm,408.05,mg/L,491.5,NTU
3,2011-12-05,0.018000000000000002,mg/L,33.400000000000006,mg/L,8.6,mg/L,9.02,mg/L,18.55,mg/L,2.25,µg/L,1.8,µg/L,2.715,mg/L,0.5694999999999999,mg/L,1.1245,mg/L,3.485,mg/L,,,0.247,mg/L,0.0805,mg/L,0.37,mg/L,,,0.0813,mg/L,5.720000000000001,mg/L,,,370.5,µS/cm,224.25,mg/L,289.5,NTU
4,2011-12-12,0.04,mg/L,59.5,mg/L,5.3,mg/L,0.5205,mg/L,32.1,mg/L,0.8,µg/L,0.75,µg/L,4.48,mg/L,0.5754999999999999,mg/L,0.077,mg/L,4.955,mg/L,,,0.02675,mg/L,0.02765,mg/L,0.062,mg/L,,,0.03055,mg/L,7.955,mg/L,,,661.5,µS/cm,,,17.6,NTU
5,2011-12-19,0.044,mg/L,56.0,mg/L,4.9,mg/L,0.749,mg/L,35.9,mg/L,0.3,µg/L,0.1,µg/L,4.81,mg/L,0.681,mg/L,0.106,mg/L,5.449999999999999,mg/L,,,0.0341,mg/L,0.0307,mg/L,0.072,mg/L,,,0.0351,mg/L,7.45,mg/L,,,643.0,µS/cm,,,26.5,NTU
6,2012-01-09,0.024,mg/L,45.5,mg/L,3.9,mg/L,0.787,mg/L,31.2,mg/L,0.8,µg/L,,,4.11,mg/L,0.475,mg/L,0.109,mg/L,4.365,mg/L,,,0.0397,mg/L,0.0342,mg/L,0.0842,mg/L,,,0.038,mg/L,6.16,mg/L,,,548.0,µS/cm,25.8,mg/L,33.3,NTU
7,2012-01-16,0.037,mg/L,59.0,mg/L,4.3,mg/L,0.505,mg/L,42.7,mg/L,0.1,µg/L,0.1,µg/L,4.42,mg/L,0.549,mg/L,0.065,mg/L,4.869999999999999,mg/L,,,0.0231,mg/L,0.0302,mg/L,0.056,mg/L,,,0.0313,mg/L,6.39,mg/L,,,676.0,µS/cm,,,14.4,NTU
8,2012-01-23,0.065,mg/L,50.5,mg/L,3.5,mg/L,6.94,mg/L,191.0,mg/L,1.4,µg/L,1.7,µg/L,3.92,mg/L,0.481,mg/L,0.236,mg/L,4.17,mg/L,,,,,0.0259,mg/L,0.0863,mg/L,,,0.0273,mg/L,5.64,mg/L,,,1130.0,µS/cm,,,57.7,NTU
9,2012-01-31,0.02,mg/L,55.5,mg/L,3.4,mg/L,0.553,mg/L,51.3,mg/L,0.8,µg/L,0.1,µg/L,4.46,mg/L,0.42,mg/L,0.053,mg/L,4.725,mg/L,,,,,0.0233,mg/L,0.0423,mg/L,,,0.0227,mg/L,,,,,685.0,µS/cm,,,10.7,NTU
