,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-12,0.218,MILLIGRAM PER LITER,0.119,MILLIGRAM PER LITER,4.76,MILLIGRAM PER LITER,,,0.054,MILLIGRAM PER LITER,,,3.82,MILLIGRAM PER LITER,,,31.3,MILLIGRAM PER LITER
1,2016-04-12,0.262,MILLIGRAM PER LITER,0.119,MILLIGRAM PER LITER,4.76,MILLIGRAM PER LITER,,,0.054,MILLIGRAM PER LITER,,,3.82,MILLIGRAM PER LITER,,,31.3,MILLIGRAM PER LITER
2,2016-05-30,0.194,MILLIGRAM PER LITER,0.0762,MILLIGRAM PER LITER,4.8,MILLIGRAM PER LITER,,,0.142,MILLIGRAM PER LITER,,,4.37,MILLIGRAM PER LITER,,,89.8,MILLIGRAM PER LITER
3,2016-05-30,0.16,MILLIGRAM PER LITER,0.0762,MILLIGRAM PER LITER,4.8,MILLIGRAM PER LITER,,,0.142,MILLIGRAM PER LITER,,,4.37,MILLIGRAM PER LITER,,,89.8,MILLIGRAM PER LITER
4,2016-06-20,0.228,MILLIGRAM PER LITER,0.0452,MILLIGRAM PER LITER,4.27,MILLIGRAM PER LITER,,,0.042,MILLIGRAM PER LITER,,,3.72,MILLIGRAM PER LITER,,,89.4,MILLIGRAM PER LITER
5,2016-07-18,0.21,MILLIGRAM PER LITER,0.157,MILLIGRAM PER LITER,6.13,MILLIGRAM PER LITER,,,0.031,MILLIGRAM PER LITER,,,5.2,MILLIGRAM PER LITER,,,86.6,MILLIGRAM PER LITER
6,2016-07-18,0.224,MILLIGRAM PER LITER,0.157,MILLIGRAM PER LITER,6.13,MILLIGRAM PER LITER,,,0.031,MILLIGRAM PER LITER,,,5.2,MILLIGRAM PER LITER,,,86.6,MILLIGRAM PER LITER
7,2016-08-29,0.28,MILLIGRAM PER LITER,0.141,MILLIGRAM PER LITER,3.99,MILLIGRAM PER LITER,,,0.026,MILLIGRAM PER LITER,,,3.5,MILLIGRAM PER LITER,,,80.4,MILLIGRAM PER LITER
8,2016-08-29,0.256,MILLIGRAM PER LITER,0.141,MILLIGRAM PER LITER,3.99,MILLIGRAM PER LITER,,,0.026,MILLIGRAM PER LITER,,,3.5,MILLIGRAM PER LITER,,,80.4,MILLIGRAM PER LITER
9,2016-09-19,0.22,MILLIGRAM PER LITER,0.153,MILLIGRAM PER LITER,3.3,MILLIGRAM PER LITER,,,0.055,MILLIGRAM PER LITER,,,2.9,MILLIGRAM PER LITER,,,46.5,MILLIGRAM PER LITER
