,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-25,0.017,MILLIGRAM PER LITER,0.0085,MILLIGRAM PER LITER,6.79,MILLIGRAM PER LITER,,,0.027,MILLIGRAM PER LITER,,,6.22,MILLIGRAM PER LITER,,,40.7,MILLIGRAM PER LITER
1,2016-04-25,0.0182,MILLIGRAM PER LITER,0.0085,MILLIGRAM PER LITER,6.79,MILLIGRAM PER LITER,,,0.027,MILLIGRAM PER LITER,,,6.22,MILLIGRAM PER LITER,,,40.7,MILLIGRAM PER LITER
2,2016-06-21,0.074,MILLIGRAM PER LITER,0.0285,MILLIGRAM PER LITER,7.15,MILLIGRAM PER LITER,,,0.108,MILLIGRAM PER LITER,,,6.26,MILLIGRAM PER LITER,,,39.4,MILLIGRAM PER LITER
3,2016-06-21,0.096,MILLIGRAM PER LITER,0.0285,MILLIGRAM PER LITER,7.15,MILLIGRAM PER LITER,,,0.108,MILLIGRAM PER LITER,,,6.26,MILLIGRAM PER LITER,,,39.4,MILLIGRAM PER LITER
4,2016-08-17,0.119,MILLIGRAM PER LITER,0.0685,MILLIGRAM PER LITER,3.18,MILLIGRAM PER LITER,,,0.026,MILLIGRAM PER LITER,,,3.0,MILLIGRAM PER LITER,,,38.4,MILLIGRAM PER LITER
5,2016-08-17,0.12,MILLIGRAM PER LITER,0.0685,MILLIGRAM PER LITER,3.18,MILLIGRAM PER LITER,,,0.026,MILLIGRAM PER LITER,,,3.0,MILLIGRAM PER LITER,,,38.4,MILLIGRAM PER LITER
6,2016-10-17,0.02,MILLIGRAM PER LITER,0.0077,MILLIGRAM PER LITER,5.54,MILLIGRAM PER LITER,,,0.036,MILLIGRAM PER LITER,,,4.79,MILLIGRAM PER LITER,,,48.8,MILLIGRAM PER LITER
7,2016-10-17,0.0346,MILLIGRAM PER LITER,0.0077,MILLIGRAM PER LITER,5.54,MILLIGRAM PER LITER,,,0.036,MILLIGRAM PER LITER,,,4.79,MILLIGRAM PER LITER,,,48.8,MILLIGRAM PER LITER
8,2015-04-13,0.047,MILLIGRAM PER LITER,0.0096,MILLIGRAM PER LITER,5.67,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,0.56,MILLIGRAM PER LITER,5.55,MILLIGRAM PER LITER,,,35.6,MILLIGRAM PER LITER
9,2015-06-09,0.232,MILLIGRAM PER LITER,0.0836,MILLIGRAM PER LITER,11.7,MILLIGRAM PER LITER,,,0.083,MILLIGRAM PER LITER,,,10.0,MILLIGRAM PER LITER,,,22.7,MILLIGRAM PER LITER
10,2015-08-13,0.136,MILLIGRAM PER LITER,0.0411,MILLIGRAM PER LITER,4.59,MILLIGRAM PER LITER,,,0.022,MILLIGRAM PER LITER,,,3.85,MILLIGRAM PER LITER,,,45.1,MILLIGRAM PER LITER
11,2015-10-13,0.039,MILLIGRAM PER LITER,0.0291,MILLIGRAM PER LITER,3.43,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,,,3.02,MILLIGRAM PER LITER,,,53.4,MILLIGRAM PER LITER
12,2015-10-13,0.0516,MILLIGRAM PER LITER,0.0291,MILLIGRAM PER LITER,3.43,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,,,3.02,MILLIGRAM PER LITER,,,53.4,MILLIGRAM PER LITER
13,2015-10-13,0.0516,MILLIGRAM PER LITER,0.0291,MILLIGRAM PER LITER,3.43,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,,,3.02,MILLIGRAM PER LITER,,,53.4,MILLIGRAM PER LITER
14,2014-04-08,0.256,MILLIGRAM PER LITER,0.0338,MILLIGRAM PER LITER,6.72,MILLIGRAM PER LITER,,,0.036,MILLIGRAM PER LITER,0.44,MILLIGRAM PER LITER,5.63,MILLIGRAM PER LITER,,,29.3,MILLIGRAM PER LITER
15,2014-06-09,0.04,MILLIGRAM PER LITER,0.0408,MILLIGRAM PER LITER,5.89,MILLIGRAM PER LITER,,,0.05,MILLIGRAM PER LITER,0.36,MILLIGRAM PER LITER,5.48,MILLIGRAM PER LITER,,,36.9,MILLIGRAM PER LITER
16,2014-08-12,0.134,MILLIGRAM PER LITER,0.0544,MILLIGRAM PER LITER,5.19,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,0.38,MILLIGRAM PER LITER,,,,,36.6,MILLIGRAM PER LITER
17,2014-10-20,0.03,MILLIGRAM PER LITER,0.0182,MILLIGRAM PER LITER,6.01,MILLIGRAM PER LITER,,,0.031,MILLIGRAM PER LITER,1.32,MILLIGRAM PER LITER,4.93,MILLIGRAM PER LITER,,,33.4,MILLIGRAM PER LITER
18,2013-04-22,0.019,MILLIGRAM PER LITER,0.0054,MILLIGRAM PER LITER,,,,,0.013,MILLIGRAM PER LITER,0.28,MILLIGRAM PER LITER,4.54,MILLIGRAM PER LITER,,,32.1,MILLIGRAM PER LITER
19,2013-06-18,0.14,MILLIGRAM PER LITER,0.0318,MILLIGRAM PER LITER,,,,,0.056,MILLIGRAM PER LITER,0.36,MILLIGRAM PER LITER,8.18,MILLIGRAM PER LITER,,,25.2,MILLIGRAM PER LITER
20,2013-08-19,0.045,MILLIGRAM PER LITER,0.0252,MILLIGRAM PER LITER,4.0,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,1.34,MILLIGRAM PER LITER,2.93,MILLIGRAM PER LITER,,,46.5,MILLIGRAM PER LITER
21,2013-10-21,0.024,MILLIGRAM PER LITER,0.0157,MILLIGRAM PER LITER,5.15,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,0.64,MILLIGRAM PER LITER,4.09,MILLIGRAM PER LITER,,,40.4,MILLIGRAM PER LITER
22,2012-04-16,0.058,MILLIGRAM PER LITER,0.0109,MILLIGRAM PER LITER,,,,,0.022,MILLIGRAM PER LITER,0.76,MILLIGRAM PER LITER,3.84,MILLIGRAM PER LITER,,,32.6,MILLIGRAM PER LITER
23,2012-06-18,0.065,MILLIGRAM PER LITER,0.0268,MILLIGRAM PER LITER,,,,,0.043,MILLIGRAM PER LITER,0.61,MILLIGRAM PER LITER,6.77,MILLIGRAM PER LITER,,,21.6,MILLIGRAM PER LITER
24,2012-08-13,0.093,MILLIGRAM PER LITER,0.0108,MILLIGRAM PER LITER,,,,,0.064,MILLIGRAM PER LITER,0.74,MILLIGRAM PER LITER,2.98,MILLIGRAM PER LITER,,,53.9,MILLIGRAM PER LITER
25,2012-10-15,0.033,MILLIGRAM PER LITER,0.0201,MILLIGRAM PER LITER,,,,,0.043,MILLIGRAM PER LITER,0.3,MILLIGRAM PER LITER,1.84,MILLIGRAM PER LITER,,,30.6,MILLIGRAM PER LITER
26,2011-05-16,0.173,MILLIGRAM PER LITER,0.0545,MILLIGRAM PER LITER,,,,,0.038,MILLIGRAM PER LITER,1.32,MILLIGRAM PER LITER,4.68,MILLIGRAM PER LITER,,,21.2,MILLIGRAM PER LITER
27,2011-06-27,0.088,MILLIGRAM PER LITER,,,,,,,,,0.77,MILLIGRAM PER LITER,,,,,30.5,MILLIGRAM PER LITER
28,2011-08-29,0.053,MILLIGRAM PER LITER,0.0252,MILLIGRAM PER LITER,,,,,0.018,MILLIGRAM PER LITER,0.62,MILLIGRAM PER LITER,3.73,MILLIGRAM PER LITER,,,52.9,MILLIGRAM PER LITER
29,2011-11-14,0.03,MILLIGRAM PER LITER,0.0005,MILLIGRAM PER LITER,,,,,0.016,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,4.36,MILLIGRAM PER LITER,,,37.2,MILLIGRAM PER LITER
30,2010-04-28,0.02,MILLIGRAM PER LITER,0.0046,MILLIGRAM PER LITER,,,,,0.017,MILLIGRAM PER LITER,0.54,MILLIGRAM PER LITER,4.03,MILLIGRAM PER LITER,,,41.1,MILLIGRAM PER LITER
31,2010-05-25,0.034,MILLIGRAM PER LITER,0.0101,MILLIGRAM PER LITER,,,,,0.029,MILLIGRAM PER LITER,0.61,MILLIGRAM PER LITER,,,,,36.9,MILLIGRAM PER LITER
