,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-11,0.24,MILLIGRAM PER LITER,0.151,MILLIGRAM PER LITER,2.35,MILLIGRAM PER LITER,,,0.083,MILLIGRAM PER LITER,,,1.85,MILLIGRAM PER LITER,,,66.5,MILLIGRAM PER LITER
1,2016-04-11,0.32,MILLIGRAM PER LITER,0.151,MILLIGRAM PER LITER,2.35,MILLIGRAM PER LITER,,,0.083,MILLIGRAM PER LITER,,,1.85,MILLIGRAM PER LITER,,,66.5,MILLIGRAM PER LITER
2,2016-05-10,0.178,MILLIGRAM PER LITER,0.0948,MILLIGRAM PER LITER,2.87,MILLIGRAM PER LITER,,,0.064,MILLIGRAM PER LITER,,,2.34,MILLIGRAM PER LITER,,,79.0,MILLIGRAM PER LITER
3,2016-05-10,0.189,MILLIGRAM PER LITER,0.0948,MILLIGRAM PER LITER,2.87,MILLIGRAM PER LITER,,,0.064,MILLIGRAM PER LITER,,,2.34,MILLIGRAM PER LITER,,,79.0,MILLIGRAM PER LITER
4,2016-06-21,0.169,MILLIGRAM PER LITER,0.0519,MILLIGRAM PER LITER,0.83,MILLIGRAM PER LITER,,,0.009,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,129.0,MILLIGRAM PER LITER
5,2016-06-21,0.202,MILLIGRAM PER LITER,0.0519,MILLIGRAM PER LITER,0.83,MILLIGRAM PER LITER,,,0.009,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,129.0,MILLIGRAM PER LITER
6,2016-07-19,0.144,MILLIGRAM PER LITER,0.0797,MILLIGRAM PER LITER,3.1,MILLIGRAM PER LITER,,,0.156,MILLIGRAM PER LITER,,,2.5,MILLIGRAM PER LITER,,,117.0,MILLIGRAM PER LITER
7,2016-07-19,0.162,MILLIGRAM PER LITER,0.0797,MILLIGRAM PER LITER,3.1,MILLIGRAM PER LITER,,,0.156,MILLIGRAM PER LITER,,,2.5,MILLIGRAM PER LITER,,,117.0,MILLIGRAM PER LITER
8,2016-08-15,0.143,MILLIGRAM PER LITER,0.0557,MILLIGRAM PER LITER,0.64,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,0.053,MILLIGRAM PER LITER,,,187.0,MILLIGRAM PER LITER
9,2016-08-15,0.163,MILLIGRAM PER LITER,0.0557,MILLIGRAM PER LITER,0.64,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,0.053,MILLIGRAM PER LITER,,,187.0,MILLIGRAM PER LITER
