,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-11,0.041,MILLIGRAM PER LITER,0.0142,MILLIGRAM PER LITER,1.27,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,,,0.985,MILLIGRAM PER LITER,,,242.0,MILLIGRAM PER LITER
1,2016-04-11,0.042,MILLIGRAM PER LITER,0.0142,MILLIGRAM PER LITER,1.27,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,,,0.985,MILLIGRAM PER LITER,,,242.0,MILLIGRAM PER LITER
2,2016-05-09,0.054,MILLIGRAM PER LITER,0.0112,MILLIGRAM PER LITER,1.13,MILLIGRAM PER LITER,,,0.025,MILLIGRAM PER LITER,,,0.871,MILLIGRAM PER LITER,,,264.0,MILLIGRAM PER LITER
3,2016-05-09,0.0668,MILLIGRAM PER LITER,0.0112,MILLIGRAM PER LITER,1.13,MILLIGRAM PER LITER,,,0.025,MILLIGRAM PER LITER,,,0.871,MILLIGRAM PER LITER,,,264.0,MILLIGRAM PER LITER
4,2016-06-21,0.196,MILLIGRAM PER LITER,0.123,MILLIGRAM PER LITER,0.95,MILLIGRAM PER LITER,,,0.054,MILLIGRAM PER LITER,,,0.129,MILLIGRAM PER LITER,,,186.0,MILLIGRAM PER LITER
5,2016-06-21,0.255,MILLIGRAM PER LITER,0.123,MILLIGRAM PER LITER,0.95,MILLIGRAM PER LITER,,,0.054,MILLIGRAM PER LITER,,,0.129,MILLIGRAM PER LITER,,,186.0,MILLIGRAM PER LITER
6,2016-07-19,0.199,MILLIGRAM PER LITER,0.0841,MILLIGRAM PER LITER,0.75,MILLIGRAM PER LITER,,,0.035,MILLIGRAM PER LITER,,,0.176,MILLIGRAM PER LITER,,,211.0,MILLIGRAM PER LITER
7,2016-07-19,0.204,MILLIGRAM PER LITER,0.0841,MILLIGRAM PER LITER,0.75,MILLIGRAM PER LITER,,,0.035,MILLIGRAM PER LITER,,,0.176,MILLIGRAM PER LITER,,,211.0,MILLIGRAM PER LITER
8,2016-08-15,0.113,MILLIGRAM PER LITER,0.0526,MILLIGRAM PER LITER,0.98,MILLIGRAM PER LITER,,,0.045,MILLIGRAM PER LITER,,,0.365,MILLIGRAM PER LITER,,,132.0,MILLIGRAM PER LITER
9,2016-08-15,0.105,MILLIGRAM PER LITER,0.0526,MILLIGRAM PER LITER,0.98,MILLIGRAM PER LITER,,,0.045,MILLIGRAM PER LITER,,,0.365,MILLIGRAM PER LITER,,,132.0,MILLIGRAM PER LITER
10,2016-09-12,0.085,MILLIGRAM PER LITER,0.0382,MILLIGRAM PER LITER,1.33,MILLIGRAM PER LITER,,,0.03,MILLIGRAM PER LITER,,,0.84,MILLIGRAM PER LITER,,,156.0,MILLIGRAM PER LITER
