,SampleDateTime,Ammonia filtered,Unit Ammonia filtered,Carbon dissolved inorganic,Unit Carbon dissolved inorganic,Carbon dissolved organic,Unit Carbon dissolved organic,Carbon particulate organic,Unit Carbon particulate organic,Chloride dissolved,Unit Chloride dissolved,Chlorophyll A,Unit Chlorophyll A,Chlorophyll corrected,Unit Chlorophyll corrected,Nitrite and nitrate filtered,Unit Nitrite and nitrate filtered,Nitrogen Kjeldahl total,Unit Nitrogen Kjeldahl total,Nitrogen particulate,Unit Nitrogen particulate,Nitrogen total,Unit Nitrogen total,Nitrogen total dissolved,Unit Nitrogen total dissolved,Phosphorus particulate,Unit Phosphorus particulate,Phosphorus soluble reactive,Unit Phosphorus soluble reactive,Phosphorus total,Unit Phosphorus total,Phosphorus total dissolved,Unit Phosphorus total dissolved,Phosphorus total filtered,Unit Phosphorus total filtered,SiO2,Unit SiO2,Silica soluble reactive,Unit Silica soluble reactive,Specific conductance,Unit Specific conductance,Total suspended solids (non-filterable residue),Unit Total suspended solids (non-filterable residue),Turbidity,Unit Turbidity
0,2011-11-16,0.005,mg/L,51.25,mg/L,3.0,mg/L,0.6495,mg/L,26.2,mg/L,4.0,µg/L,2.95,µg/L,3.16,mg/L,0.29000000000000004,mg/L,0.07,mg/L,3.5675,mg/L,,,0.09375,mg/L,0.0082,mg/L,0.019549999999999998,mg/L,,,0.01025,mg/L,8.684999999999999,mg/L,,,595.5,µS/cm,3.75,mg/L,,
1,2011-11-28,0.0185,mg/L,47.25,mg/L,4.699999999999999,mg/L,1.8399999999999999,mg/L,23.7,mg/L,8.4,µg/L,5.800000000000001,µg/L,3.63,mg/L,0.384,mg/L,0.1875,mg/L,3.79,mg/L,,,0.04095,mg/L,0.010249999999999999,mg/L,0.056249999999999994,mg/L,,,0.0155,mg/L,8.61,mg/L,,,566.0,µS/cm,34.849999999999994,mg/L,14.5,NTU
2,2011-11-30,0.0295,mg/L,38.2,mg/L,5.2,mg/L,4.525,mg/L,20.049999999999997,mg/L,5.65,µg/L,4.8,µg/L,2.91,mg/L,0.423,mg/L,0.39749999999999996,mg/L,3.4375,mg/L,,,0.09445,mg/L,0.0152,mg/L,0.1475,mg/L,,,0.01805,mg/L,7.115,mg/L,,,475.5,µS/cm,87.75,mg/L,51.4,NTU
3,2011-12-05,0.032,mg/L,45.25,mg/L,4.85,mg/L,2.06,mg/L,20.55,mg/L,2.05,µg/L,1.05,µg/L,3.81,mg/L,0.47850000000000004,mg/L,0.1755,mg/L,4.27,mg/L,,,0.051699999999999996,mg/L,0.01815,mg/L,0.08654999999999999,mg/L,,,0.02225,mg/L,8.285,mg/L,,,538.0,µS/cm,52.3,mg/L,23.15,NTU
4,2011-12-12,0.049,mg/L,48.55,mg/L,4.15,mg/L,1.645,mg/L,22.8,mg/L,1.85,µg/L,1.4,µg/L,4.07,mg/L,0.4145,mg/L,0.131,mg/L,4.387499999999999,mg/L,,,0.0275,mg/L,0.0133,mg/L,0.06080000000000001,mg/L,,,0.0169,mg/L,9.094999999999999,mg/L,,,589.0,µS/cm,,,11.85,NTU
5,2011-12-19,0.04,mg/L,43.4,mg/L,5.4,mg/L,2.09,mg/L,20.6,mg/L,0.6,µg/L,0.7,µg/L,4.17,mg/L,0.519,mg/L,0.177,mg/L,4.68,mg/L,,,0.0452,mg/L,0.0241,mg/L,0.0847,mg/L,,,0.0305,mg/L,8.29,mg/L,,,534.0,µS/cm,,,19.9,NTU
6,2012-01-09,0.035,mg/L,48.9,mg/L,3.1,mg/L,1.16,mg/L,22.8,mg/L,2.2,µg/L,1.8,µg/L,4.04,mg/L,0.422,mg/L,0.089,mg/L,4.140000000000001,mg/L,,,0.0165,mg/L,0.0105,mg/L,0.0299,mg/L,,,0.011,mg/L,8.3,mg/L,,,595.0,µS/cm,17.3,mg/L,7.22,NTU
7,2012-01-16,0.042,mg/L,49.9,mg/L,3.0,mg/L,0.961,mg/L,23.5,mg/L,1.1,µg/L,,,3.84,mg/L,0.364,mg/L,0.075,mg/L,4.21,mg/L,,,0.0198,mg/L,0.007,mg/L,0.0207,mg/L,,,0.0085,mg/L,8.02,mg/L,,,596.0,µS/cm,,,6.55,NTU
8,2012-01-23,0.044,mg/L,46.3,mg/L,3.1,mg/L,3.69,mg/L,22.1,mg/L,3.5,µg/L,3.4,µg/L,4.03,mg/L,0.395,mg/L,0.234,mg/L,4.3,mg/L,,,,,0.0082,mg/L,0.0598,mg/L,,,0.0095,mg/L,7.69,mg/L,,,576.0,µS/cm,,,16.7,NTU
9,2012-01-31,0.032,mg/L,45.1,mg/L,3.5,mg/L,1.8,mg/L,29.5,mg/L,2.2,µg/L,1.8,µg/L,4.04,mg/L,0.37,mg/L,0.146,mg/L,4.33,mg/L,,,,,0.011,mg/L,0.0435,mg/L,,,0.0111,mg/L,7.49,mg/L,,,576.0,µS/cm,,,9.35,NTU
10,2012-02-06,0.027,mg/L,47.2,mg/L,3.3,mg/L,1.54,mg/L,20.700000000000003,mg/L,1.4,µg/L,1.7,µg/L,4.25,mg/L,0.4175,mg/L,0.1315,mg/L,4.4625,mg/L,,,,,0.008,mg/L,0.04925,mg/L,,,0.01095,mg/L,6.98,mg/L,,,557.5,µS/cm,29.25,mg/L,10.5,NTU
11,2012-02-13,0.047,mg/L,48.0,mg/L,2.8,mg/L,1.05,mg/L,22.4,mg/L,1.4,µg/L,0.1,µg/L,3.92,mg/L,0.326,mg/L,0.101,mg/L,4.68,mg/L,,,0.021,mg/L,0.0064,mg/L,0.0323,mg/L,,,0.0073,mg/L,7.19,mg/L,,,584.0,µS/cm,,,5.14,NTU
12,2012-02-21,0.03,mg/L,47.2,mg/L,2.9,mg/L,0.434,mg/L,22.7,mg/L,1.8,µg/L,1.4,µg/L,3.83,mg/L,0.339,mg/L,0.044,mg/L,4.1850000000000005,mg/L,,,0.0152,mg/L,0.0038,mg/L,0.0284,mg/L,,,0.0062,mg/L,6.89,mg/L,,,588.0,µS/cm,,,5.91,NTU
13,2012-02-28,0.022,mg/L,44.6,mg/L,3.5,mg/L,1.26,mg/L,21.9,mg/L,2.4,µg/L,,,4.03,mg/L,0.433,mg/L,0.113,mg/L,4.38,mg/L,,,0.0241,mg/L,0.0052,mg/L,0.0362,mg/L,,,0.0095,mg/L,6.75,mg/L,,,554.0,µS/cm,,,8.56,NTU
14,2012-03-05,0.031,mg/L,45.4,mg/L,3.6,mg/L,1.4,mg/L,20.8,mg/L,3.7,µg/L,1.8,µg/L,4.05,mg/L,0.422,mg/L,0.149,mg/L,4.445,mg/L,,,0.0253,mg/L,0.004,mg/L,0.0335,mg/L,,,0.0082,mg/L,5.68,mg/L,,,551.0,µS/cm,12.3,mg/L,10.2,NTU
15,2012-03-12,0.010499999999999999,mg/L,47.0,mg/L,3.2,mg/L,2.7649999999999997,mg/L,21.799999999999997,mg/L,5.85,µg/L,6.25,µg/L,3.585,mg/L,0.3295,mg/L,0.2335,mg/L,3.9800000000000004,mg/L,,,0.01805,mg/L,0.0033,mg/L,0.0247,mg/L,,,0.00625,mg/L,6.029999999999999,mg/L,,,575.5,µS/cm,,,5.085,NTU
16,2012-03-20,0.023,mg/L,47.6,mg/L,3.9,mg/L,1.38,mg/L,21.7,mg/L,,,,,3.17,mg/L,0.347,mg/L,0.159,mg/L,3.6,mg/L,,,0.0234,mg/L,0.0055,mg/L,0.0393,mg/L,,,0.0088,mg/L,5.7,mg/L,,,565.0,µS/cm,,,7.47,NTU
17,2012-03-27,0.019,mg/L,48.6,mg/L,3.2,mg/L,1.01,mg/L,22.5,mg/L,2.5,µg/L,,,3.27,mg/L,0.394,mg/L,0.14,mg/L,3.84,mg/L,,,0.0191,mg/L,0.0053,mg/L,0.0322,mg/L,,,0.0078,mg/L,6.29,mg/L,,,593.0,µS/cm,,,5.63,NTU
18,2012-04-03,0.028,mg/L,47.8,mg/L,2.9,mg/L,0.512,mg/L,24.2,mg/L,2.6,µg/L,1.3,µg/L,3.37,mg/L,0.284,mg/L,0.054,mg/L,3.75,mg/L,3.67,mg/L,0.0157,mg/L,0.0029,mg/L,0.0255,mg/L,,,0.0066,mg/L,6.4,mg/L,,,587.0,µS/cm,,,3.51,NTU
19,2012-04-10,0.014499999999999999,mg/L,46.5,mg/L,2.75,mg/L,0.6635,mg/L,23.5,mg/L,4.05,µg/L,1.75,µg/L,3.475,mg/L,0.28800000000000003,mg/L,0.07600000000000001,mg/L,3.54,mg/L,3.4850000000000003,mg/L,0.01695,mg/L,0.0023,mg/L,0.03165,mg/L,,,0.00375,mg/L,5.595,mg/L,,,585.5,µS/cm,,,3.27,NTU
