,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-19,0.048,MILLIGRAM PER LITER,0.011,MILLIGRAM PER LITER,4.06,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,,,3.75,MILLIGRAM PER LITER,2.36,MILLIGRAM PER LITER,21.2,MILLIGRAM PER LITER
1,2016-04-19,0.062,MILLIGRAM PER LITER,0.011,MILLIGRAM PER LITER,4.06,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,,,3.75,MILLIGRAM PER LITER,2.36,MILLIGRAM PER LITER,21.2,MILLIGRAM PER LITER
2,2016-05-18,0.025,MILLIGRAM PER LITER,0.006,MILLIGRAM PER LITER,3.48,MILLIGRAM PER LITER,,,0.01,MILLIGRAM PER LITER,,,3.28,MILLIGRAM PER LITER,2.8,MILLIGRAM PER LITER,24.0,MILLIGRAM PER LITER
3,2016-05-18,0.0242,MILLIGRAM PER LITER,0.006,MILLIGRAM PER LITER,3.48,MILLIGRAM PER LITER,,,0.01,MILLIGRAM PER LITER,,,3.28,MILLIGRAM PER LITER,2.8,MILLIGRAM PER LITER,24.0,MILLIGRAM PER LITER
4,2016-06-07,0.046,MILLIGRAM PER LITER,0.0122,MILLIGRAM PER LITER,3.35,MILLIGRAM PER LITER,,,0.018,MILLIGRAM PER LITER,,,3.3,MILLIGRAM PER LITER,3.86,MILLIGRAM PER LITER,26.3,MILLIGRAM PER LITER
5,2016-06-07,0.0438,MILLIGRAM PER LITER,0.0122,MILLIGRAM PER LITER,3.35,MILLIGRAM PER LITER,,,0.018,MILLIGRAM PER LITER,,,3.3,MILLIGRAM PER LITER,3.86,MILLIGRAM PER LITER,26.3,MILLIGRAM PER LITER
6,2016-07-04,0.022,MILLIGRAM PER LITER,0.005,MILLIGRAM PER LITER,4.12,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,,,3.49,MILLIGRAM PER LITER,4.06,MILLIGRAM PER LITER,28.8,MILLIGRAM PER LITER
7,2016-07-04,0.027600000000000003,MILLIGRAM PER LITER,0.005,MILLIGRAM PER LITER,4.12,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,,,3.49,MILLIGRAM PER LITER,4.06,MILLIGRAM PER LITER,28.8,MILLIGRAM PER LITER
8,2016-08-17,0.044,MILLIGRAM PER LITER,0.0188,MILLIGRAM PER LITER,3.32,MILLIGRAM PER LITER,,,0.012,MILLIGRAM PER LITER,,,3.14,MILLIGRAM PER LITER,4.36,MILLIGRAM PER LITER,27.7,MILLIGRAM PER LITER
9,2016-08-17,0.0518,MILLIGRAM PER LITER,0.0188,MILLIGRAM PER LITER,3.32,MILLIGRAM PER LITER,,,0.012,MILLIGRAM PER LITER,,,3.14,MILLIGRAM PER LITER,4.36,MILLIGRAM PER LITER,27.7,MILLIGRAM PER LITER
