,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-19,0.031,MILLIGRAM PER LITER,0.0099,MILLIGRAM PER LITER,3.0,MILLIGRAM PER LITER,,,0.032,MILLIGRAM PER LITER,,,2.75,MILLIGRAM PER LITER,2.6,MILLIGRAM PER LITER,26.0,MILLIGRAM PER LITER
1,2016-04-19,0.0354,MILLIGRAM PER LITER,0.0099,MILLIGRAM PER LITER,3.0,MILLIGRAM PER LITER,,,0.032,MILLIGRAM PER LITER,,,2.75,MILLIGRAM PER LITER,2.6,MILLIGRAM PER LITER,26.0,MILLIGRAM PER LITER
2,2016-05-18,0.02,MILLIGRAM PER LITER,0.0081,MILLIGRAM PER LITER,3.43,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,3.11,MILLIGRAM PER LITER,3.52,MILLIGRAM PER LITER,52.0,MILLIGRAM PER LITER
3,2016-05-18,0.0218,MILLIGRAM PER LITER,0.0081,MILLIGRAM PER LITER,3.43,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,3.11,MILLIGRAM PER LITER,3.52,MILLIGRAM PER LITER,52.0,MILLIGRAM PER LITER
4,2016-06-07,0.04,MILLIGRAM PER LITER,0.0157,MILLIGRAM PER LITER,3.64,MILLIGRAM PER LITER,,,0.027,MILLIGRAM PER LITER,,,3.53,MILLIGRAM PER LITER,4.74,MILLIGRAM PER LITER,63.1,MILLIGRAM PER LITER
5,2016-06-07,0.0362,MILLIGRAM PER LITER,0.0157,MILLIGRAM PER LITER,3.64,MILLIGRAM PER LITER,,,0.027,MILLIGRAM PER LITER,,,3.53,MILLIGRAM PER LITER,4.74,MILLIGRAM PER LITER,63.1,MILLIGRAM PER LITER
6,2016-07-04,0.046,MILLIGRAM PER LITER,0.0168,MILLIGRAM PER LITER,4.33,MILLIGRAM PER LITER,,,0.023,MILLIGRAM PER LITER,,,3.73,MILLIGRAM PER LITER,4.88,MILLIGRAM PER LITER,62.0,MILLIGRAM PER LITER
7,2016-07-04,0.0536,MILLIGRAM PER LITER,0.0168,MILLIGRAM PER LITER,4.33,MILLIGRAM PER LITER,,,0.023,MILLIGRAM PER LITER,,,3.73,MILLIGRAM PER LITER,4.88,MILLIGRAM PER LITER,62.0,MILLIGRAM PER LITER
8,2016-08-17,0.038,MILLIGRAM PER LITER,0.0218,MILLIGRAM PER LITER,3.13,MILLIGRAM PER LITER,,,0.038,MILLIGRAM PER LITER,,,2.9,MILLIGRAM PER LITER,5.1,MILLIGRAM PER LITER,67.7,MILLIGRAM PER LITER
9,2016-08-17,0.0434,MILLIGRAM PER LITER,0.0218,MILLIGRAM PER LITER,3.13,MILLIGRAM PER LITER,,,0.038,MILLIGRAM PER LITER,,,2.9,MILLIGRAM PER LITER,5.1,MILLIGRAM PER LITER,67.7,MILLIGRAM PER LITER
