,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
1,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
2,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
3,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
4,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
5,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
6,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
7,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
8,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
9,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
10,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
11,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
12,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
13,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
14,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
15,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
16,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
17,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
18,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
19,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
20,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
21,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
22,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
23,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
24,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
25,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
26,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
27,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
28,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
29,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
30,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
31,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
32,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
33,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
34,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
35,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
36,2000-09-07,0.172,MILLIGRAM PER LITER,0.056,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.96,MILLIGRAM PER LITER,0.067,MILLIGRAM PER LITER,,,28.0,MILLIGRAM PER LITER
