,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-25,0.077,MILLIGRAM PER LITER,0.0175,MILLIGRAM PER LITER,4.35,MILLIGRAM PER LITER,,,0.046,MILLIGRAM PER LITER,,,3.96,MILLIGRAM PER LITER,,,60.1,MILLIGRAM PER LITER
1,2016-04-25,0.102,MILLIGRAM PER LITER,0.0175,MILLIGRAM PER LITER,4.35,MILLIGRAM PER LITER,,,0.046,MILLIGRAM PER LITER,,,3.96,MILLIGRAM PER LITER,,,60.1,MILLIGRAM PER LITER
2,2016-06-21,0.116,MILLIGRAM PER LITER,0.052,MILLIGRAM PER LITER,1.26,MILLIGRAM PER LITER,,,0.044,MILLIGRAM PER LITER,,,0.13,MILLIGRAM PER LITER,,,65.0,MILLIGRAM PER LITER
3,2016-06-21,0.17,MILLIGRAM PER LITER,0.052,MILLIGRAM PER LITER,1.26,MILLIGRAM PER LITER,,,0.044,MILLIGRAM PER LITER,,,0.13,MILLIGRAM PER LITER,,,65.0,MILLIGRAM PER LITER
4,2016-08-17,0.184,MILLIGRAM PER LITER,0.125,MILLIGRAM PER LITER,1.32,MILLIGRAM PER LITER,,,0.026,MILLIGRAM PER LITER,,,0.114,MILLIGRAM PER LITER,,,61.1,MILLIGRAM PER LITER
5,2016-08-17,0.204,MILLIGRAM PER LITER,0.125,MILLIGRAM PER LITER,1.32,MILLIGRAM PER LITER,,,0.026,MILLIGRAM PER LITER,,,0.114,MILLIGRAM PER LITER,,,61.1,MILLIGRAM PER LITER
6,2016-10-17,0.075,MILLIGRAM PER LITER,0.0205,MILLIGRAM PER LITER,13.1,MILLIGRAM PER LITER,,,0.37,MILLIGRAM PER LITER,,,10.6,MILLIGRAM PER LITER,,,90.3,MILLIGRAM PER LITER
7,2016-10-17,0.12,MILLIGRAM PER LITER,0.0205,MILLIGRAM PER LITER,13.1,MILLIGRAM PER LITER,,,0.37,MILLIGRAM PER LITER,,,10.6,MILLIGRAM PER LITER,,,90.3,MILLIGRAM PER LITER
8,2015-04-13,0.144,MILLIGRAM PER LITER,0.0405,MILLIGRAM PER LITER,8.26,MILLIGRAM PER LITER,,,0.031,MILLIGRAM PER LITER,1.13,MILLIGRAM PER LITER,7.43,MILLIGRAM PER LITER,,,46.3,MILLIGRAM PER LITER
9,2015-06-09,0.144,MILLIGRAM PER LITER,0.0409,MILLIGRAM PER LITER,9.22,MILLIGRAM PER LITER,,,0.21,MILLIGRAM PER LITER,,,8.85,MILLIGRAM PER LITER,,,45.4,MILLIGRAM PER LITER
10,2015-08-13,0.105,MILLIGRAM PER LITER,0.0401,MILLIGRAM PER LITER,1.44,MILLIGRAM PER LITER,,,0.041,MILLIGRAM PER LITER,,,0.329,MILLIGRAM PER LITER,,,56.9,MILLIGRAM PER LITER
11,2014-04-08,0.166,MILLIGRAM PER LITER,0.0674,MILLIGRAM PER LITER,5.16,MILLIGRAM PER LITER,,,0.034,MILLIGRAM PER LITER,0.58,MILLIGRAM PER LITER,4.31,MILLIGRAM PER LITER,,,43.0,MILLIGRAM PER LITER
12,2014-06-09,0.07,MILLIGRAM PER LITER,0.0409,MILLIGRAM PER LITER,1.99,MILLIGRAM PER LITER,,,0.082,MILLIGRAM PER LITER,0.83,MILLIGRAM PER LITER,1.25,MILLIGRAM PER LITER,,,52.5,MILLIGRAM PER LITER
13,2014-08-12,0.126,MILLIGRAM PER LITER,0.0694,MILLIGRAM PER LITER,1.05,MILLIGRAM PER LITER,,,0.036,MILLIGRAM PER LITER,0.9,MILLIGRAM PER LITER,,,,,37.4,MILLIGRAM PER LITER
14,2014-10-20,0.051,MILLIGRAM PER LITER,0.0164,MILLIGRAM PER LITER,0.9,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,0.79,MILLIGRAM PER LITER,0.202,MILLIGRAM PER LITER,,,93.2,MILLIGRAM PER LITER
15,2013-04-22,0.074,MILLIGRAM PER LITER,0.0459,MILLIGRAM PER LITER,,,,,0.046,MILLIGRAM PER LITER,0.55,MILLIGRAM PER LITER,5.67,MILLIGRAM PER LITER,,,50.0,MILLIGRAM PER LITER
16,2013-06-18,0.62,MILLIGRAM PER LITER,0.18,MILLIGRAM PER LITER,,,,,0.53,MILLIGRAM PER LITER,1.7,MILLIGRAM PER LITER,12.5,MILLIGRAM PER LITER,,,33.0,MILLIGRAM PER LITER
17,2013-08-19,0.117,MILLIGRAM PER LITER,0.0668,MILLIGRAM PER LITER,1.82,MILLIGRAM PER LITER,,,0.054,MILLIGRAM PER LITER,0.99,MILLIGRAM PER LITER,0.833,MILLIGRAM PER LITER,,,25.5,MILLIGRAM PER LITER
