,SampleDateTime,Ammonia filtered,Unit Ammonia filtered,Carbon dissolved inorganic,Unit Carbon dissolved inorganic,Carbon dissolved organic,Unit Carbon dissolved organic,Carbon particulate organic,Unit Carbon particulate organic,Chloride dissolved,Unit Chloride dissolved,Chlorophyll A,Unit Chlorophyll A,Chlorophyll corrected,Unit Chlorophyll corrected,Nitrite and nitrate filtered,Unit Nitrite and nitrate filtered,Nitrogen Kjeldahl total,Unit Nitrogen Kjeldahl total,Nitrogen particulate,Unit Nitrogen particulate,Nitrogen total,Unit Nitrogen total,Nitrogen total dissolved,Unit Nitrogen total dissolved,Phosphorus particulate,Unit Phosphorus particulate,Phosphorus soluble reactive,Unit Phosphorus soluble reactive,Phosphorus total,Unit Phosphorus total,Phosphorus total filtered,Unit Phosphorus total filtered,SiO2,Unit SiO2,Specific conductance,Unit Specific conductance,Total suspended solids (non-filterable residue),Unit Total suspended solids (non-filterable residue),Turbidity,Unit Turbidity
0,2011-11-29,0.005,mg/L,37.05,mg/L,13.45,mg/L,8.965,mg/L,24.25,mg/L,11.399999999999999,µg/L,5.2,µg/L,5.52,mg/L,0.8514999999999999,mg/L,1.22,mg/L,6.705,mg/L,,,0.2595,mg/L,0.1135,mg/L,0.439,mg/L,0.116,mg/L,6.3149999999999995,mg/L,493.0,µS/cm,246.45,mg/L,265.5,NTU
1,2011-12-13,0.0375,mg/L,38.7,mg/L,8.05,mg/L,2.025,mg/L,18.799999999999997,mg/L,0.8500000000000001,µg/L,0.1,µg/L,4.140000000000001,mg/L,0.6759999999999999,mg/L,0.278,mg/L,4.7475000000000005,mg/L,,,0.06989999999999999,mg/L,0.07880000000000001,mg/L,0.157,mg/L,0.08199999999999999,mg/L,6.74,mg/L,476.0,µS/cm,,,96.44999999999999,NTU
2,2012-01-10,0.049,mg/L,40.3,mg/L,5.9,mg/L,0.693,mg/L,20.6,mg/L,1.6,µg/L,,,3.96,mg/L,0.523,mg/L,0.089,mg/L,4.779999999999999,mg/L,,,0.0373,mg/L,0.0516,mg/L,0.0937,mg/L,0.0585,mg/L,5.72,mg/L,489.0,µS/cm,16.5,mg/L,29.4,NTU
3,2012-01-17,0.036,mg/L,49.2,mg/L,4.5,mg/L,0.414,mg/L,27.9,mg/L,0.6,µg/L,,,4.78,mg/L,0.553,mg/L,0.053,mg/L,5.325,mg/L,,,0.0256,mg/L,0.0268,mg/L,0.0466,mg/L,0.0295,mg/L,5.98,mg/L,614.0,µS/cm,,,13.2,NTU
4,2012-01-23,0.058,mg/L,32.4,mg/L,8.2,mg/L,2.67,mg/L,26.3,mg/L,0.6,µg/L,,,4.63,mg/L,0.705,mg/L,0.371,mg/L,5.130000000000001,mg/L,,,,,0.0809,mg/L,0.221,mg/L,0.0865,mg/L,5.92,mg/L,462.0,µS/cm,,,150.0,NTU
5,2012-01-31,0.042,mg/L,40.4,mg/L,6.0,mg/L,0.857,mg/L,24.1,mg/L,0.8,µg/L,,,5.04,mg/L,0.67,mg/L,0.112,mg/L,5.359999999999999,mg/L,,,,,0.0524,mg/L,0.123,mg/L,0.0535,mg/L,6.11,mg/L,527.0,µS/cm,,,61.1,NTU
6,2012-02-06,0.0335,mg/L,36.1,mg/L,6.55,mg/L,2.0999999999999996,mg/L,23.75,mg/L,0.1,µg/L,0.1,µg/L,4.705,mg/L,0.6194999999999999,mg/L,0.2955,mg/L,5.0275,mg/L,,,,,0.06755,mg/L,0.1305,mg/L,0.0726,mg/L,5.795,mg/L,484.0,µS/cm,56.75,mg/L,101.5,NTU
7,2012-02-13,0.036,mg/L,35.0,mg/L,4.1,mg/L,0.461,mg/L,19.9,mg/L,1.5,µg/L,1.9,µg/L,2.81,mg/L,0.37,mg/L,0.064,mg/L,3.705,mg/L,,,0.0175,mg/L,0.0314,mg/L,0.0523,mg/L,0.0342,mg/L,4.06,mg/L,465.0,µS/cm,,,12.3,NTU
8,2012-02-21,0.045,mg/L,32.6,mg/L,6.6,mg/L,1.35,mg/L,28.4,mg/L,0.6,µg/L,0.1,µg/L,3.41,mg/L,0.686,mg/L,0.208,mg/L,3.7,mg/L,,,0.0474,mg/L,0.0406,mg/L,0.109,mg/L,0.0447,mg/L,4.53,mg/L,497.0,µS/cm,,,60.0,NTU
9,2012-02-28,0.03,mg/L,34.8,mg/L,7.6,mg/L,1.69,mg/L,33.0,mg/L,1.0,µg/L,,,3.61,mg/L,0.55,mg/L,0.234,mg/L,4.25,mg/L,,,0.068,mg/L,0.0374,mg/L,0.126,mg/L,0.0418,mg/L,4.27,mg/L,528.0,µS/cm,,,78.8,NTU
