,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-05,0.196,MILLIGRAM PER LITER,0.0716,MILLIGRAM PER LITER,5.84,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,5.5,MILLIGRAM PER LITER,2.78,MILLIGRAM PER LITER,25.5,MILLIGRAM PER LITER
1,2016-04-05,0.23,MILLIGRAM PER LITER,0.0716,MILLIGRAM PER LITER,5.84,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,5.5,MILLIGRAM PER LITER,2.78,MILLIGRAM PER LITER,25.5,MILLIGRAM PER LITER
2,2016-04-26,0.072,MILLIGRAM PER LITER,0.0165,MILLIGRAM PER LITER,4.24,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,3.89,MILLIGRAM PER LITER,0.14,MILLIGRAM PER LITER,38.4,MILLIGRAM PER LITER
3,2016-04-26,0.086,MILLIGRAM PER LITER,0.0165,MILLIGRAM PER LITER,4.24,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,3.89,MILLIGRAM PER LITER,0.14,MILLIGRAM PER LITER,38.4,MILLIGRAM PER LITER
4,2016-05-31,0.12,MILLIGRAM PER LITER,0.048,MILLIGRAM PER LITER,5.22,MILLIGRAM PER LITER,,,0.052,MILLIGRAM PER LITER,,,4.74,MILLIGRAM PER LITER,1.06,MILLIGRAM PER LITER,39.3,MILLIGRAM PER LITER
5,2016-05-31,0.12,MILLIGRAM PER LITER,0.048,MILLIGRAM PER LITER,5.22,MILLIGRAM PER LITER,,,0.052,MILLIGRAM PER LITER,,,4.74,MILLIGRAM PER LITER,1.06,MILLIGRAM PER LITER,39.3,MILLIGRAM PER LITER
6,2016-06-28,0.127,MILLIGRAM PER LITER,0.0567,MILLIGRAM PER LITER,9.08,MILLIGRAM PER LITER,,,0.142,MILLIGRAM PER LITER,,,7.95,MILLIGRAM PER LITER,2.8,MILLIGRAM PER LITER,31.8,MILLIGRAM PER LITER
7,2016-06-28,0.16,MILLIGRAM PER LITER,0.0567,MILLIGRAM PER LITER,9.08,MILLIGRAM PER LITER,,,0.142,MILLIGRAM PER LITER,,,7.95,MILLIGRAM PER LITER,2.8,MILLIGRAM PER LITER,31.8,MILLIGRAM PER LITER
8,2016-07-26,0.172,MILLIGRAM PER LITER,0.0455,MILLIGRAM PER LITER,1.96,MILLIGRAM PER LITER,,,0.025,MILLIGRAM PER LITER,,,1.32,MILLIGRAM PER LITER,3.36,MILLIGRAM PER LITER,35.7,MILLIGRAM PER LITER
9,2016-07-26,0.209,MILLIGRAM PER LITER,0.0455,MILLIGRAM PER LITER,1.96,MILLIGRAM PER LITER,,,0.025,MILLIGRAM PER LITER,,,1.32,MILLIGRAM PER LITER,3.36,MILLIGRAM PER LITER,35.7,MILLIGRAM PER LITER
10,2016-08-30,0.236,MILLIGRAM PER LITER,0.152,MILLIGRAM PER LITER,2.49,MILLIGRAM PER LITER,,,0.049,MILLIGRAM PER LITER,,,1.76,MILLIGRAM PER LITER,5.0,MILLIGRAM PER LITER,43.4,MILLIGRAM PER LITER
11,2016-08-30,0.26,MILLIGRAM PER LITER,0.152,MILLIGRAM PER LITER,2.49,MILLIGRAM PER LITER,,,0.049,MILLIGRAM PER LITER,,,1.76,MILLIGRAM PER LITER,5.0,MILLIGRAM PER LITER,43.4,MILLIGRAM PER LITER
12,2016-09-27,0.097,MILLIGRAM PER LITER,0.0556,MILLIGRAM PER LITER,0.59,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,,,0.036,MILLIGRAM PER LITER,2.0,MILLIGRAM PER LITER,66.4,MILLIGRAM PER LITER
13,2016-09-27,0.136,MILLIGRAM PER LITER,0.0556,MILLIGRAM PER LITER,0.59,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,,,0.036,MILLIGRAM PER LITER,2.0,MILLIGRAM PER LITER,66.4,MILLIGRAM PER LITER
14,2016-11-01,0.128,MILLIGRAM PER LITER,0.0832,MILLIGRAM PER LITER,4.22,MILLIGRAM PER LITER,,,0.032,MILLIGRAM PER LITER,,,3.79,MILLIGRAM PER LITER,3.14,MILLIGRAM PER LITER,64.8,MILLIGRAM PER LITER
