,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-12,0.44,MILLIGRAM PER LITER,0.373,MILLIGRAM PER LITER,9.48,MILLIGRAM PER LITER,,,0.049,MILLIGRAM PER LITER,,,9.01,MILLIGRAM PER LITER,,,107.0,MILLIGRAM PER LITER
1,2016-04-12,0.434,MILLIGRAM PER LITER,0.373,MILLIGRAM PER LITER,9.48,MILLIGRAM PER LITER,,,0.049,MILLIGRAM PER LITER,,,9.01,MILLIGRAM PER LITER,,,107.0,MILLIGRAM PER LITER
2,2016-05-10,2.38,MILLIGRAM PER LITER,2.11,MILLIGRAM PER LITER,16.9,MILLIGRAM PER LITER,,,0.164,MILLIGRAM PER LITER,,,13.9,MILLIGRAM PER LITER,,,127.0,MILLIGRAM PER LITER
3,2016-05-10,2.43,MILLIGRAM PER LITER,2.11,MILLIGRAM PER LITER,16.9,MILLIGRAM PER LITER,,,0.164,MILLIGRAM PER LITER,,,13.9,MILLIGRAM PER LITER,,,127.0,MILLIGRAM PER LITER
4,2016-06-22,2.46,MILLIGRAM PER LITER,2.16,MILLIGRAM PER LITER,9.14,MILLIGRAM PER LITER,,,0.22,MILLIGRAM PER LITER,,,8.83,MILLIGRAM PER LITER,,,127.0,MILLIGRAM PER LITER
5,2016-06-22,2.48,MILLIGRAM PER LITER,2.16,MILLIGRAM PER LITER,9.14,MILLIGRAM PER LITER,,,0.22,MILLIGRAM PER LITER,,,8.83,MILLIGRAM PER LITER,,,127.0,MILLIGRAM PER LITER
6,2016-07-19,3.2,MILLIGRAM PER LITER,2.73,MILLIGRAM PER LITER,38.3,MILLIGRAM PER LITER,,,0.184,MILLIGRAM PER LITER,,,35.0,MILLIGRAM PER LITER,,,117.0,MILLIGRAM PER LITER
7,2016-07-19,2.91,MILLIGRAM PER LITER,2.73,MILLIGRAM PER LITER,38.3,MILLIGRAM PER LITER,,,0.184,MILLIGRAM PER LITER,,,35.0,MILLIGRAM PER LITER,,,117.0,MILLIGRAM PER LITER
8,2016-08-15,4.85,MILLIGRAM PER LITER,4.67,MILLIGRAM PER LITER,32.4,MILLIGRAM PER LITER,,,0.188,MILLIGRAM PER LITER,,,29.4,MILLIGRAM PER LITER,,,68.0,MILLIGRAM PER LITER
9,2016-08-15,4.86,MILLIGRAM PER LITER,4.67,MILLIGRAM PER LITER,32.4,MILLIGRAM PER LITER,,,0.188,MILLIGRAM PER LITER,,,29.4,MILLIGRAM PER LITER,,,68.0,MILLIGRAM PER LITER
