ActivityStartDate,USGSPCode,ResultMeasureValue
2005-06-07,0,118.0
2005-07-28,0,55.4
2006-01-26,0,68.7
2009-04-14,0,88.1
2009-07-06,0,109.0
2009-08-27,0,147.0
2009-10-27,0,105.0
2010-03-17,0,67.6
2010-06-24,0,77.2
2010-07-22,0,141.0
2011-03-08,0,57.1
2011-04-28,0,22.3
2011-06-01,0,24.6
2011-06-29,0,32.75
2011-07-19,0,65.2
2011-07-27,0,57.9
2011-08-14,0,46.8
2011-08-15,0,28.5
2011-08-17,0,30.6
2011-08-18,0,32.4
2011-08-30,0,54.6
2011-09-21,0,59.7
2011-10-18,0,71.0
2011-10-25,0,24.4
2011-11-14,0,45.3
2011-11-15,0,28.45
2011-11-17,0,15.6
2011-11-18,0,19.3
2011-11-22,0,30.0
2011-11-29,0,11.8
2011-11-30,0,22.8
2011-12-04,0,21.6
2011-12-05,0,10.4
2011-12-06,0,10.9
2011-12-07,0,7.29
2011-12-14,0,31.2
2012-01-16,0,76.4
2012-01-17,0,62.4
2012-01-18,0,22.7
2012-01-19,0,24.9
2012-01-21,0,61.4
2012-02-16,0,86.9
2012-03-22,0,46.1
2012-03-27,0,40.1
2012-04-25,0,71.0
2012-05-15,0,57.0
2012-06-27,0,95.3
2012-06-28,0,136.0
2012-07-16,0,162.0
2012-07-18,0,76.6
2012-07-26,0,152.0
2012-08-09,0,68.9
2012-09-05,0,71.7
2012-10-10,0,72.5
2012-10-11,0,53.0
2012-10-25,0,127.0
2012-10-28,0,31.1
2012-10-30,0,13.919999999999998
2012-11-01,0,11.25
2012-11-02,0,16.2
2012-11-07,0,30.1
2012-12-08,0,38.9
2012-12-10,0,29.3
2012-12-11,0,25.6
2012-12-12,0,23.4
2012-12-18,0,33.6
2012-12-22,0,26.2
2012-12-25,0,38.1
2013-01-09,0,63.3
2013-01-10,0,57.6
2013-01-11,0,37.0
2013-01-13,0,25.7
2013-01-15,0,28.65
2013-01-29,0,192.5
2013-01-30,0,89.05
2013-01-31,0,45.9
2013-02-11,0,128.0
2013-02-13,0,54.8
2013-02-26,0,108.0
2013-02-27,0,62.65
2013-02-28,0,40.5
2013-03-01,0,51.9
2013-03-27,0,89.4
2013-04-10,0,82.6
2013-04-11,0,51.05
2013-04-13,0,24.7
2013-04-15,0,30.0
2013-04-17,0,39.0
2013-05-07,0,95.7
2013-05-21,0,75.2
2013-06-18,0,43.3
2013-06-19,0,31.1
2013-06-25,0,25.8
2013-07-01,0,31.5
2013-07-09,0,42.8
2013-07-11,0,6.23
2013-07-17,0,26.5
2013-08-20,0,133.0
2013-08-22,0,46.4
2013-09-04,0,107.0
2013-09-11,0,61.7
2013-10-21,0,43.9
2013-11-05,0,31.1
2013-12-05,0,59.4
2014-01-21,0,82.1
2014-02-24,0,38.3
2014-03-21,0,60.8
2014-03-24,0,84.9
2014-04-30,0,30.3
2014-05-28,0,45.75
2014-06-11,0,28.7
2014-07-01,0,56.4
2014-07-18,0,58.5
2014-08-08,0,79.35
2014-09-03,0,56.1
2014-10-17,0,66.3
2014-11-10,0,48.6
2014-12-23,0,94.5
2015-03-26,0,90.7
2015-03-30,0,93.8
2015-04-20,0,67.1
2015-05-26,0,82.1
2015-06-10,0,108.0
2015-06-23,0,39.9
2015-07-30,0,67.1
2015-08-19,0,78.1
2015-09-08,0,55.1
2015-09-15,0,103.0
2015-10-02,0,87.6
2015-11-04,0,76.4
2015-12-01,0,88.1
2015-12-22,0,178.0
2016-01-05,0,46.2
2016-02-01,0,88.5
2016-03-02,0,72.4
2016-03-08,0,91.6
2016-04-06,0,39.7
2016-05-02,0,22.6
2016-06-01,0,65.2
2016-07-06,0,93.8
2016-08-01,0,104.0
2016-09-06,0,94.9
2016-10-03,0,61.6
2016-11-07,0,75.4
2016-12-01,0,103.0
2017-01-03,0,134.0
2017-02-08,0,24.4
2017-03-07,0,90.6
2017-04-03,0,38.0
2017-05-05,0,39.7
2017-05-31,0,19.3
2017-07-05,0,52.4
2017-08-03,0,52.0
2017-09-05,0,66.8
2017-10-05,0,93.7
2017-11-01,0,79.3
2017-12-05,0,55.2
2018-01-02,0,120.0
2018-02-07,0,157.0
2018-03-08,0,47.0
2018-04-02,0,38.0
2018-05-07,0,52.6
2018-06-06,0,45.6
2018-07-11,0,50.1
2018-08-07,0,47.4
2018-09-04,0,54.3
2018-10-10,0,22.5
