"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2005-06-07,0.801366752233569,-0.22143656874631,118,118,1,118,56770,6,159,2005.43184931507,1866,2005,0.415237066499976,-0.909713239765419,5.54355448247269,0.291098790098698,266.646479769812
"2",2005-07-28,26.1081323519205,3.26224685016109,55.4,55.4,1,55.4,56821,7,210,2005.57157534247,1867,2005,-0.43471441864785,-0.900568361769201,7.36328343603245,0.262906704689531,1632.46007372923
"3",2006-01-26,7.19247897764405,1.97303589362303,68.7,68.7,1,68.7,57003,1,26,2006.07020547945,1873,2006,0.426947127351199,0.904276589571221,5.14774706891225,0.300045088055483,179.964677648127
"4",2009-04-14,6.68277574300786,1.89953343163011,88.1,88.1,1,88.1,58177,4,105,2009.28390410959,1912,2009,0.977395679879799,-0.211418270147839,4.20638871354855,0.444724738527295,74.0898658712214
"5",2009-07-06,0.518198288546796,-0.657397313548127,109,109,1,109,58260,7,188,2009.51130136986,1915,2009,-0.0709489426020491,-0.997479948441898,4.71056158333378,0.333091172345567,117.452787917444
"6",2009-08-27,0.317148679329186,-1.14838459509445,147,147,1,147,58312,8,240,2009.65376712329,1916,2009,-0.82270168414107,-0.568473340545928,4.78389995666066,0.326430510029514,126.113008217402
"7",2009-10-27,0.869327183518395,-0.140035718802351,105,105,1,105,58373,10,301,2009.82089041096,1918,2010,-0.90243083241744,0.43083476264383,4.7353579828974,0.334782631504906,120.46963001278
"8",2010-03-17,17.8679300586354,2.88300748914571,67.6,67.6,1,67.6,58514,3,77,2010.20719178082,1923,2010,0.964044593956826,0.265740514153598,4.06475334914612,0.441934920102095,64.2259019149886
"9",2010-06-24,7.05089474580066,1.95315452306921,77.2,77.2,1,77.2,58613,6,176,2010.47842465753,1926,2010,0.13514705219848,-0.990825551891987,3.56254397720519,0.375215012670163,37.8237468935355
"10",2010-07-22,1.34788188714904,0.298534387841872,141,141,1,141,58641,7,204,2010.5551369863,1927,2010,-0.339547620457223,-0.940588865255079,4.08344632962025,0.297849923683245,62.0415063390001
"11",2011-03-08,41.0594272345822,3.71502046201912,57.1,57.1,1,57.1,58870,3,68,2011.1825550862,1935,2011,0.91154565406716,0.41119888199176,3.82032441026242,0.418978753747288,49.8040351724971
"12",2011-04-28,29.7326886871112,3.39224706975607,22.3,22.3,1,22.3,58921,4,119,2011.32229706588,1936,2011,0.898587800028239,-0.438793762080103,3.86416077108079,0.410856354264341,51.8607500508972
"13",2011-06-01,7.73049905864892,2.04517342178946,24.6,24.6,1,24.6,58955,6,153,2011.41545838566,1938,2011,0.506560265815182,-0.86220455641179,3.77025492551444,0.373927528131034,46.5331901040177
"14",2011-06-29,2.86000148323641,1.05082214344576,32.75,32.75,1,32.75,58983,6,181,2011.49217947254,1938,2011,0.0491180515133744,-0.998792980059196,4.00135253374211,0.373216408455711,58.6154185705418
"15",2011-07-19,0.60031714301596,-0.510297191717536,65.2,65.2,1,65.2,59003,7,201,2011.54698024889,1939,2011,-0.290917436714404,-0.956748161751838,4.53134164682926,0.319703313912099,97.7532798047586
"16",2011-07-27,2.86000148323641,1.05082214344576,57.9,57.9,1,57.9,59011,7,209,2011.56890055942,1939,2011,-0.419518646950601,-0.9077467184522,3.89743619569762,0.377882126973275,52.922768179677
"17",2011-08-14,3.99267533798351,1.38446151698267,46.8,46.8,1,46.8,59029,8,227,2011.61822125813,1940,2011,-0.676357450250242,-0.73657355334752,3.76749860652361,0.37879341128008,46.490167133511
"18",2011-08-15,33.1307102513525,3.5004606543963,28.5,28.5,1,28.5,59030,8,228,2011.62096129695,1940,2011,-0.688937568006785,-0.724820686369323,3.26012484968336,0.36810458634394,27.8790453224745
"19",2011-08-17,9.28792560892617,2.22871523498864,30.6,30.6,1,30.6,59032,8,230,2011.62644137459,1940,2011,-0.713481554373503,-0.700674012340096,3.49675784767732,0.389166635757141,35.6048969392156
"20",2011-08-18,3.68119002792806,1.30323607706008,32.4,32.4,1,32.4,59033,8,231,2011.6291814134,1940,2011,-0.725438148410046,-0.688287362103507,3.85157784578386,0.370279362048222,50.4070602082352
"21",2011-08-30,0.654119151116447,-0.424465755867754,54.6,54.6,1,54.6,59045,8,243,2011.66206187921,1940,2011,-0.85119860459963,-0.524843724862594,4.4818321278256,0.315780083503685,92.9155167638924
"22",2011-09-21,6.20138935474034,1.824773356421,59.7,59.7,1,59.7,59067,9,265,2011.72234273319,1941,2011,-0.984938955822676,-0.172902438684182,3.44708571635395,0.379946982749467,33.7596253159228
"23",2011-10-18,4.13425956982689,1.41930824831283,71,71,1,71,59094,10,292,2011.79632378125,1942,2012,-0.957939969097704,0.286968666591129,3.68224092275961,0.387186017126025,42.8282284619733
"24",2011-10-25,7.8720832904923,2.06332274029513,24.4,24.4,1,24.4,59101,10,299,2011.81550405297,1942,2012,-0.916492234632835,0.400052476379927,3.4355058030757,0.406518577788307,33.7214616920329
"25",2011-11-14,4.55901226535705,1.51710599158896,45.3,45.3,1,45.3,59121,11,319,2011.87030482932,1943,2012,-0.727656178708241,0.685942042440701,3.76653765679362,0.39963346601261,46.823776106116
"26",2011-11-15,80.4198436870437,4.38726095775975,28.45,28.45,1,28.45,59122,11,320,2011.87304486814,1943,2012,-0.715739631402804,0.698367224345027,2.6821023740353,0.384231559120713,15.7355002083548
"27",2011-11-17,22.7101107876792,3.12281023447101,15.6,15.6,1,15.6,59124,11,322,2011.87852494577,1943,2012,-0.691273719018001,0.722593001208164,3.15979187895986,0.392818051839601,25.4558324565405
"28",2011-11-18,10.9019858519408,2.38894496089228,19.3,19.3,1,19.3,59125,11,323,2011.88126498459,1943,2012,-0.678731605371978,0.734386415907306,3.44100209843983,0.39176729495741,33.708259796271
"29",2011-11-22,7.02257789943198,1.94913037276948,30,30,1,30,59129,11,327,2011.89222513986,1943,2012,-0.626589524408736,0.779349451723188,3.64298758503348,0.401817627350816,41.4180297757838
"30",2011-11-29,144.982253407628,4.97661134463805,11.8,11.8,1,11.8,59136,11,334,2011.91140541158,1943,2012,-0.528350195786678,0.849026542937368,2.7245730075826,0.415835810947329,16.6270804475642
"31",2011-11-30,147.530769580809,4.99403676135191,22.8,22.8,1,22.8,59137,11,335,2011.91414545039,1943,2012,-0.513655632501885,0.857996440085324,2.63309848158196,0.40459090157512,15.1037850866753
"32",2011-12-04,10.0241636145118,2.30499853973827,21.6,21.6,1,21.6,59141,12,339,2011.92510560566,1944,2012,-0.453399181417035,0.891307568850597,3.62080123154777,0.396366275431158,40.4211977319435
"33",2011-12-05,50.6871549999325,3.9256725254393,10.4,10.4,1,10.4,59142,12,340,2011.92784564448,1944,2012,-0.437987844028607,0.898980894392741,3.15303610131068,0.37822266122485,25.1425666454687
"34",2011-12-06,202.182283072356,5.30916968193813,10.9,10.9,1,10.9,59143,12,341,2011.9305856833,1944,2012,-0.422446691753779,0.906387771666348,2.67724755489898,0.413466319823566,15.8429523335591
"35",2011-12-07,172.732762848932,5.1517456767659,7.29,7.29,1,7.29,59144,12,342,2011.93332572211,1944,2012,-0.406780330819616,0.913526005354136,2.85316168456701,0.366894025510764,18.5499537825715
"36",2011-12-14,5.80495350557886,1.75871160574291,31.2,31.2,1,31.2,59151,12,349,2011.95250599383,1944,2012,-0.294004329501252,0.955804087789187,3.93724469300106,0.400826360939378,55.5662264539615
"37",2012-01-16,6.05980512289695,1.80167764162635,76.4,76.4,1,76.4,59184,1,16,2012.04280510018,1945,2012,0.26572162149945,0.964049801549538,4.20002706627936,0.417239369408764,72.7530923714068
"38",2012-01-17,78.720832904923,4.36590783328918,62.4,62.4,1,62.4,59185,1,17,2012.04553734062,1945,2012,0.282231663601153,0.959346281621462,3.41347348404775,0.386264258723529,32.7228471269522
"39",2012-01-18,105.621836955167,4.65986513924236,22.7,22.7,1,22.7,59186,1,18,2012.04826958106,1945,2012,0.298658530736175,0.954360037940876,3.45068004073291,0.409291561258199,34.2758091169606
"40",2012-01-19,30.8653625418583,3.42963460182769,24.9,24.9,1,24.9,59187,1,19,2012.05100182149,1945,2012,0.314997381833097,0.949092539976105,3.85630983770444,0.388543484332747,50.9983284814228
"41",2012-01-21,7.07921159216934,1.95716254446674,61.4,61.4,1,61.4,59189,1,21,2012.05646630237,1945,2012,0.347391802725827,0.937720073048935,4.22634796068398,0.416902190514114,74.6829394804373
"42",2012-02-16,14.7247601117122,2.68953043817997,86.9,86.9,1,86.9,59215,2,47,2012.12750455373,1946,2012,0.718146208894158,0.695892249310875,4.13927979693285,0.409373342994905,68.2428771086496
"43",2012-03-22,12.1196102457939,2.49482482218629,46.1,46.1,1,46.1,59250,3,82,2012.22313296903,1947,2012,0.985785306261706,0.168009910298516,4.22221648210983,0.420010016391014,74.4718118266249
