"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2000-07-26,0.218039717038816,-1.52307804453586,18,18,1,18,54993,7,208,2000.56705373406,1807,2000,-0.408957195349258,-0.912553566850773,2.92147576353016,0.274982439446702,19.2841484485876
"2",2000-08-16,0.481386388267515,-0.731085029339286,27,27,1,27,55014,8,229,2000.62443078324,1808,2000,-0.704573300750513,-0.709631216808793,3.1085475521985,0.250395909576122,23.1014782263898
"3",2000-09-18,0.42475269553016,-0.856248172293292,35,35,1,35,55047,9,262,2000.71459471767,1809,2000,-0.9753581044757,-0.220627668331897,3.3628129717049,0.251555564287195,29.7983514844319
"4",2001-03-19,4.30416064803896,1.45958214745077,41,41,1,41,55229,3,79,2001.21244292237,1815,2001,0.972286137521958,0.233794069177626,3.94919129364489,0.154988773076714,52.5204203770254
"5",2001-06-27,2.46356563407493,0.901609745259081,28,28,1,28,55329,6,179,2001.48641552511,1818,2001,0.0852501732559894,-0.996359577642441,3.06068538776727,0.161834804101712,21.6234989929136
"6",2001-08-16,0.167069393575196,-1.78934602248383,14,14,1,14,55379,8,229,2001.62340182648,1820,2001,-0.699970752715491,-0.71417150975302,2.8814597304126,0.289197589226821,18.6021534931692
"7",2001-10-11,0.546515134915473,-0.604193277484662,38,38,1,38,55435,10,285,2001.77682648402,1822,2002,-0.985828077144285,0.167758762257004,3.74746342414816,0.245297247708362,43.7087711167263
"8",2002-03-27,1.61972361228834,0.48225552499025,49,49,1,49,55602,3,87,2002.23436073059,1827,2002,0.995175934717805,0.0981063655352847,4.07886195545722,0.155553734048208,59.7972957011597
"9",2002-06-04,1.97934756117055,0.682767275844262,23,23,1,23,55671,6,156,2002.42340182648,1830,2002,0.462914609948623,-0.886402878998096,3.52883840080339,0.135642876681817,34.3993578068872
"10",2002-09-09,0.0792871698322966,-2.53467895621434,12,12,1,12,55768,9,253,2002.68915525114,1833,2002,-0.927809498642856,-0.373054331469415,2.59572676543031,0.250626639526537,13.8340593683524
"11",2002-10-28,0.328475417876657,-1.11329327528318,70,70,1,70,55817,10,302,2002.82340182648,1834,2003,-0.895520326256792,0.445020612175356,3.50532722892711,0.209617830093051,34.0318566512455
"12",2003-04-14,3.08653625418583,1.12704950883364,54,54,1,54,55985,4,105,2003.28367579909,1840,2003,0.977697957257717,-0.210015962188798,3.71139949993779,0.137589524384383,41.3001007135166
"13",2003-06-04,1.13267385474709,0.124581080718434,40,40,1,40,56036,6,156,2003.42340182648,1842,2003,0.462914609948038,-0.886402878998402,3.40125393204399,0.172205185221404,30.4498553871015
"14",2003-08-13,0.191705049915946,-1.65179728647132,26,26,1,26,56106,8,226,2003.6151826484,1844,2003,-0.66217226743579,-0.749351645250042,2.80142191766034,0.262418747013164,17.0449456514641
"15",2003-10-08,0.178396132122667,-1.72374873999802,24,24,1,24,56162,10,282,2003.76860730594,1846,2004,-0.993173438690942,0.116646991726358,3.35446017625854,0.289655877412223,29.8567349220486
"16",2004-04-06,2.27950613267853,0.823958811029015,56,56,1,56,56343,4,97,2004.26377504554,1852,2004,0.996256785638291,-0.0864431435665062,3.91200625597767,0.155747906096417,50.6092801223251
"17",2004-07-13,2.41259531061131,0.880703060439768,23,23,1,23,56441,7,195,2004.53153460838,1855,2004,-0.196843895665794,-0.980434842679061,3.07409086535587,0.175723040563945,21.9667546654862
"18",2004-09-08,0.444574487988234,-0.81063766104124,20,20,1,20,56498,9,252,2004.6872723133,1857,2004,-0.923331121231262,-0.38400474029082,3.1907192259455,0.286639588283346,25.325210264126
"19",2004-10-21,0.642792412568976,-0.441933448908145,29,29,1,29,56541,10,295,2004.80475865209,1858,2005,-0.941393360514818,0.337310748092346,3.86894618721613,0.250988429506132,49.4243779424673
"20",2005-04-19,1.24027787094807,0.215335443986898,55,55,1,55,56721,4,110,2005.29737442922,1864,2005,0.956024710531717,-0.293286127958255,4.03411308022815,0.169555935141763,57.3107197743006
