ActivityStartDate,USGSPCode,ResultMeasureValue
1996-03-28,0,16.0
1996-04-26,0,13.0
1996-05-31,0,20.0
1996-06-25,0,14.0
1996-08-28,0,21.0
1996-09-12,0,21.0
1996-10-10,0,16.0
1996-11-05,0,15.0
1996-12-17,0,14.0
1997-01-31,0,17.0
1997-02-21,0,16.0
1997-03-13,0,17.6
1997-04-10,0,17.9
1997-05-01,0,17.3
1997-05-20,0,5.53
1997-06-18,0,16.9
1997-07-16,0,13.3
1997-08-07,0,19.4
1997-08-29,0,17.1
1997-09-25,0,16.4
1997-10-31,0,14.9
1997-11-20,0,15.9
1997-12-18,0,16.9
1998-01-28,0,19.3
1998-02-12,0,17.0
1998-02-26,0,16.5
2001-04-19,0,23.7
2001-05-10,0,31.0
2001-06-06,0,26.9
2001-07-02,0,31.2
2001-07-24,0,26.1
2001-08-15,0,34.9
2001-09-19,0,35.2
2001-10-02,0,34.7
2001-10-25,0,32.0
2001-11-14,0,32.1
2006-04-05,0,24.4
2006-05-04,0,33.9
2006-05-24,0,32.9
2006-06-12,0,38.2
2006-07-10,0,38.8
2006-08-14,0,37.0
2006-09-07,0,24.1
2006-09-26,0,21.1
2006-10-16,0,22.1
2006-11-08,0,21.5
2011-02-28,0,20.5
2011-03-01,0,20.1
2011-04-12,0,27.8
2011-04-13,0,83.9
2011-04-25,0,18.0
2011-04-26,0,13.180000000000001
2011-05-03,0,23.7
2011-05-04,0,28.3
2011-05-24,0,10.8
2011-05-25,0,26.7
2011-06-01,0,20.8
2011-06-13,0,46.6
2011-06-14,0,28.2
2011-06-28,0,28.2
2011-06-30,0,33.7
2011-07-06,0,30.7
2011-07-20,0,38.4
2011-07-21,0,64.7
2011-08-09,0,22.4
2011-08-17,0,35.5
2011-08-18,0,80.9
2011-09-12,0,32.5
2011-09-15,0,62.3
2011-10-06,0,24.7
2011-10-12,0,34.3
2011-10-13,0,61.6
2011-11-01,0,23.0
2011-11-02,0,41.3
2011-11-08,0,25.9
2011-12-08,0,15.3
2012-01-09,0,19.4
2012-01-17,0,24.333333333333332
2012-02-08,0,21.1
2012-03-07,0,24.0
2012-04-10,0,24.8
2012-05-10,0,18.5
2012-06-07,0,26.2
2012-07-09,0,31.9
2012-08-07,0,25.7
2012-08-27,0,32.0
2012-09-06,0,26.7
2012-10-01,0,31.6
2012-10-23,0,24.8
2012-10-25,0,21.2
2012-10-28,0,21.6
2012-10-29,0,14.833333333333334
2012-10-30,0,9.25
2012-10-31,0,13.6
2012-11-05,0,18.8
2012-12-04,0,22.2
2013-01-08,0,26.3
2013-01-11,0,22.4
2013-01-18,0,19.9
2013-01-29,0,34.0
2013-02-05,0,24.5
2013-03-04,0,33.0
2013-03-10,0,32.7
2013-03-11,0,22.9
