"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1996-03-28,30.015857150798,3.40172581371061,16,16,1,16,53412,3,88,1996.23941256831,1755,1996,0.997788174698481,0.0664737424241574,2.72537105303445,0.101678329416729,15.3411735308303
"2",1996-04-26,45.8732911172573,3.82588305483093,13,13,1,13,53441,4,117,1996.31864754098,1756,1996,0.908412505776664,-0.4180750164128,2.52573686782447,0.154684612676434,12.6505479763506
"3",1996-05-31,11.6099070111577,2.45185878630285,20,20,1,20,53476,5,152,1996.41427595628,1757,1996,0.512951909081226,-0.858417345450292,2.82820190268179,0.110349115600668,17.0183192421476
"4",1996-06-25,15.092879114505,2.71422305077034,14,14,1,14,53501,6,177,1996.48258196721,1758,1996,0.109222391571547,-0.994017338470206,2.6949305334973,0.124498363933691,14.9196696753455
"5",1996-08-28,4.72891334356912,1.55369543902125,21,21,1,21,53565,8,241,1996.65744535519,1760,1996,-0.835618808713551,-0.549309754623151,2.93226023320362,0.128208331708407,18.9249076848289
"6",1996-09-12,6.3712904329524,1.85180202880892,21,21,1,21,53580,9,256,1996.69842896175,1761,1996,-0.947959885952543,-0.31838978410879,2.83214967452656,0.124349109126761,17.1137293100199
"7",1996-10-10,16.4237708938329,2.79872973014496,16,16,1,16,53608,10,284,1996.77493169399,1762,1997,-0.987755388067392,0.156010555232124,2.51192167740539,0.125940048856585,12.426758925181
"8",1996-11-05,13.4221851787531,2.59690894829957,15,15,1,15,53634,11,310,1996.84596994536,1763,1997,-0.823639705390114,0.567113424021056,2.74680563690242,0.134623820619358,15.7346836183576
"9",1996-12-17,19.1421881452259,2.95189470264746,14,14,1,14,53676,12,352,1996.96072404372,1764,1997,-0.244280952724023,0.969704499389502,2.76386792063848,0.11905115446792,15.9738739470014
"10",1997-01-31,17.55644474858,2.86542110464364,17,17,1,17,53721,1,31,1997.08390410959,1765,1997,0.503102598799732,0.864226691951224,2.87337186383011,0.106911042974124,17.7980134900055
"11",1997-02-21,146.398095726062,4.98632959410697,16,16,1,16,53742,2,52,1997.14143835616,1766,1997,0.77624239122445,0.630434572391257,1.76080190671547,0.0559743145454724,5.82622028593901
