ActivityStartDate,USGSPCode,ResultMeasureValue
2005-02-15,0,119.0
2005-06-07,0,115.0
2006-01-26,0,211.0
2007-06-28,0,124.0
2007-08-01,0,110.0
2007-11-29,0,64.3
2008-10-23,0,89.9
2009-04-14,0,121.0
2009-06-24,0,90.7
2009-08-27,0,103.0
2009-10-27,0,89.5
2010-03-17,0,126.0
2010-05-24,0,87.5
2010-07-22,0,112.0
2011-01-04,0,118.0
2011-11-14,0,71.6
2012-06-26,0,100.0
2012-11-13,0,61.9
2013-02-11,0,126.0
2014-02-04,0,466.0
2014-03-24,0,179.0
2014-07-01,0,111.0
2014-12-18,0,91.9
2015-03-18,0,129.0
2015-06-10,0,165.0
2015-09-10,0,93.5
2015-12-22,0,197.0
2016-03-08,0,216.0
