ActivityStartDate,USGSPCode,ResultMeasureValue
1998-07-07,0,110
1998-07-13,0,130
1998-07-22,0,61
1998-07-29,0,140
1998-08-06,0,25
1998-08-18,0,120
1998-08-27,0,99
1998-09-03,0,120
1998-09-08,0,97
1998-09-17,0,110
1998-09-22,0,110
1998-09-29,0,110
1998-10-08,0,57
2000-07-20,0,150
2000-07-31,0,40
2000-08-03,0,54
2000-08-30,0,140
2000-09-13,0,67
2000-11-28,0,130
2001-02-12,0,100
2001-02-26,0,98
2001-04-02,0,190
2001-05-09,0,210
2001-05-23,0,120
2001-06-04,0,120
2001-06-26,0,150
2001-08-07,0,190
2001-09-10,0,64
2001-10-11,0,140
2001-10-25,0,90
2001-11-27,0,120
2002-02-21,0,170
2002-03-27,0,160
2002-04-03,0,140
2002-04-09,0,100
2002-06-04,0,120
2002-07-22,0,83
2002-09-17,0,140
2002-10-17,0,140
2002-10-29,0,110
2002-11-12,0,95
2002-11-20,0,130
2002-11-26,0,130
2003-03-17,0,280
2003-04-08,0,240
2003-05-01,0,170
2003-05-07,0,180
2003-06-02,0,160
2003-07-01,0,190
2003-07-31,0,220
2003-08-21,0,180
2003-09-03,0,170
2003-10-16,0,97
2003-11-04,0,100
2003-11-19,0,79
2004-03-03,0,230
2004-03-25,0,340
2004-05-03,0,210
2004-05-10,0,140
2004-05-24,0,38
2004-06-24,0,160
2004-07-28,0,190
2004-08-24,0,190
2004-09-07,0,140
2004-10-12,0,170
2004-11-03,0,120
2004-11-22,0,140
2005-03-14,0,450
2005-04-05,0,180
2005-04-27,0,170
2005-05-25,0,190
2005-06-14,0,200
2005-07-11,0,200
2005-07-25,0,90
2005-08-15,0,170
2005-09-01,0,210
2005-10-04,0,100
2005-11-03,0,160
2005-11-22,0,150
2006-01-31,0,140
2006-03-14,0,100
2006-04-25,0,150
2006-05-17,0,92
2006-06-19,0,140
2006-07-13,0,90
2006-08-01,0,160
2006-08-23,0,170
2006-09-14,0,80
2006-10-02,0,160
2006-10-19,0,97
2006-11-08,0,100
2007-03-15,0,220
2007-04-02,0,180
2007-04-24,0,200
2007-05-17,0,110
2007-06-11,0,170
2007-06-28,0,160
2007-07-25,0,220
2007-08-14,0,200
2007-08-28,0,160
2007-09-10,0,200
2007-10-10,0,210
2007-11-08,0,170
2008-03-19,0,260
2008-04-03,0,150
2008-04-17,0,180
2008-05-28,0,230
2008-06-17,0,50
2008-07-09,0,190
2008-07-31,0,210
2008-08-19,0,180
2008-09-02,0,210
2008-09-17,0,68
2008-10-21,0,170
2008-11-05,0,140
2009-03-09,0,85
2009-03-26,0,170
2009-04-14,0,180
2009-04-22,0,91
2009-05-18,0,94
2009-06-18,0,150
2009-07-21,0,150
2009-08-05,0,180
2009-08-10,0,70
2009-09-02,0,150
2009-10-07,0,50
2009-11-12,0,140
2010-03-09,0,230
2010-03-24,0,190
2010-04-07,0,180
2010-05-05,0,110
2010-05-21,0,150
2010-06-07,0,86
2010-08-11,0,200
2010-08-23,0,210
2010-09-13,0,160
2010-10-01,0,150
2010-10-12,0,190
2010-11-08,0,160
2011-03-21,0,220
2011-03-28,0,180
2011-04-20,0,180
2011-05-17,0,76
2011-05-26,0,57
2011-06-20,0,190
2011-07-21,0,210
2011-07-28,0,49
2011-08-15,0,150
2011-09-13,0,130
2011-10-18,0,170
2011-11-08,0,150
2012-03-06,0,140
2012-03-27,0,180
2012-04-09,0,180
2012-05-04,0,68
2012-05-23,0,150
2012-06-18,0,230
2012-07-25,0,160
2012-08-29,0,170
2012-09-11,0,130
2012-09-24,0,160
2012-10-09,0,140
2012-10-19,0,120
2013-03-11,0,170
2013-04-01,0,200
2013-04-19,0,98
2013-05-20,0,180
2013-06-03,0,120
2013-07-08,0,160
2013-07-23,0,110
2013-08-26,0,170
2013-09-12,0,83
2013-09-25,0,130
2013-11-01,0,65
2013-11-18,0,83
