"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1996-03-27,54.6515134915473,4.00097690850343,160,160,1,160,53411,3,87,1996.23668032787,1755,1996,0.996500038138639,0.0835923081969383,5.06773676018795,0.340038052742989,168.266612196345
"2",1996-04-10,27.1275388211929,3.30054940457536,230,230,1,230,53425,4,101,1996.27493169399,1756,1996,0.987755388067444,-0.156010555231798,5.28492298415306,0.330979098246855,208.449450018826
"3",1996-04-17,58.6158719831621,4.07100551286391,298,298,1,298,53432,4,108,1996.29405737705,1756,1996,0.961929206996683,-0.273298738977574,4.94025254179804,0.308118390560986,146.601938599385
"4",1996-04-23,181.227816759535,5.19975489595226,98,98,1,98,53438,4,114,1996.31045081967,1756,1996,0.928730013692331,-0.370756741903693,4.5732679718737,0.335870091103276,102.480478924396
"5",1996-05-10,141.584231843387,4.95289481802074,111,111,1,111,53455,5,131,1996.3568989071,1757,1996,0.782786238423894,-0.622290691666018,4.53121342545542,0.33834533560374,98.3420992405621
"6",1996-06-07,59.4653773742224,4.08539425031601,129,129,1,129,53483,6,159,1996.43340163934,1758,1996,0.406344530805986,-0.913719936459779,4.77364425475606,0.322095177125179,124.650884563184
"7",1996-06-27,25.4851617318096,3.23809638992881,140,140,1,140,53503,6,179,1996.48804644809,1758,1996,0.0750357895361534,-0.997180841316502,5.08008202454047,0.302748457960284,168.32730682708
"8",1996-07-09,15.2910970390858,2.72727076616282,234,234,1,234,53515,7,191,1996.52083333333,1759,1996,-0.130526192219279,-0.991444861373912,5.18911324524476,0.286092252183133,186.799833342649
"9",1996-07-24,14.1584231843387,2.65030972502669,170,170,1,170,53530,7,206,1996.56181693989,1759,1996,-0.378714820191371,-0.925513416956998,5.23064183034898,0.284279446891978,194.620057007659
"10",1996-08-30,15.9990181983027,2.77252735775094,170,170,1,170,53567,8,243,1996.66290983607,1760,1996,-0.85398280941858,-0.520301221618352,5.14376541645125,0.28098592760174,178.259786712712
