Date,"Flow, CFS"
1996-01-01,740.0
1996-01-02,1000.0
1996-01-03,900.0
1996-01-04,820.0
1996-01-05,760.0
1996-01-06,710.0
1996-01-07,680.0
1996-01-08,640.0
1996-01-09,620.0
1996-01-10,600.0
1996-01-11,580.0
1996-01-12,560.0
1996-01-13,540.0
1996-01-14,520.0
1996-01-15,500.0
1996-01-16,1400.0
1996-01-17,3500.0
1996-01-18,6400.0
1996-01-19,8500.0
1996-01-20,6000.0
1996-01-21,4500.0
1996-01-22,4200.0
1996-01-23,4000.0
1996-01-24,5400.0
1996-01-25,4200.0
1996-01-26,3500.0
1996-01-27,5200.0
1996-01-28,4000.0
1996-01-29,3100.0
1996-01-30,2400.0
1996-01-31,1800.0
1996-02-01,1500.0
1996-02-02,1200.0
1996-02-03,1000.0
1996-02-04,900.0
1996-02-05,760.0
1996-02-06,720.0
1996-02-07,700.0
1996-02-08,1000.0
1996-02-09,1500.0
1996-02-10,1100.0
1996-02-11,1300.0
1996-02-12,1500.0
1996-02-13,1200.0
1996-02-14,1000.0
1996-02-15,920.0
1996-02-16,850.0
1996-02-17,780.0
1996-02-18,720.0
1996-02-19,700.0
1996-02-20,1200.0
1996-02-21,3700.0
1996-02-22,3300.0
1996-02-23,3000.0
1996-02-24,2800.0
1996-02-25,2600.0
1996-02-26,2500.0
1996-02-27,3500.0
1996-02-28,5000.0
1996-02-29,8000.0
1996-03-01,5600.0
1996-03-02,4000.0
1996-03-03,3300.0
1996-03-04,3000.0
1996-03-05,5000.0
1996-03-06,6400.0
1996-03-07,4500.0
1996-03-08,2500.0
1996-03-09,1720.0
1996-03-10,1600.0
1996-03-11,1650.0
1996-03-12,1540.0
1996-03-13,1410.0
1996-03-14,1220.0
1996-03-15,1560.0
1996-03-16,1380.0
1996-03-17,1270.0
1996-03-18,1260.0
1996-03-19,1750.0
1996-03-20,5780.0
1996-03-21,4240.0
1996-03-22,3350.0
1996-03-23,3180.0
1996-03-24,3220.0
1996-03-25,3440.0
1996-03-26,2540.0
1996-03-27,1930.0
1996-03-28,1690.0
1996-03-29,1580.0
1996-03-30,1440.0
1996-03-31,1300.0
1996-04-01,1490.0
1996-04-02,1470.0
1996-04-03,1290.0
1996-04-04,1240.0
1996-04-05,1230.0
1996-04-06,1070.0
1996-04-07,1000.0
1996-04-08,973.0
1996-04-09,977.0
1996-04-10,958.0
1996-04-11,905.0
1996-04-12,844.0
1996-04-13,1120.0
1996-04-14,1040.0
1996-04-15,1410.0
1996-04-16,2970.0
1996-04-17,2070.0
1996-04-18,1620.0
1996-04-19,1500.0
1996-04-20,2200.0
1996-04-21,1600.0
1996-04-22,4000.0
1996-04-23,6400.0
1996-04-24,7000.0
1996-04-25,4600.0
1996-04-26,3700.0
1996-04-27,3200.0
1996-04-28,2800.0
1996-04-29,6000.0
1996-04-30,9000.0
1996-05-01,6000.0
1996-05-02,5000.0
1996-05-03,4000.0
1996-05-04,3300.0
1996-05-05,2900.0
1996-05-06,2400.0
1996-05-07,2100.0
1996-05-08,1900.0
1996-05-09,2200.0
1996-05-10,5000.0
1996-05-11,6800.0
1996-05-12,7600.0
1996-05-13,6000.0
1996-05-14,4700.0
1996-05-15,3600.0
1996-05-16,3200.0
1996-05-17,2700.0
1996-05-18,2900.0
1996-05-19,2200.0
1996-05-20,1700.0
1996-05-21,1300.0
1996-05-22,1400.0
1996-05-23,1200.0
1996-05-24,1100.0
1996-05-25,1000.0
1996-05-26,980.0
1996-05-27,960.0
1996-05-28,1100.0
1996-05-29,960.0
1996-05-30,900.0
1996-05-31,860.0
1996-06-01,840.0
1996-06-02,950.0
1996-06-03,1100.0
1996-06-04,1200.0
1996-06-05,1100.0
1996-06-06,1000.0
1996-06-07,2100.0
1996-06-08,3100.0
1996-06-09,2500.0
1996-06-10,2000.0
1996-06-11,2500.0
1996-06-12,3100.0
1996-06-13,5000.0
1996-06-14,6000.0
1996-06-15,4000.0
1996-06-16,2200.0
1996-06-17,1500.0
1996-06-18,1900.0
1996-06-19,2500.0
1996-06-20,2200.0
1996-06-21,1900.0
1996-06-22,1000.0
1996-06-23,900.0
1996-06-24,1300.0
1996-06-25,1500.0
1996-06-26,1100.0
1996-06-27,900.0
1996-06-28,820.0
1996-06-29,750.0
1996-06-30,700.0
1996-07-01,660.0
1996-07-02,620.0
1996-07-03,580.0
1996-07-04,540.0
1996-07-05,520.0
1996-07-06,500.0
1996-07-07,540.0
1996-07-08,600.0
1996-07-09,540.0
1996-07-10,490.0
1996-07-11,480.0
1996-07-12,470.0
1996-07-13,460.0
1996-07-14,900.0
1996-07-15,1200.0
1996-07-16,1000.0
1996-07-17,1300.0
1996-07-18,1000.0
1996-07-19,820.0
1996-07-20,700.0
1996-07-21,640.0
1996-07-22,580.0
1996-07-23,540.0
1996-07-24,500.0
1996-07-25,750.0
1996-07-26,600.0
1996-07-27,500.0
1996-07-28,460.0
1996-07-29,450.0
1996-07-30,700.0
1996-07-31,950.0
1996-08-01,800.0
1996-08-02,600.0
1996-08-03,450.0
1996-08-04,373.0
1996-08-05,471.0
1996-08-06,566.0
1996-08-07,527.0
1996-08-08,541.0
1996-08-09,972.0
1996-08-10,705.0
1996-08-11,580.0
1996-08-12,530.0
1996-08-13,530.0
1996-08-14,559.0
1996-08-15,655.0
1996-08-16,986.0
1996-08-17,616.0
1996-08-18,546.0
1996-08-19,496.0
1996-08-20,950.0
1996-08-21,2010.0
1996-08-22,1200.0
1996-08-23,720.0
1996-08-24,941.0
1996-08-25,665.0
1996-08-26,620.0
1996-08-27,631.0
1996-08-28,665.0
1996-08-29,597.0
1996-08-30,565.0
1996-08-31,542.0
1996-09-01,515.0
1996-09-02,519.0
1996-09-03,522.0
1996-09-04,553.0
1996-09-05,549.0
1996-09-06,678.0
1996-09-07,6780.0
1996-09-08,2720.0
1996-09-09,2570.0
1996-09-10,2050.0
1996-09-11,1130.0
1996-09-12,2150.0
1996-09-13,2230.0
1996-09-14,1900.0
1996-09-15,1070.0
1996-09-16,760.0
1996-09-17,1430.0
1996-09-18,1970.0
1996-09-19,909.0
1996-09-20,688.0
1996-09-21,802.0
1996-09-22,1470.0
1996-09-23,1730.0
1996-09-24,1210.0
1996-09-25,1000.0
1996-09-26,890.0
1996-09-27,860.0
1996-09-28,4610.0
1996-09-29,2720.0
1996-09-30,1790.0
1996-10-01,1330.0
1996-10-02,1200.0
1996-10-03,1180.0
1996-10-04,1020.0
1996-10-05,912.0
1996-10-06,860.0
1996-10-07,875.0
1996-10-08,880.0
1996-10-09,1160.0
1996-10-10,1780.0
1996-10-11,1290.0
1996-10-12,1040.0
1996-10-13,936.0
1996-10-14,877.0
1996-10-15,860.0
1996-10-16,831.0
1996-10-17,854.0
1996-10-18,2860.0
1996-10-19,6030.0
1996-10-20,5510.0
1996-10-21,3660.0
1996-10-22,2910.0
1996-10-23,2460.0
1996-10-24,2240.0
1996-10-25,1890.0
1996-10-26,1620.0
1996-10-27,1400.0
1996-10-28,1330.0
1996-10-29,1360.0
1996-10-30,3370.0
1996-10-31,2100.0
1996-11-01,1240.0
1996-11-02,944.0
1996-11-03,890.0
1996-11-04,833.0
1996-11-05,928.0
1996-11-06,1200.0
1996-11-07,1510.0
1996-11-08,2550.0
1996-11-09,3290.0
1996-11-10,3960.0
1996-11-11,3330.0
1996-11-12,2710.0
1996-11-13,2360.0
1996-11-14,2120.0
1996-11-15,1860.0
1996-11-16,1750.0
1996-11-17,2320.0
1996-11-18,4520.0
1996-11-19,2640.0
1996-11-20,2000.0
1996-11-21,1710.0
1996-11-22,1630.0
1996-11-23,1520.0
1996-11-24,1480.0
1996-11-25,2300.0
1996-11-26,7000.0
1996-11-27,3680.0
1996-11-28,2570.0
1996-11-29,2190.0
1996-11-30,2550.0
1996-12-01,5540.0
1996-12-02,4030.0
1996-12-03,3100.0
1996-12-04,2500.0
1996-12-05,2300.0
1996-12-06,2200.0
1996-12-07,2000.0
1996-12-08,1700.0
1996-12-09,1500.0
1996-12-10,1400.0
1996-12-11,2900.0
1996-12-12,5750.0
1996-12-13,4220.0
1996-12-14,2990.0
1996-12-15,2580.0
1996-12-16,2610.0
1996-12-17,5690.0
1996-12-18,3940.0
1996-12-19,2690.0
1996-12-20,2140.0
1996-12-21,1840.0
1996-12-22,1690.0
1996-12-23,2010.0
1996-12-24,5220.0
1996-12-25,3150.0
1996-12-26,2170.0
1996-12-27,1900.0
1996-12-28,2070.0
1996-12-29,1960.0
1996-12-30,1660.0
1996-12-31,1470.0
1997-01-01,1360.0
1997-01-02,1500.0
1997-01-03,1430.0
1997-01-04,1360.0
1997-01-05,1870.0
1997-01-06,1680.0
1997-01-07,1360.0
1997-01-08,1270.0
1997-01-09,1210.0
1997-01-10,1470.0
1997-01-11,1180.0
1997-01-12,929.0
1997-01-13,827.0
1997-01-14,692.0
1997-01-15,512.0
1997-01-16,1250.0
1997-01-17,1070.0
1997-01-18,945.0
1997-01-19,878.0
1997-01-20,937.0
1997-01-21,933.0
1997-01-22,1890.0
1997-01-23,2080.0
1997-01-24,1570.0
1997-01-25,2940.0
1997-01-26,1820.0
1997-01-27,1960.0
1997-01-28,3840.0
1997-01-29,2120.0
1997-01-30,1640.0
1997-01-31,1490.0
1997-02-01,1410.0
1997-02-02,1250.0
1997-02-03,1300.0
1997-02-04,2630.0
1997-02-05,4520.0
1997-02-06,2760.0
1997-02-07,2110.0
1997-02-08,1910.0
1997-02-09,1810.0
1997-02-10,1580.0
1997-02-11,1390.0
1997-02-12,1310.0
1997-02-13,1180.0
1997-02-14,1160.0
1997-02-15,1170.0
1997-02-16,1080.0
1997-02-17,1050.0
1997-02-18,1400.0
1997-02-19,2400.0
1997-02-20,2600.0
1997-02-21,2300.0
1997-02-22,2000.0
1997-02-23,1800.0
1997-02-24,1650.0
1997-02-25,1550.0
1997-02-26,1500.0
1997-02-27,7800.0
1997-02-28,3200.0
1997-03-01,2600.0
1997-03-02,4300.0
1997-03-03,3500.0
1997-03-04,3000.0
1997-03-05,2300.0
1997-03-06,4000.0
1997-03-07,3500.0
1997-03-08,2800.0
1997-03-09,2500.0
1997-03-10,3700.0
1997-03-11,2800.0
1997-03-12,2400.0
1997-03-13,2000.0
1997-03-14,5000.0
1997-03-15,3100.0
1997-03-16,2500.0
1997-03-17,2200.0
1997-03-18,1900.0
1997-03-19,1600.0
1997-03-20,1500.0
1997-03-21,1400.0
1997-03-22,2000.0
1997-03-23,1600.0
1997-03-24,1500.0
1997-03-25,1800.0
1997-03-26,2400.0
1997-03-27,1800.0
1997-03-28,1500.0
1997-03-29,1500.0
1997-03-30,1700.0
1997-03-31,2200.0
1997-04-01,1800.0
1997-04-02,1600.0
1997-04-03,1400.0
1997-04-04,1300.0
1997-04-05,1280.0
1997-04-06,1220.0
1997-04-07,1080.0
1997-04-08,995.0
1997-04-09,995.0
1997-04-10,923.0
1997-04-11,868.0
1997-04-12,3750.0
1997-04-13,3700.0
1997-04-14,2450.0
1997-04-15,1770.0
1997-04-16,1630.0
1997-04-17,2180.0
1997-04-18,1980.0
1997-04-19,1600.0
1997-04-20,1350.0
1997-04-21,1210.0
1997-04-22,1380.0
1997-04-23,1290.0
1997-04-24,1850.0
1997-04-25,1590.0
1997-04-26,1250.0
1997-04-27,1140.0
1997-04-28,1880.0
1997-04-29,1460.0
1997-04-30,1210.0
1997-05-01,1060.0
1997-05-02,1100.0
1997-05-03,2350.0
1997-05-04,2810.0
1997-05-05,1790.0
1997-05-06,2510.0
1997-05-07,1640.0
1997-05-08,1480.0
1997-05-09,1660.0
1997-05-10,2020.0
1997-05-11,1690.0
1997-05-12,1420.0
1997-05-13,1290.0
1997-05-14,1140.0
1997-05-15,1450.0
1997-05-16,1520.0
1997-05-17,1320.0
1997-05-18,1450.0
1997-05-19,2490.0
1997-05-20,2060.0
1997-05-21,1460.0
1997-05-22,1270.0
1997-05-23,1260.0
1997-05-24,1240.0
1997-05-25,4030.0
1997-05-26,4330.0
1997-05-27,2490.0
1997-05-28,1680.0
1997-05-29,1840.0
1997-05-30,1790.0
1997-05-31,2600.0
1997-06-01,11000.0
1997-06-02,10500.0
1997-06-03,6000.0
1997-06-04,4500.0
1997-06-05,3600.0
1997-06-06,3200.0
1997-06-07,2600.0
1997-06-08,2000.0
1997-06-09,1500.0
1997-06-10,1300.0
1997-06-11,1200.0
1997-06-12,1190.0
1997-06-13,1360.0
1997-06-14,1140.0
1997-06-15,872.0
1997-06-16,932.0
1997-06-17,1020.0
1997-06-18,1130.0
1997-06-19,1230.0
1997-06-20,936.0
1997-06-21,848.0
1997-06-22,1200.0
1997-06-23,804.0
1997-06-24,727.0
1997-06-25,675.0
1997-06-26,1650.0
1997-06-27,1000.0
1997-06-28,748.0
1997-06-29,690.0
1997-06-30,615.0
1997-07-01,822.0
1997-07-02,757.0
1997-07-03,661.0
1997-07-04,602.0
1997-07-05,575.0
1997-07-06,509.0
1997-07-07,580.0
1997-07-08,510.0
1997-07-09,1010.0
1997-07-10,823.0
1997-07-11,742.0
1997-07-12,580.0
1997-07-13,529.0
1997-07-14,532.0
1997-07-15,536.0
1997-07-16,503.0
1997-07-17,490.0
1997-07-18,510.0
1997-07-19,584.0
1997-07-20,499.0
1997-07-21,528.0
1997-07-22,552.0
1997-07-23,510.0
1997-07-24,575.0
1997-07-25,580.0
1997-07-26,673.0
1997-07-27,572.0
1997-07-28,555.0
1997-07-29,623.0
1997-07-30,590.0
1997-07-31,537.0
1997-08-01,465.0
1997-08-02,441.0
1997-08-03,510.0
1997-08-04,707.0
1997-08-05,669.0
1997-08-06,538.0
1997-08-07,521.0
1997-08-08,541.0
1997-08-09,464.0
1997-08-10,456.0
1997-08-11,554.0
1997-08-12,565.0
1997-08-13,1270.0
1997-08-14,636.0
1997-08-15,687.0
1997-08-16,1990.0
1997-08-17,2580.0
1997-08-18,1930.0
1997-08-19,995.0
1997-08-20,812.0
1997-08-21,1000.0
1997-08-22,3080.0
1997-08-23,1250.0
1997-08-24,1000.0
1997-08-25,1380.0
1997-08-26,1050.0
1997-08-27,819.0
1997-08-28,743.0
1997-08-29,695.0
1997-08-30,613.0
1997-08-31,579.0
1997-09-01,578.0
1997-09-02,630.0
1997-09-03,896.0
1997-09-04,594.0
1997-09-05,530.0
1997-09-06,498.0
1997-09-07,531.0
1997-09-08,595.0
1997-09-09,579.0
1997-09-10,1230.0
1997-09-11,945.0
1997-09-12,812.0
1997-09-13,709.0
1997-09-14,672.0
1997-09-15,674.0
1997-09-16,676.0
1997-09-17,653.0
1997-09-18,626.0
1997-09-19,705.0
