ActivityStartDate,USGSPCode,ResultMeasureValue
1996-03-26,0,27.0
1996-04-11,0,35.0
1996-04-24,0,14.0
1996-05-09,0,18.0
1996-06-06,0,26.0
1996-06-26,0,16.0
1996-07-25,0,18.0
1996-08-29,0,31.0
1996-09-12,0,39.0
1996-10-24,0,17.0
1996-11-21,0,15.0
1996-12-05,0,14.0
1997-01-16,0,19.0
1997-02-06,0,18.0
1997-02-27,0,24.0
1997-03-13,0,18.0
1997-03-27,0,27.0
1997-04-10,0,25.5
1997-04-24,0,25.1
1997-05-05,0,24.8
1997-05-22,0,15.5
1997-06-05,0,7.94
1997-07-02,0,18.4
1997-07-10,0,28.2
1997-07-31,0,27.9
1997-08-14,0,29.2
1997-09-08,0,44.1
1997-09-25,0,40.5
1997-10-20,0,18.5
1997-11-24,0,56.0
1997-12-18,0,32.7
1998-01-12,0,14.3
1998-02-23,0,24.0
2007-04-17,0,37.5
2007-05-21,0,41.05
2007-06-06,0,44.63333333333333
2007-06-21,0,43.8
2007-07-16,0,48.7
2007-07-30,0,49.55
2007-08-15,0,47.4
2007-08-28,0,45.7
2012-07-11,0,151.66666666666666
2012-09-17,0,175.0
2012-10-10,0,71.10000000000001
2017-04-04,0,24.8
2017-05-04,0,20.0
2017-05-31,0,13.7
2017-07-06,0,33.6
2017-08-03,0,45.5
2017-09-05,0,67.3
2017-10-04,0,79.3
2017-11-02,0,76.3
2017-12-04,0,32.599999999999994
2018-01-02,0,86.0
2018-01-11,0,250.0
2018-01-12,0,107.5
2018-01-16,0,65.0
2018-02-06,0,83.4
2018-03-09,0,53.150000000000006
2018-03-27,0,83.9
2018-03-28,0,37.9
2018-03-29,0,47.1
2018-03-30,0,26.8
2018-04-02,0,28.8
2018-05-08,0,38.1
2018-05-13,0,52.349999999999994
2018-05-14,0,31.5
2018-05-15,0,26.2
2018-06-03,0,49.2
2018-06-04,0,22.8
2018-06-05,0,18.1
2018-07-06,0,28.85
2018-07-07,0,14.0
2018-07-12,0,34.6
2018-08-07,0,59.0
2018-09-05,0,50.45
2018-09-09,0,74.2
2018-09-10,0,40.0
2018-09-12,0,20.5
2018-09-13,0,19.1
2018-10-06,0,38.9
2018-10-07,0,10.25
2018-10-09,0,16.0
