ActivityStartDate,USGSPCode,ResultMeasureValue
2007-01-23,0,35.0
2007-02-22,0,123.0
2007-03-21,0,35.8
2007-04-19,0,45.3
2007-05-30,0,46.8
2007-06-21,0,44.2
2007-07-31,0,41.0
2007-08-27,0,33.1
2007-12-20,0,44.5
2008-03-20,0,19.7
2008-06-16,0,27.8
2008-09-03,0,58.6
2008-12-08,0,61.2
2009-03-18,0,40.4
2009-06-23,0,30.6
2009-09-08,0,41.3
2009-12-17,0,44.0
2010-03-04,0,99.3
2010-06-24,0,28.5
2010-09-01,0,69.1
2010-12-07,0,53.9
2011-03-24,0,54.8
2011-06-02,0,32.3
2011-09-22,0,51.4
2011-11-08,0,51.0
2012-03-08,0,37.4
2012-06-06,0,49.7
2012-08-30,0,55.8
2012-11-13,0,34.5
2013-03-14,0,44.5
2013-06-03,0,40.3
2013-09-17,0,52.2
2013-11-12,0,43.3
2014-03-06,0,66.8
2014-06-10,0,39.6
2014-09-23,0,56.9
2014-10-08,0,62.7
2014-11-20,0,70.9
2014-12-15,0,61.5
2015-01-20,0,69.0
2015-03-18,0,47.9
2015-04-01,0,57.2
2015-05-14,0,64.4
2015-06-08,0,48.4
2015-07-06,0,47.4
2015-09-24,0,67.1
2015-10-26,0,64.2
2015-12-21,0,58.7
2016-01-04,0,44.8
2016-03-14,0,38.0
2016-04-26,0,45.4
2017-04-03,0,43.8
2017-05-05,0,21.9
2017-06-01,0,29.5
2017-07-05,0,35.7
2017-07-13,0,22.6
2017-08-03,0,42.9
2017-09-06,0,36.9
2017-10-05,0,62.0
2017-11-01,0,47.5
2017-11-19,0,9.63
2017-12-05,0,46.0
2018-01-03,0,63.9
2018-01-11,0,53.6
2018-01-12,0,42.65
2018-01-13,0,32.55
2018-01-14,0,37.7
2018-02-07,0,78.2
2018-02-15,0,70.89999999999999
2018-02-16,0,28.0
2018-02-17,0,33.5
2018-03-08,0,38.95
2018-03-29,0,57.1
2018-03-30,0,27.03333333333333
2018-03-31,0,22.4
2018-04-02,0,35.0
2018-05-07,0,49.0
2018-05-13,0,34.400000000000006
2018-05-14,0,26.35
2018-05-15,0,27.2
2018-06-06,0,47.1
2018-06-10,0,34.25
2018-06-11,0,23.5
2018-06-12,0,28.3
2018-06-13,0,35.1
2018-07-11,0,53.0
2018-08-06,0,53.2
2018-08-11,0,31.099999999999998
2018-08-13,0,34.1
2018-08-21,0,38.300000000000004
2018-08-22,0,19.450000000000003
2018-09-04,0,42.55
2018-10-07,0,27.95
2018-10-08,0,25.1
2018-10-10,0,33.3
