"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1998-07-01,2.29366455586287,0.830150781276936,42,42,1,42,54237,7,183,1998.49737442922,1783,1998,0.016496199463144,-0.999863928443902,4.1141568952869,0.337650222930004,64.7906130035962
"2",1998-07-13,1.16099070111577,0.149273693308806,41,41,1,41,54249,7,195,1998.53025114155,1783,1998,-0.188931099399324,-0.981990346021672,3.86273281539796,0.328953421862542,50.2413298762065
"3",1998-07-22,3.70950687429673,1.31089894980565,51,51,1,51,54258,7,204,1998.5549086758,1783,1998,-0.338197980653379,-0.941074984197315,4.10220247578565,0.313647056292531,63.5222166838741
"4",1998-07-29,0.764554851954289,-0.268461507391173,34,34,1,34,54265,7,211,1998.57408675799,1783,1998,-0.448870397185128,-0.893596870255746,3.71497112140142,0.307826269265449,43.0494574250095
"5",1998-08-06,48.7049757541251,3.885781196412,65,65,1,65,54273,8,219,1998.59600456621,1784,1998,-0.567292576326803,-0.8235163221482,4.05015561604438,0.1569002368578,58.1173625454939
"6",1998-08-12,5.72000296647283,1.7439693240057,55,55,1,55,54279,8,225,1998.61244292237,1784,1998,-0.649175302712803,-0.760638827793941,4.01121990261211,0.281535751814798,57.4463283782343
"7",1998-08-20,1.72732762848932,0.546575490777809,50,50,1,50,54287,8,233,1998.63436073059,1784,1998,-0.74744876876141,-0.664319454838599,3.82949366044231,0.287048780734611,47.9755814513678
"8",1998-08-27,1.69901078212064,0.530046188826598,56,56,1,56,54294,8,240,1998.65353881279,1784,1998,-0.821885353145029,-0.569652934939925,3.79528290184914,0.279708899230066,46.2657263801925
"9",1998-09-03,2.20871401675683,0.792410453294089,60,60,1,60,54301,9,247,1998.67271689498,1785,1998,-0.88440249992158,-0.466724991973281,3.83941883818797,0.268079579653318,48.199669717619
"10",1998-09-08,3.56792264245335,1.27198353355598,63,63,1,63,54306,9,252,1998.68641552511,1785,1998,-0.921250516580692,-0.388969774789517,3.8941222709262,0.256260944869058,50.7523086160552
"11",1998-09-16,1.72732762848932,0.546575490777809,45,45,1,45,54314,9,260,1998.70833333333,1785,1998,-0.965925826288711,-0.258819045103855,3.78563490787362,0.276150522360169,45.7762072314316
