"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-01-01,3.11485310055451,53325,1,1,1996.00147996357,1753,1996,1,1.13618199239691,NA,NA,4.15632888228431,0.188018554781608,65.0866224071684,17516.3271214685,42.1130132064851,146557.487658671
"2",1996-01-02,4.2475269553016,53326,1,2,1996.00421220401,1753,1996,2,1.44633692070075,NA,NA,4.08671862649388,0.191423090429856,60.7097380828486,22279.6439098157,43.2077091440261,136078.819272849
"3",1996-01-03,5.3802008100487,53327,1,3,1996.00694444444,1753,1996,3,1.68272569876498,NA,NA,4.03300143276459,0.196405692439285,57.6224099720799,26785.7398202753,43.929481918934,129397.492562944
"4",1996-01-04,7.07921159216934,53328,1,4,1996.00967668488,1753,1996,4,1.95716254446674,NA,NA,3.97005387397076,0.203731546457736,54.1859162397598,33142.4841349576,41.6710739869438,134421.821668349
"5",1996-01-05,5.66336927373547,53329,1,5,1996.01240892532,1753,1996,5,1.73401899315253,NA,NA,4.02226322536182,0.197165377435713,57.0326185768216,27906.921761643,40.9878847422383,151627.163322805
"6",1996-01-06,4.53069541898838,53330,1,6,1996.01514116576,1753,1996,6,1.51087544183832,NA,NA,4.07447001907511,0.19091490986912,59.9189288550546,23455.3895833783,41.0085477990896,162112.004964922
"7",1996-01-07,4.2475269553016,53331,1,7,1996.01787340619,1753,1996,7,1.44633692070075,4.89476915801423,NA,4.08983949064945,0.189731688203616,60.8819825217857,22342.8552641412,42.0811648973199,150826.885223667
"8",1996-01-08,3.68119002792806,53332,1,8,1996.02060564663,1753,1996,8,1.30323607706008,4.97567443335331,NA,4.12327413480343,0.187461283747956,62.9848872324948,20032.6468714934,42.9100070677824,144740.459854944
"9",1996-01-09,3.39802156424128,53333,1,9,1996.02333788707,1753,1996,9,1.22319336938654,4.85431652034469,NA,4.14234097168964,0.185996558826326,64.1836968077171,18843.63141531,43.6026127369083,143292.479948199
"10",1996-01-10,3.2564373323979,53334,1,10,1996.0260701275,1753,1996,10,1.18063375496775,4.55092173782315,NA,4.15284804867652,0.185020483937828,64.8435212111339,18244.1257835966,43.4508664888322,136354.459818589
"11",1996-01-11,2.97326886871112,53335,1,11,1996.02880236794,1753,1996,11,1.08966197676202,3.96435849161483,NA,4.17454838864112,0.183343557226044,66.2107401227763,17008.9055177506,43.1883968254416,143308.16797173
"12",1996-01-12,2.83168463686774,53336,1,12,1996.03153460838,1753,1996,12,1.04087181259259,3.55983211491944,NA,4.18658258530943,0.18223345159677,66.9686806873945,16384.393519528,42.1996246672927,165087.010109833
"13",1996-01-13,2.66178355865567,53337,1,13,1996.03426684882,1753,1996,13,0.978996408874502,3.29284470630048,NA,4.20168295730613,0.180913271975961,67.9211539199036,15620.3778921627,42.0714757751081,177966.196594668
"14",1996-01-14,2.49188248044361,53338,1,14,1996.03699908925,1753,1996,14,0.913038441082704,3.04203835274934,NA,4.22010102604475,0.179722671570299,69.2212453099598,14903.2404111495,42.8600076474282,171923.548910263
"15",1996-01-15,2.3786150949689,53339,1,15,1996.03973132969,1753,1996,15,0.866518425447811,2.85595621946946,NA,4.23393831871197,0.178798719678532,70.229125872497,14432.9522895468,43.4920706803569,159676.722500283
"16",1996-01-16,2.54851617318096,53340,1,16,1996.04246357013,1753,1996,16,0.935511296934763,2.73459830646084,NA,4.21543094706039,0.179071524139803,68.8592695365488,15162.2463243446,44.0262871479153,143634.468192281
"17",1996-01-17,14.1584231843387,53341,1,17,1996.04519581056,1753,1996,17,2.65030972502669,4.2920248567381,NA,3.81072775901453,0.220081804102273,46.3054774824647,56644.9239700455,43.1673045653984,129409.09923777
"18",1996-01-18,84.9505391060321,53342,1,18,1996.047928051,1753,1996,18,4.44206919425474,16.0030634620697,NA,3.35043027291191,0.273890217938215,29.6490175763054,217615.682338966,42.4556817538173,138108.949714546
"19",1996-01-19,444.574487988234,53343,1,19,1996.05066029144,1753,1996,19,6.0971176179409,79.1091782265506,NA,2.73102643190863,0.277404580008208,15.9653519203288,613248.896637977,42.541974007326,135976.513021161
"20",1996-01-20,368.119002792806,53344,1,20,1996.05339253188,1753,1996,20,5.90840626304817,131.317352402858,NA,2.81479989970572,0.278981959450216,17.4727004093229,555727.655587167,43.2095624118501,117384.241043709
"21",1996-01-21,311.485310055451,53345,1,21,1996.05612477231,1753,1996,21,5.74135217838501,175.459270627859,NA,2.88801055264197,0.280702862252345,18.8183995651149,506446.994012012,43.5646879702096,113208.723427254
"22",1996-01-22,273.257567457736,53346,1,22,1996.05885701275,1753,1996,22,5.61041482093753,214.15626382254,NA,2.94524243206721,0.281944810378364,19.8696561760554,469111.730073738,43.8499832852706,111501.299605379
"23",1996-01-23,125.443629413241,53347,1,23,1996.06158925319,1753,1996,23,4.83185648964368,231.71270857112,NA,3.23092250981197,0.280994441105186,26.3874203739205,285995.558812966,43.2357378888264,129017.704646536
"24",1996-01-24,135.354525642278,53348,1,24,1996.06432149362,1753,1996,24,4.90789745209,249.026437493683,NA,3.20646841191856,0.282537544746535,25.7221245682443,300810.755760159,42.9030428820132,141249.695240833
"25",1996-01-25,158.574339664593,53349,1,25,1996.06705373406,1753,1996,25,5.06622350332774,259.544123287763,NA,3.14920945537453,0.282988217996769,24.3566560370507,333706.231945119,43.022923598139,136081.568981262
"26",1996-01-26,121.762439385313,53350,1,26,1996.0697859745,1753,1996,26,4.80207192828615,213.428116344488,NA,3.23714682527441,0.279451570016471,26.5539143028258,279354.474495988,44.3812921250254,117252.873422302
"27",1996-01-27,73.6238005585611,53351,1,27,1996.07251821494,1753,1996,27,4.29896835061407,171.357373168168,NA,3.39123987145456,0.266069027890471,30.8202424832634,196050.532529169,45.2982847393453,103178.554678979
"28",1996-01-28,53.802008100487,53352,1,28,1996.07525045537,1753,1996,28,3.98531079175903,134.545472888887,NA,3.47931715091236,0.255025788392371,33.5993002164448,156186.12865673,45.9649020165802,96612.7079411874
"29",1996-01-29,39.6435849161483,53353,1,29,1996.07798269581,1753,1996,29,3.67992914220785,101.172046811517,NA,3.56118501945926,0.244878294083161,36.3409207467596,124475.130220767,46.501719823675,94713.0786294978
"30",1996-01-30,28.3168463686774,53354,1,30,1996.08071493625,1753,1996,30,3.34345690558663,87.2967920908653,76.451709615913,3.6451821269591,0.234666328332395,39.4173303653358,96437.4757820884,46.015019793171,90236.7954198658
"31",1996-01-31,19.8217924580741,53355,1,31,1996.08344717668,1753,1996,31,2.9867819616479,70.7921159216934,77.008607594497,3.72987711815492,0.224360195147379,42.8283710096078,73347.9910389946,44.870937040558,97253.9856112131
"32",1996-02-01,15.8574339664593,53356,2,32,1996.08617941712,1754,1996,32,2.76363841033369,50.4039865362457,77.3956044948689,3.78133139495738,0.217949318009137,44.9831803598348,61630.6589704002,44.9639231293732,102532.695129863
"33",1996-02-02,12.7425808659048,53357,2,33,1996.08891165756,1754,1996,33,2.54494920936886,34.8297210334731,77.6410171633975,3.83212988158389,0.211469341696493,47.2794403009025,52052.7246908229,45.4184792339383,96488.4501856445
"34",1996-02-03,10.4772331564106,53358,2,34,1996.091643898,1754,1996,34,2.34920463224277,25.8087828331659,77.7542845488722,3.87774497389685,0.205537428002851,49.4560176059702,44769.2164512738,45.6322140975202,89102.1628173963
"35",1996-02-04,8.49505391060321,53359,2,35,1996.09437613843,1754,1996,35,2.1394841012607,19.3363608060397,77.8486740367678,3.92657787596619,0.199232774251029,51.7823962114002,38006.8629784756,45.2885152374166,87629.9331972413
"36",1996-02-05,7.07921159216934,53360,2,36,1996.09710837887,1754,1996,36,1.95716254446674,14.6843074740427,77.9336245758738,3.96777746477827,0.194153359599464,53.9619100547646,33005.4721224729,43.5289440919434,109184.64115856
"37",1996-02-06,6.22970620110902,53361,2,37,1996.09984061931,1754,1996,37,1.82932917295686,11.5290017358186,77.9996972174007,3.99606964475441,0.190616049925043,55.4994704747274,29872.402160372,43.4498697889919,119161.031813251
"38",1996-02-07,5.3802008100487,53362,2,38,1996.10257285974,1754,1996,38,1.68272569876498,9.46591721467214,78.0563309101381,4.02856357235415,0.186596327044638,57.2619628928024,26618.1862297681,43.2723008813532,115903.053902074
"39",1996-02-08,9.91089622903707,53363,2,39,1996.10530510018,1754,1996,39,2.29363478108796,8.61641182361182,78.2734267322979,3.88645049636437,0.202771303443036,49.8488838154647,42685.6707038935,41.7719186318333,136075.738192797
"40",1996-02-09,15.8574339664593,53364,2,40,1996.10803734062,1754,1996,40,2.76363841033369,9.06139083797675,78.6934599534333,3.77502813330798,0.215872041991193,44.6794447611427,61214.5162043614,40.9588276846731,144345.801405962
"41",1996-02-10,18.1227816759535,53365,2,41,1996.11076958106,1754,1996,41,2.89716980295822,10.1536120550543,79.1984437136747,3.74321833377771,0.2193124369425,43.3499942287746,67877.7823637505,40.6998891575817,138873.278802625
"42",1996-02-11,20.9544663128212,53366,2,42,1996.11350182149,1754,1996,42,3.04235181280271,11.933528112514,79.8025364362065,3.70875204422436,0.223079648934954,41.9121815525091,75880.575052321,41.1250147932039,124943.82411791
"43",1996-02-12,24.9188248044361,53367,2,43,1996.11623406193,1754,1996,43,3.21562353407675,14.482044285695,80.5444378110659,3.66782235920038,0.227630163263196,40.2080630685978,86567.4154942939,40.6055972552429,122842.514493276
