ActivityStartDate,USGSPCode,ResultMeasureValue
2006-03-27,0,0.019
2011-03-28,0,0.028200000000000003
2011-05-19,0,0.057600000000000005
2011-06-16,0,0.02366666666666667
2011-06-20,0,0.022500000000000003
2011-06-30,0,0.029000000000000005
2011-07-05,0,0.01688888888888889
2011-07-07,0,0.020000000000000004
2011-07-25,0,0.02242857142857143
2011-08-02,0,0.027777777777777776
2011-08-04,0,0.034
2011-08-15,0,0.09
2011-08-24,0,
2011-08-29,0,0.022444444444444447
2011-09-08,0,0.03266666666666667
2011-10-04,0,0.024200000000000003
2012-11-15,0,0.042333333333333334
