"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-01-01,0.42475269553016,53325,1,1,1996.00147996357,1753,1996,1,-0.856248172293292,NA,NA,-5.01600005933849,0.238471947240533,0.0070498444358149,0.258719652908411,0.41797561099117,639.220796042554
"2",1996-01-02,0.42475269553016,53326,1,2,1996.00421220401,1753,1996,2,-0.856248172293292,NA,NA,-5.01362388556298,0.23823065191282,0.00707079241680755,0.259488415172727,0.390634851700734,645.166389738979
"3",1996-01-03,0.42475269553016,53327,1,3,1996.00694444444,1753,1996,3,-0.856248172293292,NA,NA,-5.01124771178748,0.237989356585106,0.0070917403978002,0.260257177437042,0.292510625935826,468.195587842696
"4",1996-01-04,0.396435849161483,53328,1,4,1996.00967668488,1753,1996,4,-0.925241043780244,NA,NA,-5.08490341532761,0.238237879164636,0.00666430001685562,0.228265986491917,0.211980114327415,255.573621362805
"5",1996-01-05,0.396435849161483,53329,1,5,1996.01240892532,1753,1996,5,-0.925241043780244,NA,NA,-5.08314376385828,0.237943407487807,0.00668090849555379,0.228834861057075,0.221023857144721,250.240756762242
"6",1996-01-06,0.396435849161483,53330,1,6,1996.01514116576,1753,1996,6,-0.925241043780244,NA,NA,-5.08138411238895,0.237648935810977,0.00669751697425196,0.229403735622232,0.361458179337808,606.160470007346
"7",1996-01-07,0.396435849161483,53331,1,7,1996.01787340619,1753,1996,7,-0.925241043780244,0.408571640462345,NA,-5.07962446091961,0.237354464134147,0.00671412545295014,0.22997261018739,0.283155109724075,482.995440012672
"8",1996-01-08,0.396435849161483,53332,1,8,1996.02060564663,1753,1996,8,-0.925241043780244,0.404526376695391,NA,-5.07786480945028,0.237059992457318,0.00673073393164831,0.230541484752548,0.417685064529393,885.780611243155
"9",1996-01-09,0.339802156424128,53333,1,9,1996.02333788707,1753,1996,9,-1.0793917236075,0.392390585394529,NA,-5.25287055384093,0.23726586104488,0.00569703017660709,0.16725857522899,0.515202056896147,1376.61984488091
"10",1996-01-10,0.311485310055451,53334,1,10,1996.0260701275,1753,1996,10,-1.16640310059713,0.376209530326713,NA,-5.35304233746406,0.237067933777857,0.00510561435447979,0.13740398238776,0.430325256410551,943.607861623159
