ActivityStartDate,USGSPCode,ResultMeasureValue
2000-07-26,0,0.044000000000000004
2000-08-16,0,0.079
2000-09-18,0,0.037000000000000005
2001-03-19,0,0.08900000000000001
2001-06-27,0,0.105
2001-08-16,0,0.028999999999999998
2001-10-11,0,0.037000000000000005
2002-03-27,0,0.027999999999999997
2002-06-04,0,0.14
2002-09-09,0,0.017
2002-10-28,0,0.015
2003-04-14,0,0.08800000000000001
2003-06-04,0,0.067
2003-08-13,0,0.031
2003-10-08,0,0.02
2004-04-06,0,0.061
2004-07-13,0,0.075
2004-09-08,0,0.035
2004-10-21,0,0.025
2005-04-19,0,0.042
2005-06-14,0,0.035
2005-08-09,0,0.031
2005-10-04,0,0.03
2006-03-14,0,0.65
2006-05-16,0,0.07400000000000001
2006-07-13,0,0.064
2006-09-14,0,0.071
2007-03-15,0,0.28
2007-04-03,0,0.066
2007-04-24,0,0.053
2007-05-17,0,0.3
2007-06-12,0,0.059000000000000004
2007-06-28,0,0.055999999999999994
2007-07-25,0,0.051
2007-08-15,0,0.049
2007-08-28,0,0.076
2007-09-10,0,0.05
2007-10-11,0,0.048
2007-11-08,0,0.025
2008-04-18,0,0.076
2008-06-17,0,0.068
2008-07-31,0,0.094
2008-10-21,0,0.046
2009-04-14,0,0.035
2009-06-15,0,0.071
2009-08-05,0,0.059000000000000004
2009-10-06,0,0.035
2010-05-21,0,0.076
2010-07-19,0,0.08
2010-08-11,0,0.055
2010-10-12,0,0.042
2011-03-29,0,0.06
2011-06-20,0,0.047
2011-08-01,0,0.059000000000000004
2011-10-18,0,0.04
2012-03-06,0,0.11699999999999999
2012-03-27,0,0.06
2012-04-09,0,0.034
2012-05-04,0,0.068
2012-05-23,0,0.071
2012-06-19,0,0.069
2012-07-25,0,0.073
2012-08-30,0,0.057999999999999996
2012-09-11,0,0.046
2012-09-24,0,0.057999999999999996
2012-10-10,0,0.024
2012-10-19,0,0.024
2013-04-01,0,0.0462
