"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2009-04-21,NA,NA,0.0254,0.0254,1,0.0254,58184,4,112,2009.30285388128,1912,2009,0.945362789804791,-0.326020238102642,NA,NA,NA
"2",2009-05-12,NA,NA,0.0182,0.0182,1,0.0182,58205,5,133,2009.36038812785,1913,2009,0.768956480493091,-0.639301127097143,NA,NA,NA
"3",2009-06-23,NA,NA,0.0657,0.0657,1,0.0657,58247,6,175,2009.475456621,1914,2009,0.15360011328281,-0.988133090833167,NA,NA,NA
"4",2009-08-11,NA,NA,0.191,0.191,1,0.191,58296,8,224,2009.60970319635,1916,2009,-0.635985973338394,-0.77170061663628,NA,NA,NA
"5",2009-09-22,NA,NA,0.0287,0.0287,1,0.0287,58338,9,266,2009.7247716895,1917,2009,-0.987462916490306,-0.157851159503057,NA,NA,NA
"6",2009-11-03,NA,NA,0.0703,0.0703,1,0.0703,58380,11,308,2009.83984018265,1919,2010,-0.844865556651108,0.534978682925416,NA,NA,NA
"7",2010-04-15,NA,NA,0.0269,0.0269,1,0.0269,58543,4,106,2010.28641552511,1924,2010,0.973938021199524,-0.226814309208998,NA,NA,NA
"8",2010-05-10,NA,NA,0.0644,0.0644,1,0.0644,58568,5,131,2010.3549086758,1925,2010,0.79050657255816,-0.612453556396198,NA,NA,NA
"9",2010-06-08,NA,NA,0.107,0.107,1,0.107,58597,6,160,2010.43436073059,1926,2010,0.400830974454179,-0.916152023366272,NA,NA,NA
"10",2010-08-09,NA,NA,0.0346,0.0346,1,0.0346,58659,8,222,2010.60422374429,1928,2010,-0.609045909606555,-0.793134969593148,NA,NA,NA
"11",2010-09-27,NA,NA,0.0325,0.0325,1,0.0325,58708,9,271,2010.73847031963,1929,2010,-0.997377144672058,-0.0723797712473049,NA,NA,NA
"12",2010-10-19,NA,NA,0.0248,0.0248,1,0.0248,58730,10,293,2010.79874429224,1930,2011,-0.953464985740863,0.301503766089541,NA,NA,NA
"13",2011-04-13,NA,NA,0.151,0.151,1,0.151,58906,4,104,2011.28093607306,1936,2011,0.981168180310563,-0.193155382907283,NA,NA,NA
"14",2011-05-04,NA,NA,0.12725,0.12725,1,0.12725,58927,5,125,2011.33847031963,1937,2011,0.849438821943923,-0.527687111624417,NA,NA,NA
"15",2011-05-25,NA,NA,0.07065,0.07065,1,0.07065,58948,5,146,2011.39600456621,1937,2011,0.607907517587821,-0.794007840049588,NA,NA,NA
"16",2011-06-13,NA,NA,0.0192,0.0192,1,0.0192,58967,6,165,2011.44805936073,1938,2011,0.320590344004258,-0.947217942889191,NA,NA,NA
"17",2011-06-30,NA,NA,0.0227,0.0227,1,0.0227,58984,6,182,2011.4946347032,1938,2011,0.0337047692805343,-0.999431832856922,NA,NA,NA
"18",2011-07-21,NA,NA,0.02415,0.02415,1,0.02415,59005,7,203,2011.55216894977,1939,2011,-0.321948814099343,-0.946757076076026,NA,NA,NA
"19",2011-08-02,NA,NA,0.356,0.356,1,0.356,59017,8,215,2011.5850456621,1940,2011,-0.509288344643259,-0.860595945848299,NA,NA,NA
"20",2011-08-18,NA,NA,0.0137,0.0137,1,0.0137,59033,8,231,2011.62888127854,1940,2011,-0.724138884905592,-0.689654170847741,NA,NA,NA
