ActivityStartDate,USGSPCode,ResultMeasureValue
2011-02-28,0,1.36
2011-03-01,0,0.349
2011-04-25,0,0.07200000000000001
2011-04-26,0,0.6526
2011-06-01,0,0.04
2011-07-06,0,0.009000000000000001
2011-08-09,0,0.701
2011-10-06,0,0.025
2011-11-08,0,0.011000000000000001
2011-12-08,0,0.033
2012-01-09,0,0.022000000000000002
2012-01-17,0,1.1633333333333333
2012-02-08,0,0.027999999999999997
2012-03-07,0,0.024
2012-04-10,0,0.018000000000000002
2012-05-10,0,0.027000000000000003
2012-06-07,0,0.012
2012-07-09,0,0.006
2012-08-07,0,0.025
2012-08-27,0,0.009000000000000001
2012-09-06,0,0.055
2012-10-01,0,0.006
2012-10-23,0,0.09100000000000001
2012-10-25,0,0.136
2012-10-28,0,0.125
2012-10-29,0,0.6733333333333333
2012-10-30,0,1.01
2012-10-31,0,0.256
2012-11-05,0,0.031
2012-12-04,0,0.037000000000000005
2013-01-08,0,0.013999999999999999
2013-01-11,0,0.303
2013-01-18,0,0.024
2013-01-29,0,0.3245
2013-02-05,0,0.04
2013-03-04,0,0.024
2013-03-10,0,0.192
2013-03-11,0,0.5954999999999999
2013-03-12,0,0.8163333333333332
2013-03-13,0,0.196
2013-03-30,0,0.115
2013-04-02,0,0.092
2013-04-10,0,1.1400000000000001
2013-04-11,0,0.88
2013-04-12,0,0.276
2013-05-06,0,0.008
2013-05-28,0,0.16
2013-05-29,0,0.4635
2013-05-30,0,0.114
2013-06-04,0,0.017
2013-06-06,0,1.38
2013-07-02,0,0.01
2013-08-05,0,0.006999999999999999
2013-09-10,0,0.018000000000000002
2013-11-06,0,0.015
2013-12-04,0,0.022000000000000002
2013-12-21,0,2.37
2013-12-22,0,3.66
2014-02-03,0,0.053
2014-03-06,0,0.032
2014-04-11,0,0.203
2014-05-05,0,0.0235
2014-06-02,0,0.008
2014-07-07,0,0.013000000000000001
2014-08-04,0,0.248
2014-09-02,0,0.134
2014-10-07,0,0.006999999999999999
2014-11-03,0,0.013999999999999999
2014-12-15,0,0.064
2015-01-06,0,0.04
2015-02-10,0,0.012
2015-03-03,0,0.006999999999999999
2015-04-10,0,0.011000000000000001
2015-05-05,0,0.011000000000000001
2015-06-02,0,0.067
2015-07-08,0,0.18899999999999997
2015-07-30,0,0.019
2015-09-10,0,0.099
2015-10-05,0,0.009000000000000001
2015-11-04,0,0.01
2015-12-07,0,0.01
2016-01-04,0,0.03
2016-02-01,0,1.09
2016-03-07,0,0.027000000000000003
2016-04-04,0,0.017
2016-05-02,0,0.867
2016-06-06,0,0.051
2016-07-06,0,0.024
2016-08-01,0,0.011000000000000001
2016-09-06,0,0.032
2016-10-03,0,0.02
2016-11-07,0,0.019
2016-12-01,0,0.39299999999999996
2016-12-05,0,0.038
2016-12-18,0,0.7095
2016-12-19,0,0.233
2016-12-26,0,0.694
2016-12-27,0,1.3747500000000001
2017-01-03,0,0.407
2017-01-04,0,0.338
2017-01-12,0,1.75225
2017-01-13,0,1.355
2017-02-06,0,0.0485
2017-02-07,0,1.1155
2017-02-08,0,1.5199999999999998
2017-03-06,0,0.016
2017-03-31,0,0.751
2017-04-01,0,0.48200000000000004
2017-04-03,0,0.054000000000000006
2017-04-20,0,1.1204999999999998
2017-04-21,0,1.8419999999999999
2017-04-27,0,1.92
2017-05-01,0,1.0735
2017-05-02,0,1.55
2017-06-05,0,0.015
2017-07-01,0,1.9425
2017-07-02,0,0.593
2017-07-10,0,0.034
2017-08-07,0,0.014499999999999999
2017-09-05,0,0.048
2017-09-14,0,3.476666666666667
2017-10-02,0,0.006999999999999999
2017-11-03,0,0.8660000000000001
2017-11-04,0,0.244
2017-11-05,0,1.77925
2017-11-07,0,0.258
2017-12-04,0,0.022000000000000002
2017-12-13,0,0.034
2018-01-10,0,0.027999999999999997
2018-01-11,0,1.681
2018-01-12,0,4.135
2018-01-13,0,1.68
2018-01-22,0,0.671
2018-01-23,0,1.1273333333333333
2018-01-24,0,0.291
2018-01-25,0,0.07
2018-02-06,0,0.036500000000000005
2018-02-15,0,0.9279999999999999
2018-02-16,0,1.925
2018-02-20,0,1.03
2018-02-21,0,1.15
2018-02-27,0,0.063
2018-03-05,0,0.045
2018-03-27,0,0.037000000000000005
2018-03-29,0,1.86625
2018-03-30,0,1.99025
2018-04-03,0,0.047
2018-04-17,0,0.18
2018-05-09,0,0.0125
2018-05-15,0,1.07
2018-05-23,0,0.10099999999999999
2018-06-05,0,0.022000000000000002
2018-06-20,0,0.027000000000000003
2018-07-12,0,0.008
2018-07-31,0,0.009000000000000001
2018-08-06,0,0.0075
2018-08-22,0,0.193
2018-09-10,0,1.39
2018-09-19,0,0.008
2018-10-23,0,0.034
