"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2005-02-15,70.2257789943198,4.25171546576353,0.132,0.132,1,0.132,56658,2,46,2005.1247716895,1862,2005,0.70609169714271,0.708120410118313,-2.64572694975035,0.438785387637028,0.0781237913669357
"2",2005-06-07,2.83168463686774,1.04087181259259,0.014,0.014,1,0.014,56770,6,159,2005.43162100457,1866,2005,0.416541638090021,-0.909116639236837,-2.40044219036688,0.394854264036875,0.0980294588029276
"3",2006-01-26,6.73940943574521,1.90797230027597,0.125,0.125,1,0.125,57003,1,26,2006.06997716895,1873,2006,0.425649488186821,0.904888121927953,-3.35000103422111,0.495566290690388,0.0396680952696181
"4",2007-08-01,1.95669408407561,0.671256357378122,0.02,0.02,1,0.02,57555,8,214,2007.58230593607,1892,2007,-0.494399143557185,-0.869235000934685,-4.23191283679838,0.485338661187229,0.0163400516471191
"5",2007-11-29,12.0912933994252,2.49248563983312,0.049,0.049,1,0.049,57675,11,334,2007.91107305936,1895,2008,-0.530122005682129,0.84792137553641,-2.9379310070162,0.402676274433844,0.0574490439633818
"6",2008-10-23,2.33613982541588,0.848499919945133,0.02,0.02,1,0.02,58004,10,297,2008.81022313297,1906,2009,-0.929259466897005,0.369427723895074,-4.22462063570125,0.370408392784505,0.01566980844538
"7",2009-06-24,2.53152606535976,0.928822308783966,0.04,0.04,1,0.04,58248,6,176,2009.47819634703,1914,2009,0.136568268945694,-0.990630661708579,-3.5373072118097,0.537424508088986,0.0336112427992017
"8",2009-08-27,1.78112963658981,0.577247790310892,0.016,0.016,1,0.016,58312,8,240,2009.65353881279,1916,2009,-0.821885353145024,-0.569652934939933,-4.35589983428377,0.479516602697674,0.0143941738480986
"9",2009-10-27,2.37578341033203,0.865327240077658,0.011,0.011,1,0.011,58373,10,301,2009.82066210046,1918,2010,-0.903047943551062,0.429539767248852,-3.90711051346776,0.305814576143214,0.0210606431042838
"10",2010-03-17,14.9796117290303,2.7066900584628,0.045,0.045,1,0.045,58514,3,77,2010.20696347032,1923,2010,0.963662392826738,0.267123178798556,-2.22491160515491,0.411524591513067,0.117627154984041
"11",2010-05-24,6.96594420669463,1.94103316253686,0.137,0.137,1,0.137,58582,5,145,2010.39326484018,1925,2010,0.621484989270393,-0.783426070610099,-3.40216345737533,0.395235992641977,0.0360064311856376
"12",2010-07-22,1.80095142904788,0.588315096950574,0.017,0.017,1,0.017,58641,7,204,2010.5549086758,1927,2010,-0.338197980653991,-0.941074984197095,-3.86934647699008,0.512522451770802,0.0238014959507731
"13",2011-01-04,11.3550553938396,2.42966305391107,0.053,0.053,1,0.053,58807,1,4,2011.00970319635,1933,2011,0.0609292189715998,0.998142089221525,-3.2791443354304,0.475909606356131,0.04217619322484
"14",2011-11-14,34.8297210334731,3.55047107497096,0.017,0.017,1,0.017,59121,11,319,2011.86997716895,1943,2012,-0.729066819380057,0.684442527082477,-2.76965686035571,0.387287968120382,0.0675652909532039
"15",2012-06-26,0.965604461171898,-0.0350009891060312,0.035,0.035,1,0.035,59346,6,178,2012.48508652095,1950,2012,0.0935670849331994,-0.995612977324574,-5.36721545075687,0.465124383152371,0.00520026805931344
"16",2012-11-13,18.1794153686909,2.90028993029446,0.057,0.057,1,0.057,59486,11,318,2012.86760018215,1955,2013,-0.739207311995584,0.67347795056131,-4.14783568371278,0.357575777558066,0.016841562905409
"17",2013-02-11,34.8297210334731,3.55047107497096,0.064,0.064,1,0.064,59576,2,42,2013.11381278539,1958,2013,0.655698072710179,0.755023203248852,-3.24086287256059,0.473563448574762,0.0437732795958776
"18",2014-02-04,8.09861806144172,2.09169343742435,0.028,0.028,1,0.028,59934,2,35,2014.0946347032,1970,2014,0.560183560885713,0.828368503815423,-3.97022408101241,0.428636514765677,0.0206847316956037
"19",2014-03-24,7.70218221228024,2.04150369290049,0.027,0.027,1,0.027,59982,3,84,2014.22614155251,1971,2014,0.988784964429781,0.149346222307754,-3.50874450909132,0.431741556512945,0.0328585227492034
"20",2014-07-01,3.76614056703409,1.32605075482625,0.012,0.012,1,0.012,60081,7,183,2014.49737442922,1975,2014,0.016496199463489,-0.999863928443896,-3.65852091739483,0.367321116096938,0.0275691325985017
"21",2014-12-18,13.6204031033338,2.61156889671026,0.03,0.03,1,0.03,60251,12,353,2014.96312785388,1980,2015,-0.229607633555351,0.973283275625915,-3.98421454195765,0.477776528479605,0.020856714663446
"22",2015-03-18,22.5685265558359,3.11655630539471,0.066,0.066,1,0.066,60341,3,78,2015.20970319635,1983,2015,0.968117702258317,0.250495737636545,-3.44694196348773,0.419145916514281,0.0347665238392732
"23",2015-06-10,5.1253491927306,1.63419865787032,0.031,0.031,1,0.031,60425,6,162,2015.43984018265,1986,2015,0.369058013179681,-0.929406360483866,-4.06362538061701,0.383602691630141,0.0184987915971528
"24",2015-12-22,12.6859471731675,2.54049485901948,0.01,0.01,1,0.01,60620,12,357,2015.97408675799,1992,2016,-0.162099282236224,0.986774453813282,-3.64628054648987,0.413108700324763,0.0284117880614398
"25",2016-03-08,10.8453521592034,2.38373661578514,0.019,0.019,1,0.019,60697,3,68,2016.18454007286,1995,2016,0.916603114272104,0.399798362811406,-3.65350244150227,0.432967237245184,0.0284453058861219
